Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Узловская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2632	УИК №2633	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67105	2344	2349	2024	1988	2050	2366	2250	2181	2052	2418	2236	1337	1317	2464	1602	2215	1826	1882	1764	1403	1602	1089	1530	2669	1664	1637	2199	1323	2071	515	282	1840	904	1960	645	427	528	257	305	369	384	300	275	713	233	346	400	570									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60710	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1000	1000	2500	1500	2000	1500	1500	1500	1000	1500	1000	1500	2500	1500	1500	2000	1000	2000	500	280	1500	800	2000	650	400	500	250	300	350	390	290	260	700	240	350	390	560									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24889	867	912	658	726	719	794	903	886	1120	912	770	546	462	951	568	987	680	616	544	469	551	336	615	1024	575	558	705	344	758	290	126	682	215	446	236	149	56	131	175	256	276	101	160	441	149	78	134	232									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2926	44	30	69	35	32	46	60	19	44	18	50	30	16	68	39	35	12	51	31	51	27	41	59	95	45	19	154	105	63	43	17	81	159	174	140	54	183	60	53	37	32	66	42	119	21	124	60	73									
6	Число погашенных избирательных бюллетеней	32895	1089	1058	1273	1239	1249	1160	1037	1095	836	1070	1180	424	522	1481	893	978	808	833	925	480	922	623	826	1381	880	923	1141	551	1179	167	137	737	426	1380	274	197	261	59	72	57	82	123	58	140	70	148	196	255									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2926	44	30	69	35	32	46	60	19	44	18	50	30	16	68	39	35	12	51	31	51	27	41	59	95	45	19	154	105	63	43	17	81	159	174	140	54	183	60	53	37	32	66	42	119	21	124	60	73									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24884	867	912	658	726	719	794	903	886	1120	912	770	546	462	951	568	987	680	616	541	469	551	336	615	1024	575	558	705	344	758	290	126	680	215	446	236	149	56	131	175	256	276	101	160	441	149	78	134	232									
9	Число недействительных избирательных бюллетеней	488	22	16	14	5	18	20	15	17	17	17	29	22	8	13	14	18	4	9	15	11	13	7	25	0	11	18	31	6	22	0	2	19	2	17	4	1	2	0	0	0	0	0	1	1	0	0	1	1									
10	Число действительных избирательных бюллетеней	27322	889	926	713	756	733	820	948	888	1147	913	791	554	470	1006	593	1004	688	658	557	509	565	370	649	1119	609	559	828	443	799	333	141	742	372	603	372	202	237	191	228	293	308	167	201	559	170	202	193	304									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	879	25	25	25	20	30	30	35	40	40	40	25	17	25	35	30	30	20	25	20	11	20	10	20	35	20	20	20	15	20	8	3	25	3	20	13	3	3	13	3	8	8	3	3	13	3	8	3	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	845	25	20	25	20	30	30	33	34	37	40	25	17	25	35	30	30	20	21	20	11	20	9	20	35	20	20	20	12	20	5	3	25	3	20	13	0	3	13	3	8	8	3	3	13	3	8	3	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	527	11	8	15	14	11	9	32	34	13	33	31	20	9	12	16	18	10	18	15	18	14	15	26	5	8	11	9	6	2	10	4	13	4	0	5	2	3	2	11	4	1	6	5	2	1	4	5	2									
14	Число погашенных неиспользованных открепительных удостоверений	34	0	5	0	0	0	0	2	6	3	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	253	10	3	11	15	6	4	10	10	11	18	10	7	3	16	2	10	7	9	5	6	6	6	2	8	10	4	7	4	3	3	0	6	2	7	2	1	1	1	0	0	3	0	0	1	2	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	505	18	26	10	16	12	22	13	26	12	20	18	12	19	22	26	27	15	12	9	6	16	5	9	12	11	5	14	11	16	3	1	14	2	13	2	6	3	1	1	3	1	4	3	3	0	2	0	3									
		1.82%	1.98%	2.76%	1.38%	2.10%	1.60%	2.62%	1.35%	2.87%	1.03%	2.15%	2.20%	2.08%	3.97%	2.16%	4.28%	2.64%	2.17%	1.80%	1.57%	1.15%	2.77%	1.33%	1.34%	1.07%	1.77%	0.87%	1.63%	2.45%	1.95%	0.90%	0.70%	1.84%	0.53%	2.10%	0.53%	2.96%	1.26%	0.52%	0.44%	1.02%	0.32%	2.40%	1.49%	0.54%	0.00%	0.99%	0.00%	0.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	786	29	28	29	76	16	31	21	21	19	33	19	27	10	20	13	25	18	18	15	19	12	14	15	36	18	19	14	18	17	18	4	17	7	19	5	8	7	3	4	4	2	4	3	10	3	6	5	7									
		2.83%	3.18%	2.97%	3.99%	9.99%	2.13%	3.69%	2.18%	2.32%	1.63%	3.55%	2.32%	4.69%	2.09%	1.96%	2.14%	2.45%	2.60%	2.70%	2.62%	3.65%	2.08%	3.71%	2.23%	3.22%	2.90%	3.29%	1.63%	4.01%	2.07%	5.41%	2.80%	2.23%	1.87%	3.06%	1.33%	3.94%	2.93%	1.57%	1.75%	1.37%	0.65%	2.40%	1.49%	1.79%	1.76%	2.97%	2.58%	2.30%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	668	27	11	17	19	16	32	12	21	20	16	24	18	18	31	15	28	17	13	18	14	13	7	22	24	16	19	21	21	16	7	4	9	11	16	12	11	2	1	2	12	2	4	2	8	0	5	3	11									
		2.40%	2.96%	1.17%	2.34%	2.50%	2.13%	3.81%	1.25%	2.32%	1.72%	1.72%	2.93%	3.13%	3.77%	3.04%	2.47%	2.74%	2.46%	1.95%	3.15%	2.69%	2.25%	1.86%	3.26%	2.14%	2.58%	3.29%	2.44%	4.68%	1.95%	2.10%	2.80%	1.18%	2.94%	2.58%	3.19%	5.42%	0.84%	0.52%	0.88%	4.10%	0.65%	2.40%	0.99%	1.43%	0.00%	2.48%	1.55%	3.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14727	402	437	334	383	359	386	493	378	677	505	371	257	199	486	289	507	367	334	296	265	301	203	328	633	309	276	427	230	420	149	62	450	263	356	239	112	127	152	186	212	265	120	149	444	150	134	115	190									
		52.96%	44.13%	46.39%	45.94%	50.33%	47.80%	45.95%	51.19%	41.77%	58.16%	54.30%	45.24%	44.62%	41.63%	47.69%	47.61%	49.61%	53.03%	50.07%	51.75%	50.96%	52.08%	53.85%	48.66%	56.57%	49.84%	47.83%	49.71%	51.22%	51.16%	44.74%	43.36%	59.13%	70.32%	57.42%	63.56%	55.17%	53.14%	79.58%	81.58%	72.35%	86.04%	71.86%	73.76%	79.29%	88.24%	66.34%	59.28%	62.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	195	10	5	8	6	8	3	6	10	14	6	6	3	3	15	5	9	7	0	3	5	4	1	7	11	3	3	7	2	4	2	0	3	2	1	0	0	0	1	1	2	0	4	1	1	0	1	0	2									
		0.70%	1.10%	0.53%	1.10%	0.79%	1.07%	0.36%	0.62%	1.10%	1.20%	0.65%	0.73%	0.52%	0.63%	1.47%	0.82%	0.88%	1.01%	0.00%	0.52%	0.96%	0.69%	0.27%	1.04%	0.98%	0.48%	0.52%	0.81%	0.45%	0.49%	0.60%	0.00%	0.39%	0.53%	0.16%	0.00%	0.00%	0.00%	0.52%	0.44%	0.68%	0.00%	2.40%	0.50%	0.18%	0.00%	0.50%	0.00%	0.66%									
24	"6. Политическая партия ""Гражданская Платформа"""	51	0	3	2	4	1	2	0	4	4	0	1	1	3	1	3	1	0	0	1	4	2	1	2	1	0	0	0	1	3	0	0	0	0	0	1	0	0	1	1	2	0	1	0	0	0	0	0	0									
		0.18%	0.00%	0.32%	0.28%	0.53%	0.13%	0.24%	0.00%	0.44%	0.34%	0.00%	0.12%	0.17%	0.63%	0.10%	0.49%	0.10%	0.00%	0.00%	0.17%	0.77%	0.35%	0.27%	0.30%	0.09%	0.00%	0.00%	0.00%	0.22%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.52%	0.44%	0.68%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4217	125	139	131	80	127	140	157	136	126	101	124	90	81	171	106	137	90	127	93	82	102	57	137	172	115	113	159	74	154	49	25	107	40	115	69	29	45	13	18	21	24	16	21	47	13	26	34	59									
		15.16%	13.72%	14.76%	18.02%	10.51%	16.91%	16.67%	16.30%	15.03%	10.82%	10.86%	15.12%	15.63%	16.95%	16.78%	17.46%	13.41%	13.01%	19.04%	16.26%	15.77%	17.65%	15.12%	20.33%	15.37%	18.55%	19.58%	18.51%	16.48%	18.76%	14.71%	17.48%	14.06%	10.70%	18.55%	18.35%	14.29%	18.83%	6.81%	7.89%	7.17%	7.79%	9.58%	10.40%	8.39%	7.65%	12.87%	17.53%	19.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	195	8	7	6	6	3	8	9	15	2	7	14	2	10	6	3	8	1	2	9	5	7	2	5	9	0	3	6	5	7	0	1	8	1	2	2	0	2	0	0	0	0	0	1	1	0	0	0	2									
		0.70%	0.88%	0.74%	0.83%	0.79%	0.40%	0.95%	0.93%	1.66%	0.17%	0.75%	1.71%	0.35%	2.09%	0.59%	0.49%	0.78%	0.14%	0.30%	1.57%	0.96%	1.21%	0.53%	0.74%	0.80%	0.00%	0.52%	0.70%	1.11%	0.85%	0.00%	0.70%	1.05%	0.27%	0.32%	0.53%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.18%	0.00%	0.00%	0.00%	0.66%									
