Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №13																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	45048	2442	2012	2584	2325	1323	1533	1518	1363	1276	1940	1467	1454	1662	1733	1985	1003	303	1137	1292	1526	1122	1165	461	1986	1734	790	546	733	1592	685	214	108	1076	657	301									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39140	2000	2000	2500	2000	1000	1500	1500	1000	1000	1500	1100	1100	1500	1500	1500	700	200	1000	1000	1500	1000	1000	400	1500	1500	600	1000	500	1500	700	200	90	1000	550	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16826	626	674	917	845	511	589	588	490	358	691	518	534	695	656	692	322	128	385	456	500	351	444	225	845	726	303	518	274	798	343	73	36	394	104	217									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1348	6	16	9	11	10	7	7	8	3	25	15	14	23	26	27	24	3	25	20	34	26	13	7	34	23	18	28	9	66	312	20	5	15	425	34									
6	Число погашенных избирательных бюллетеней	20966	1368	1310	1574	1144	479	904	905	502	639	784	567	552	782	818	781	354	69	590	524	966	623	543	168	621	751	279	454	217	636	45	107	49	591	21	249									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1348	6	16	9	11	10	7	7	8	3	25	15	14	23	26	27	24	3	25	20	34	26	13	7	34	23	18	28	9	66	312	20	5	15	425	34									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16811	623	674	915	845	511	589	588	490	358	691	517	533	695	656	691	322	128	383	456	500	351	443	223	845	725	303	518	274	798	343	72	36	394	104	217									
9	Число недействительных избирательных бюллетеней	470	9	8	15	27	8	10	9	14	6	18	16	20	29	15	16	5	4	9	14	16	6	14	1	28	27	8	18	3	23	28	3	0	23	16	4									
10	Число действительных избирательных бюллетеней	17689	620	682	909	829	513	586	586	484	355	698	516	527	689	667	702	341	127	399	462	518	371	442	229	851	721	313	528	280	841	627	89	41	386	513	247									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	817	30	30	35	40	20	25	20	20	20	25	25	35	25	25	25	25	20	25	25	25	25	20	10	45	25	25	25	25	40	5	10	10	15	17	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	471	16	17	29	34	16	18	12	8	11	21	17	27	14	21	21	5	3	15	9	13	6	2	6	35	18	10	6	10	35	0	2	1	12	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	984	55	20	19	16	21	18	26	16	18	23	21	18	39	17	31	25	34	12	15	20	19	82	54	49	24	57	55	6	20	29	16	12	41	37	19									
14	Число погашенных неиспользованных открепительных удостоверений	346	14	13	6	6	4	7	8	12	9	4	8	8	11	4	4	20	17	10	16	12	19	18	4	10	7	15	19	15	5	5	8	9	3	16	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	140	8	9	12	15	9	5	8	5	3	11	1	5	3	4	5	1	1	0	2	0	1	0	0	2	3	0	4	2	18	0	0	0	2	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	385	13	13	24	22	8	16	15	13	7	17	10	11	15	17	13	8	4	11	15	13	6	6	10	15	9	8	17	3	12	17	1	1	9	2	4									
		2.12%	2.07%	1.88%	2.60%	2.57%	1.54%	2.68%	2.52%	2.61%	1.94%	2.37%	1.88%	2.01%	2.09%	2.49%	1.81%	2.31%	3.05%	2.70%	3.15%	2.43%	1.59%	1.32%	4.35%	1.71%	1.20%	2.49%	3.11%	1.06%	1.39%	2.60%	1.09%	2.44%	2.20%	0.38%	1.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	266	8	9	13	14	11	11	7	4	6	12	9	5	14	13	11	2	4	9	6	1	3	5	2	18	16	6	10	2	6	7	0	0	10	2	10									
		1.46%	1.27%	1.30%	1.41%	1.64%	2.11%	1.85%	1.18%	0.80%	1.66%	1.68%	1.69%	0.91%	1.95%	1.91%	1.53%	0.58%	3.05%	2.21%	1.26%	0.19%	0.80%	1.10%	0.87%	2.05%	2.14%	1.87%	1.83%	0.71%	0.69%	1.07%	0.00%	0.00%	2.44%	0.38%	3.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	387	10	13	20	22	13	19	17	18	7	14	11	17	16	13	17	9	0	7	9	14	11	14	5	17	18	5	9	3	7	13	0	1	5	0	13									
		2.13%	1.59%	1.88%	2.16%	2.57%	2.50%	3.19%	2.86%	3.61%	1.94%	1.96%	2.07%	3.11%	2.23%	1.91%	2.37%	2.60%	0.00%	1.72%	1.89%	2.62%	2.92%	3.07%	2.17%	1.93%	2.41%	1.56%	1.65%	1.06%	0.81%	1.98%	0.00%	2.44%	1.22%	0.00%	5.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8072	221	276	384	329	198	251	241	193	126	259	210	245	311	266	269	179	53	165	188	235	171	203	97	393	312	133	245	140	498	491	52	20	177	441	100									
		44.45%	35.14%	40.00%	41.56%	38.43%	38.00%	42.11%	40.50%	38.76%	34.90%	36.17%	39.47%	44.79%	43.31%	39.00%	37.47%	51.73%	40.46%	40.44%	39.50%	44.01%	45.36%	44.52%	42.17%	44.71%	41.71%	41.43%	44.87%	49.47%	57.64%	74.96%	56.52%	48.78%	43.28%	83.36%	39.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	206	7	6	10	11	7	8	11	3	5	9	1	5	9	6	6	8	1	9	6	3	3	3	1	16	7	4	5	6	7	10	2	1	6	0	4									
		1.13%	1.11%	0.87%	1.08%	1.29%	1.34%	1.34%	1.85%	0.60%	1.39%	1.26%	0.19%	0.91%	1.25%	0.88%	0.84%	2.31%	0.76%	2.21%	1.26%	0.56%	0.80%	0.66%	0.43%	1.82%	0.94%	1.25%	0.92%	2.12%	0.81%	1.53%	2.17%	2.44%	1.47%	0.00%	1.59%									
24	"6. Политическая партия ""Гражданская Платформа"""	46	0	0	5	1	2	0	0	2	0	2	4	1	2	2	2	0	0	2	0	1	2	1	0	3	1	1	2	0	4	5	0	0	1	0	0									
		0.25%	0.00%	0.00%	0.54%	0.12%	0.38%	0.00%	0.00%	0.40%	0.00%	0.28%	0.75%	0.18%	0.28%	0.29%	0.28%	0.00%	0.00%	0.49%	0.00%	0.19%	0.53%	0.22%	0.00%	0.34%	0.13%	0.31%	0.37%	0.00%	0.46%	0.76%	0.00%	0.00%	0.24%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2226	74	87	118	101	79	78	75	59	40	94	72	73	80	99	105	42	4	59	65	78	39	42	22	98	104	32	63	46	128	36	13	9	54	22	36									
		12.26%	11.76%	12.61%	12.77%	11.80%	15.16%	13.09%	12.61%	11.85%	11.08%	13.13%	13.53%	13.35%	11.14%	14.52%	14.62%	12.14%	3.05%	14.46%	13.66%	14.61%	10.34%	9.21%	9.57%	11.15%	13.90%	9.97%	11.54%	16.25%	14.81%	5.50%	14.13%	21.95%	13.20%	4.16%	14.34%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	275	21	17	12	11	5	12	4	9	10	15	7	7	14	9	11	1	5	3	9	15	9	6	6	5	10	6	8	5	10	5	2	0	2	2	2									
		1.51%	3.34%	2.46%	1.30%	1.29%	0.96%	2.01%	0.67%	1.81%	2.77%	2.09%	1.32%	1.28%	1.95%	1.32%	1.53%	0.29%	3.82%	0.74%	1.89%	2.81%	2.39%	1.32%	2.61%	0.57%	1.34%	1.87%	1.47%	1.77%	1.16%	0.76%	2.17%	0.00%	0.49%	0.38%	0.80%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1680	70	85	99	123	75	63	76	60	51	96	54	41	75	82	83	23	20	33	37	35	26	45	24	74	56	21	28	20	25	8	3	1	39	9	20									
