Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
"Наименование Избирательной комиссии:    Нижний Новгород, Московская"																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611					
1	"Число избирателей, внесенных в списки"	111434	1318	2348	2292	1908	1864	2330	2127	1810	2020	1932	1700	1938	2062	1811	1778	1981	2050	2098	852	2108	2137	1849	1955	2102	2051	1762	2590	1927	2658	1956	2534	1500	2297	1755	1657	1483	1528	1556	1632	1867	1721	2155	1683	404	2334	2097	1818	1881	1974	2008	2311	2059	2164	2179	1948	2099	1984	1492					
2	"Число бюллетеней, полученных участковыми комиссиями"	100800	1200	2100	2100	1700	1700	2100	2000	1600	1800	1700	1500	1700	1900	1600	1600	1800	1900	1900	800	1900	1900	1700	1800	1900	1800	1600	2300	1700	2400	1700	2300	1400	2100	1600	1500	1400	1400	1400	1500	1700	1500	2000	1500	400	2100	1900	1600	1700	1800	1800	2100	1900	2000	2000	1800	1900	1800	1300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	47137	371	1041	1000	955	762	1039	973	832	972	855	729	761	853	719	830	906	814	920	448	913	789	703	869	947	879	725	1133	829	1150	728	1010	539	901	750	731	706	619	644	698	765	770	816	416	165	988	901	873	865	668	901	982	853	731	881	899	1003	847	770					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1061	26	20	15	21	19	19	29	24	22	23	28	30	27	15	24	9	18	66	13	25	12	20	9	9	21	11	9	26	15	20	28	38	14	11	6	17	16	5	10	22	17	19	4	9	14	13	15	24	13	12	7	27	17	21	22	14	15	6					
6	Число погашенных бюллетеней	52602	803	1039	1085	724	919	1042	998	744	806	822	743	909	1020	866	746	885	1068	914	339	962	1099	977	922	944	900	864	1158	845	1235	952	1262	823	1185	839	763	677	765	751	792	913	713	1165	1080	226	1098	986	712	811	1119	887	1111	1020	1252	1098	879	883	938	524					
7	Число бюллетеней в переносных ящиках для голосования	1061	26	20	15	21	19	19	29	24	22	23	28	30	27	15	24	9	18	66	13	25	12	20	9	9	21	11	9	26	15	20	28	38	14	11	6	17	16	5	10	22	17	19	4	9	14	13	15	24	13	12	7	27	17	21	22	14	15	6					
8	Число бюллетеней в стационарных ящиках для голосования	47088	371	1039	1000	955	762	1039	972	830	972	839	728	761	852	719	830	906	814	917	448	913	779	703	869	946	879	724	1131	829	1150	728	1006	539	901	750	731	706	619	644	698	765	769	817	416	165	986	906	873	865	668	901	980	852	731	881	896	1001	847	770					
9	Число недействительных бюллетеней	782	9	8	16	16	15	10	16	9	96	17	13	5	21	6	7	10	23	21	9	21	2	8	13	6	16	19	4	17	30	7	37	5	6	14	7	11	7	11	4	12	12	14	6	5	18	13	13	9	8	9	10	14	12	12	8	18	9	8					
10	Число действительных бюллетеней	47367	388	1051	999	960	766	1048	985	845	898	845	743	786	858	728	847	905	809	962	452	917	789	715	865	949	884	716	1136	838	1135	741	997	572	909	747	730	712	628	638	704	775	774	822	414	169	982	906	875	880	673	904	977	865	736	890	910	997	853	768					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	870	15	20	15	15	15	15	15	15	15	15	15	20	15	15	15	15	15	15	10	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	10	15	15	15	15	15	15	15	15	15	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	422	5	14	12	10	3	13	7	13	9	10	10	14	9	3	8	5	4	13	1	7	3	10	10	10	4	3	9	8	8	6	10	5	12	3	8	4	8	8	3	4	8	7	4	0	11	6	8	3	6	1	7	8	6	11	12	7	5	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	445	1	6	7	5	3	7	8	11	3	7	4	6	17	5	11	1	8	8	1	3	7	6	4	7	9	5	9	8	36	12	17	6	10	14	11	6	6	9	9	12	13	5	9	9	2	6	3	6	5	3	9	4	6	6	6	6	17	5					
14	Число погашенных открепительных удостоверений	448	10	6	3	5	12	2	8	2	6	5	5	6	6	12	7	10	11	2	9	8	12	5	5	5	11	12	6	7	7	9	5	10	3	12	7	11	7	7	12	11	7	8	11	10	4	9	7	12	9	14	8	7	9	4	3	8	10	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	525	7	9	15	4	6	8	9	7	9	11	13	5	14	14	4	10	6	10	9	6	8	8	10	6	16	8	7	11	16	7	13	9	4	8	10	4	5	6	11	14	8	8	9	4	10	10	6	8	13	13	14	10	10	12	10	7	4	12					
		1.09%	1.76%	0.84%	1.47%	0.40%	0.76%	0.75%	0.89%	0.81%	0.90%	1.27%	1.71%	0.63%	1.59%	1.90%	0.46%	1.09%	0.72%	1.01%	1.95%	0.63%	1.01%	1.10%	1.13%	0.62%	1.77%	1.08%	0.61%	1.28%	1.37%	0.93%	1.25%	1.55%	0.43%	1.05%	1.35%	0.55%	0.78%	0.92%	1.55%	1.77%	1.01%	0.95%	2.14%	2.29%	1.0%	1.08%	0.67%	0.89%	1.90%	1.42%	1.41%	1.13%	1.33%	1.33%	1.08%	0.68%	0.46%	1.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	5128	37	92	74	101	70	119	100	126	108	97	82	73	100	86	97	97	84	83	35	74	74	70	81	103	75	68	148	87	132	64	108	51	115	92	78	60	98	86	81	89	103	107	39	16	101	85	116	106	73	94	85	119	79	129	96	116	85	84					
