Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Кировская N 7																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631					
1	"Число избирателей, внесенных в списки избирателей"	124736	2194	2811	2352	2582	2329	2324	1679	1990	2409	2544	2011	1959	1648	2028	2219	2370	2156	2145	1900	2296	2226	2077	2572	2682	2809	2769	2407	2023	2017	1593	1488	2086	2301	2001	2382	1563	2768	2188	2426	2519	2845	1501	1963	1932	1998	2452	2421	2141	1982	1768	2723	1265	2206	2040	2321	233	2430	1672					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88100	1550	2000	1700	1800	1600	1650	1200	1500	1700	1750	1500	1350	1150	1500	1550	1600	1500	1500	1300	1650	1550	1500	1750	1800	2000	1800	1700	1500	1500	1100	1100	1500	1600	1500	1700	1100	2000	1550	1700	1750	1500	1050	1300	1500	1500	1700	1700	1500	1500	1250	2000	1000	1500	1500	1550	500	1700	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	64696	1192	1555	1107	1286	1205	1218	807	1115	1292	1375	954	1046	843	1138	1157	1167	1121	1015	959	1233	1109	1075	1341	1497	1385	1556	1240	1037	1078	853	797	1152	1183	991	1195	797	1463	1229	1303	1292	1468	730	1010	1039	1015	1283	1294	1168	971	841	1414	551	1063	999	1145	199	1240	908					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1103	25	19	21	27	15	14	14	35	24	19	12	0	21	36	15	25	40	19	15	16	21	14	17	18	15	30	21	23	13	19	21	18	35	16	23	17	25	31	21	20	9	7	18	29	20	31	12	9	9	27	20	0	14	16	19	0	23	10					
6	Число погашенных избирательных бюллетеней	22300	333	426	572	487	380	418	379	350	384	356	534	304	286	326	378	408	339	466	326	401	420	411	391	285	600	214	439	440	409	228	282	330	382	493	482	286	512	290	376	438	23	313	272	432	465	386	394	323	520	382	566	449	423	485	386	301	437	182					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1103	25	19	21	27	15	14	14	35	24	19	12	0	21	36	15	25	40	19	15	16	21	14	17	18	15	30	21	23	13	19	21	18	35	16	23	17	25	31	21	20	9	7	18	29	20	31	12	9	9	27	20	0	14	16	19	0	23	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64586	1188	1554	1107	1258	1201	1218	807	1115	1289	1375	954	1046	842	1138	1151	1167	1117	1014	959	1232	1109	1074	1341	1497	1385	1549	1240	1037	1078	851	797	1152	1182	988	1188	792	1463	1229	1303	1287	1460	730	1010	1039	1015	1283	1294	1167	969	839	1414	551	1062	999	1143	199	1240	898					
9	Число недействительных избирательных бюллетеней	553	9	13	14	15	9	11	8	10	9	11	9	9	4	14	10	8	10	6	13	11	3	10	14	15	11	16	6	7	3	10	11	18	15	8	7	5	12	13	14	8	7	7	3	7	10	6	11	5	8	16	11	4	9	4	13	4	11	8					
10	Число действительных избирательных бюллетеней	65136	1204	1560	1114	1270	1207	1221	813	1140	1304	1383	957	1037	859	1160	1156	1184	1147	1027	961	1237	1127	1078	1344	1500	1389	1563	1255	1053	1088	860	807	1152	1202	996	1204	804	1476	1247	1310	1299	1462	730	1025	1061	1025	1308	1295	1171	970	850	1423	547	1067	1011	1149	195	1252	900					
