Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Звериноголовская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360					
1	"Число избирателей, внесенных в список избирателей"	8186	151	238	183	1591	1159	699	150	125	184	704	62	127	419	49	42	498	283	608	914					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7520	140	230	170	1500	1100	600	140	110	180	650	60	110	400	40	40	450	250	500	850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4478	96	128	115	731	533	356	101	47	106	453	41	79	215	37	19	312	175	411	523					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	618	13	7	16	103	92	78	14	18	23	29	6	19	31	3	4	29	29	47	57					
6	Число погашенных избирательных бюллетеней	2424	31	95	39	666	475	166	25	45	51	168	13	12	154	0	17	109	46	42	270					
7	Число избирательных бюллетеней в переносных ящиках для голосования	618	13	7	16	103	92	78	14	18	23	29	6	19	31	3	4	29	29	47	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4478	96	128	115	731	533	356	101	47	106	453	41	79	215	37	19	312	175	411	523					
9	Число недействительных избирательных бюллетеней	88	3	2	2	10	9	18	4	0	2	3	1	2	6	1	1	9	1	9	5					
10	Число действительных избирательных бюллетеней	5008	106	133	129	824	616	416	111	65	127	479	46	96	240	39	22	332	203	449	575					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	506	26	10	10	48	70	40	20	10	19	30	15	18	27	15	3	27	35	43	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	481	26	10	10	40	70	29	20	9	16	28	15	18	27	15	3	27	35	43	40					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	175	5	2	1	26	18	12	2	4	2	8	3	4	7	5	1	13	3	50	9					
14	Число погашенных неиспользованных открепительных удостоверений	25	0	0	0	8	0	11	0	1	3	2	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	1	12	3	2	0	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	700	14	19	11	136	113	59	5	7	10	66	10	8	39	1	2	39	16	81	64					
		13.74%	12.84%	14.07%	8.40%	16.31%	18.08%	13.59%	4.35%	10.77%	7.75%	13.69%	21.28%	8.16%	15.85%	2.50%	8.70%	11.44%	7.84%	17.69%	11.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	691	12	4	10	103	84	71	14	10	13	63	3	9	38	10	1	28	38	89	91					
		13.56%	11.01%	2.96%	7.63%	12.35%	13.44%	16.36%	12.17%	15.38%	10.08%	13.07%	6.38%	9.18%	15.45%	25.00%	4.35%	8.21%	18.63%	19.43%	15.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	0	0	1	8	4	12	0	0	2	3	0	2	2	0	1	0	3	3	1					
		0.82%	0.00%	0.00%	0.76%	0.96%	0.64%	2.76%	0.00%	0.00%	1.55%	0.62%	0.00%	2.04%	0.81%	0.00%	4.35%	0.00%	1.47%	0.66%	0.17%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1196	18	48	49	212	132	88	26	11	13	125	20	19	57	12	6	78	40	112	130					
		23.47%	16.51%	35.56%	37.40%	25.42%	21.12%	20.28%	22.61%	16.92%	10.08%	25.93%	42.55%	19.39%	23.17%	30.00%	26.09%	22.87%	19.61%	24.45%	22.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	1	0	0	8	3	1	2	0	1	13	1	0	0	0	0	2	1	7	12					
		1.02%	0.92%	0.00%	0.00%	0.96%	0.48%	0.23%	1.74%	0.00%	0.78%	2.70%	2.13%	0.00%	0.00%	0.00%	0.00%	0.59%	0.49%	1.53%	2.07%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2311	61	62	58	356	280	183	63	36	87	209	12	58	102	16	12	183	104	154	275					
		45.35%	55.96%	45.93%	44.27%	42.69%	44.80%	42.17%	54.78%	55.38%	67.44%	43.36%	25.53%	59.18%	41.46%	40.00%	52.17%	53.67%	50.98%	33.62%	47.41%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	16	0	0	0	1	0	2	1	1	1	0	0	0	2	0	0	2	1	3	2					
		0.31%	0.00%	0.00%	0.00%	0.12%	0.00%	0.46%	0.87%	1.54%	0.78%	0.00%	0.00%	0.00%	0.81%	0.00%	0.00%	0.59%	0.49%	0.66%	0.34%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
