Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Агрызская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №488	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25228	896	646	711	931	713	933	723	1103	924	989	808	1195	1009	882	1065	514	151	146	214	655	742	455	175	194	136	362	505	239	531	649	262	372	217	145	177	377	225	180	331	1088	270	472	667	376	230	181	126	336									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25461	885	640	705	920	710	930	720	1110	964	985	832	1200	1015	880	1075	525	163	145	213	680	758	462	177	196	135	363	505	251	530	654	258	378	223	150	172	371	234	180	354	1116	271	474	668	394	238	186	127	339									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24101	812	614	691	896	680	900	686	1072	881	958	755	1140	957	813	1019	498	139	141	213	648	730	448	165	187	126	358	502	237	523	632	240	358	202	130	172	369	195	175	301	985	267	467	660	321	222	174	116	326									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	756	70	20	7	16	26	15	21	9	25	20	38	31	33	52	26	6	12	4	0	6	4	3	8	5	8	2	0	0	7	11	15	10	13	14	0	2	28	4	27	82	0	0	0	52	5	4	9	6									
6	Число погашенных избирательных бюллетеней	604	3	6	7	8	4	15	13	29	58	7	39	29	25	15	30	21	12	0	0	26	24	11	4	4	1	3	3	14	0	11	3	10	8	6	0	0	11	1	26	49	4	7	8	21	11	8	2	7									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	756	70	20	7	16	26	15	21	9	25	20	38	31	33	52	26	6	12	4	0	6	4	3	8	5	8	2	0	0	7	11	15	10	13	14	0	2	28	4	27	82	0	0	0	52	5	4	9	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24101	812	614	691	896	680	900	686	1072	881	958	755	1140	957	813	1019	498	139	141	213	648	730	448	165	187	126	358	502	237	523	632	240	358	202	130	172	369	195	175	301	985	267	467	660	321	222	174	116	326									
9	Число недействительных избирательных бюллетеней	29	0	0	0	0	0	2	1	0	0	0	0	1	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	24828	882	634	698	912	706	913	706	1081	906	978	793	1170	990	854	1045	504	150	145	213	654	734	451	173	192	134	360	502	237	530	643	245	368	215	144	172	371	223	179	328	1065	267	467	659	373	227	178	125	332									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	761	20	20	20	20	20	25	20	20	31	30	20	20	20	20	20	10	10	10	10	24	20	20	10	10	10	10	14	10	10	10	12	10	6	10	10	10	10	20	25	40	10	10	8	19	17	12	8	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	521	20	19	8	20	20	24	10	20	31	23	20	20	9	20	20	10	10	0	0	24	20	8	1	4	0	3	2	10	3	2	0	10	6	6	0	2	10	0	25	40	1	2	3	19	6	6	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	106	0	1	0	2	0	4	1	2	0	2	8	3	1	0	2	2	1	0	1	0	4	2	2	3	2	3	3	1	4	2	6	8	0	2	4	2	2	1	0	15	0	0	3	2	0	2	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	240	0	1	12	0	0	1	10	0	0	7	0	0	11	0	0	0	0	10	10	0	0	12	9	6	10	7	12	0	7	8	12	0	0	4	10	8	0	20	0	0	9	8	5	0	11	6	8	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	94	8	4	3	9	4	5	2	7	9	9	8	1	7	5	3	3	2	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	0	1	1	3	0	0	1	7	3	0	2	2	0	10	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	0	4	0	1	1	0	0	0	0	0									
		0.19%	0.00%	0.16%	0.14%	0.33%	0.00%	0.00%	0.14%	0.65%	0.33%	0.00%	0.25%	0.17%	0.00%	1.16%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	1.40%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.37%	0.00%	0.21%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	88	0	1	1	1	1	1	2	7	5	0	0	7	0	22	0	5	0	0	0	5	3	1	1	1	3	0	0	0	0	4	2	0	2	0	3	0	0	0	0	6	0	2	2	0	0	0	0	0									
		0.35%	0.00%	0.16%	0.14%	0.11%	0.14%	0.11%	0.28%	0.65%	0.55%	0.00%	0.00%	0.60%	0.00%	2.54%	0.00%	0.99%	0.00%	0.00%	0.00%	0.76%	0.41%	0.22%	0.58%	0.52%	2.24%	0.00%	0.00%	0.00%	0.00%	0.62%	0.78%	0.00%	0.93%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.43%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	47	0	2	2	1	1	0	1	4	2	2	2	4	2	0	0	5	0	0	0	1	0	0	0	0	3	0	2	0	0	1	0	1	2	0	0	0	0	1	0	4	0	1	2	0	0	1	0	0									
		0.19%	0.00%	0.32%	0.29%	0.11%	0.14%	0.00%	0.14%	0.37%	0.22%	0.20%	0.25%	0.34%	0.20%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	2.24%	0.00%	0.40%	0.00%	0.00%	0.16%	0.00%	0.27%	0.93%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.37%	0.00%	0.21%	0.30%	0.00%	0.00%	0.56%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	23805	856	596	657	866	695	861	664	972	856	939	746	1112	941	813	982	454	147	140	208	647	726	443	172	190	119	357	497	234	525	624	240	363	197	141	166	364	219	167	325	1012	265	454	637	367	222	176	123	328									
		95.77%	97.05%	94.01%	94.13%	94.96%	98.44%	94.10%	93.92%	89.92%	94.48%	96.01%	94.07%	94.96%	95.05%	93.99%	93.97%	90.08%	97.35%	96.55%	97.65%	98.93%	98.91%	98.23%	99.42%	98.96%	88.81%	99.17%	99.00%	98.73%	99.06%	97.05%	94.12%	98.64%	91.63%	97.92%	96.51%	98.11%	98.21%	93.30%	99.09%	94.85%	99.25%	97.22%	96.52%	98.39%	97.80%	98.88%	98.40%	98.80%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	1	0	1	0	0	0	0	2	0	0	1	0	0	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.06%	0.00%	0.16%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.09%	0.00%	0.00%	0.19%	0.40%	0.00%	0.00%	0.00%	0.15%	0.00%	0.22%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0									
		0.04%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	215	8	6	10	7	2	19	11	12	8	5	13	7	15	4	13	11	2	2	2	0	2	1	0	1	2	0	0	1	2	3	2	2	8	1	3	3	3	3	2	7	2	2	4	1	1	1	1	0									
		0.86%	0.91%	0.95%	1.43%	0.77%	0.28%	2.08%	1.56%	1.11%	0.88%	0.51%	1.64%	0.60%	1.52%	0.46%	1.24%	2.18%	1.32%	1.38%	0.94%	0.00%	0.27%	0.22%	0.00%	0.52%	1.49%	0.00%	0.00%	0.42%	0.38%	0.47%	0.78%	0.54%	3.72%	0.69%	1.74%	0.81%	1.35%	1.68%	0.61%	0.66%	0.75%	0.43%	0.61%	0.27%	0.44%	0.56%	0.80%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	19	0	0	0	0	0	0	1	3	2	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	1	0	0	0									
		0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.28%	0.22%	0.20%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.21%	0.30%	0.27%	0.44%	0.00%	0.00%	0.00%									
