Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Чеховская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №2962	УИК №2963	УИК №2964	УИК №2965	УИК №2966	УИК №2967	УИК №2968	УИК №2969	УИК №2970	УИК №2971	УИК №2972	УИК №2973	УИК №2974	УИК №2975	УИК №2976	УИК №2977	УИК №2978	УИК №2979	УИК №2980	УИК №2981	УИК №2982	УИК №2983	УИК №2984	УИК №2985	УИК №2986	УИК №2987	УИК №2988	УИК №2989	УИК №2990	УИК №2991	УИК №2992	УИК №2993	УИК №2994	УИК №2995	УИК №2996	УИК №2997	УИК №2998	УИК №2999	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011					
1	"Число избирателей, внесенных в списки"	92254	2820	785	1717	1315	3055	2238	2723	1969	1410	2398	1840	2900	2707	2567	2564	2646	2547	1515	2738	1981	849	1429	1883	2001	2222	2401	1081	1643	963	1988	1724	2070	723	2278	1195	2080	2119	601	291	127	340	1198	731	2315	1753	941	2769	2951	2470	2683					
2	"Число бюллетеней, полученных участковыми комиссиями"	87530	2600	700	1600	1200	3000	2200	2700	2000	1300	2300	1700	2800	2600	2400	2400	2400	2400	1400	2700	2000	700	1400	1800	1400	2000	2200	1010	1600	1000	2000	1600	1700	700	2200	1200	2000	2000	600	290	120	500	1100	700	2010	2000	900	2600	2700	2400	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	54461	1642	443	1043	871	1900	1365	1644	1174	942	1343	1047	1660	1524	1482	1632	1605	1628	928	1522	1186	495	830	973	726	1428	1396	549	850	655	1174	899	914	425	1203	688	1131	1197	389	182	34	308	680	675	1507	1087	635	1688	1875	1584	1703					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3600	20	33	10	0	34	52	149	31	35	51	27	28	40	34	21	43	30	22	97	55	95	35	67	641	62	49	224	120	29	58	18	333	97	124	46	58	67	114	78	70	32	109	0	35	108	9	18	68	15	9					
6	Число погашенных бюллетеней	29460	938	224	547	329	1066	783	901	795	323	906	626	1112	1036	884	747	752	742	450	1081	759	110	535	760	30	510	755	237	630	316	768	683	453	178	873	466	811	736	97	30	16	160	311	25	468	805	256	894	757	801	988					
7	Число бюллетеней в переносных ящиках для голосования	3600	20	33	10	0	34	52	149	31	35	51	27	28	40	34	21	43	30	22	97	55	95	35	67	641	62	49	224	120	29	58	18	333	97	124	46	58	67	114	78	70	32	109	0	35	108	9	18	68	15	9					
8	Число бюллетеней в стационарных ящиках для голосования	54376	1641	443	1043	868	1900	1365	1638	1172	942	1343	1047	1660	1524	1480	1632	1605	1626	928	1522	1186	495	830	973	726	1428	1396	549	850	626	1174	863	914	425	1203	688	1131	1197	389	182	34	308	680	675	1507	1087	635	1684	1875	1584	1703					
9	Число недействительных бюллетеней	1053	30	11	17	8	25	16	31	46	23	34	22	37	33	36	19	10	24	0	52	10	20	29	21	21	20	32	43	17	6	24	33	30	15	43	5	24	35	10	6	0	11	34	4	15	14	12	16	9	9	11					
10	Число действительных бюллетеней	56923	1631	465	1036	860	1909	1401	1756	1157	954	1360	1052	1651	1531	1478	1634	1638	1632	950	1567	1231	570	836	1019	1346	1470	1413	730	953	649	1208	848	1217	507	1284	729	1165	1229	493	254	104	329	755	671	1527	1181	632	1686	1934	1590	1701					
