Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Зерноградская районная																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №178	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №2565	УИК №2569	УИК №2572					
1	"Число избирателей, внесенных в списки избирателей"	50556	224	1639	1353	1923	1098	366	553	177	195	379	463	229	2019	165	259	336	97	769	1767	165	577	858	390	1523	329	126	863	338	233	143	215	214	188	164	1480	1237	216	367	509	488	779	229	314	471	2248	994	2800	1045	1333	1244	1385	1090	1226	1956	299	1010	204	1413	2432	1404	1169	175	702					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44801	220	1500	1150	1750	1000	320	500	176	198	370	435	225	1780	163	250	310	98	690	1600	171	570	790	360	1350	340	138	800	300	230	188	215	210	200	180	1400	1160	225	320	450	400	650	220	280	400	1900	850	2400	880	1110	1040	1190	950	1020	1700	260	850	168	1220	2080	1150	1020	181	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29121	163	820	720	1021	542	199	316	112	127	170	235	124	1145	105	128	200	74	408	1043	128	411	580	232	852	207	95	573	206	194	128	144	163	151	125	888	857	171	247	328	305	508	171	184	265	1250	463	1199	537	646	730	675	664	659	1111	159	613	117	850	1555	851	896	114	267					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3011	20	86	81	74	50	65	63	35	22	50	65	51	99	7	32	42	2	63	125	6	37	108	34	38	28	2	52	19	16	7	26	13	7	26	127	163	31	49	13	21	35	18	24	20	110	61	147	78	61	46	57	48	98	71	26	25	39	14	21	9	0	10	138					
6	Число погашенных избирательных бюллетеней	12669	37	594	349	655	408	56	121	29	49	150	135	50	536	51	90	68	22	219	432	37	122	102	94	460	105	41	175	75	20	53	45	34	42	29	385	140	23	24	109	74	107	31	72	115	540	326	1054	265	403	264	458	238	263	518	75	212	12	356	504	290	124	57	145					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3011	20	86	81	74	50	65	63	35	22	50	65	51	99	7	32	42	2	63	125	6	37	108	34	38	28	2	52	19	16	7	26	13	7	26	127	163	31	49	13	21	35	18	24	20	110	61	147	78	61	46	57	48	98	71	26	25	39	14	21	9	0	10	138					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29110	163	819	720	1021	542	199	316	112	127	170	235	124	1143	105	128	200	74	408	1043	128	411	580	232	852	207	95	573	206	194	128	144	163	151	125	888	857	171	247	328	305	508	171	184	265	1250	463	1199	537	646	730	675	664	659	1111	159	613	117	850	1552	851	891	114	267					
9	Число недействительных избирательных бюллетеней	270	5	14	7	9	5	2	2	0	0	2	1	1	15	1	1	3	1	6	14	1	3	2	3	7	0	0	2	1	1	1	2	5	0	2	15	4	0	4	6	3	1	0	1	6	6	7	10	8	2	4	1	3	8	13	0	8	0	8	19	4	8	0	2					
10	Число действительных избирательных бюллетеней	31851	178	891	794	1086	587	262	377	147	149	218	299	174	1227	111	159	239	75	465	1154	133	445	686	263	883	235	97	623	224	209	134	168	171	158	149	1000	1016	202	292	335	323	542	189	207	279	1354	517	1336	607	705	772	731	709	749	1169	185	630	156	856	1554	856	883	124	403					
