Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Калуга, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №8029	УИК №8091	УИК №8325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	109333	2396	1736	2671	1742	2339	1657	646	2010	1489	1483	1401	2436	2377	2427	1432	1251	1845	2372	2302	2381	2456	2160	2246	1751	1967	2665	2436	2019	1743	2153	1386	2626	2654	2213	2368	2296	2016	2837	2287	3145	2157	2340	1981	2105	1875	2441	1800	1229	302	1044	551	2197	2380	1288	302	290	471	248	515									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	129270	2000	1500	2000	1400	2000	1300	500	1400	1100	1100	1000	2000	2000	2000	1100	1000	1400	2000	2000	2000	2000	2000	2000	1500	1700	2000	2000	1800	1500	2000	1000	2000	2000	2000	2000	2000	1800	2000	1800	2300	1800	2000	1800	1800	1700	2000	1500	1000	250	1000	450	1800	1800	1000	280	290	3343	4200	33057									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41412	987	694	1094	625	1002	619	183	589	560	509	546	967	901	823	438	448	692	829	813	886	931	841	925	662	798	1067	954	706	664	788	497	918	933	772	870	871	767	1026	838	1617	762	956	747	725	641	853	625	335	68	384	152	769	794	438	15	289	446	248	515									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1382	46	79	13	17	8	21	4	15	17	16	17	16	18	18	25	25	20	11	18	33	5	18	12	14	22	16	20	25	40	15	6	20	2	10	11	11	10	22	10	5	9	16	39	12	14	26	57	83	41	12	12	42	8	7	248	0	25	0	0									
6	Число погашенных избирательных бюллетеней	86476	967	727	893	758	990	660	313	796	523	575	437	1017	1081	1159	637	527	688	1160	1169	1081	1064	1141	1063	824	880	917	1026	1069	796	1197	497	1062	1065	1218	1119	1118	1023	952	952	678	1029	1028	1014	1063	1045	1121	818	582	141	604	286	989	998	555	17	1	2872	3952	32542									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1382	46	79	13	17	8	21	4	15	17	16	17	16	18	18	25	25	20	11	18	33	5	18	12	14	22	16	20	25	40	15	6	20	2	10	11	11	10	22	10	5	9	16	39	12	14	26	57	83	41	12	12	42	8	7	248	0	25	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41350	987	694	1094	625	1001	598	183	589	560	509	545	967	901	821	437	448	692	826	811	885	931	841	921	662	798	1065	950	706	664	788	496	918	932	772	870	871	765	1026	831	1616	761	956	741	725	641	853	625	335	68	384	152	769	793	438	15	289	446	248	515									
9	Число недействительных избирательных бюллетеней	762	11	13	20	12	10	9	3	12	11	12	14	16	13	13	8	5	12	12	15	23	15	10	18	9	9	26	16	14	11	20	5	11	13	19	15	22	12	23	12	40	7	13	18	11	14	10	5	8	1	14	4	23	12	10	6	25	12	3	2									
10	Число действительных избирательных бюллетеней	41970	1022	760	1087	630	999	610	184	592	566	513	548	967	906	826	454	468	700	825	814	895	921	849	915	667	811	1055	954	717	693	783	497	927	921	763	866	860	763	1025	829	1581	763	959	762	726	641	869	677	410	108	382	160	788	789	435	257	264	459	245	513									
