Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Октябрьская"																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №149	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1697	УИК №1698	УИК №1952					
1	"Число избирателей, внесенных в списки избирателей"	116385	8	2229	1409	1940	1745	2116	1860	2186	2099	2060	2167	2109	1712	2279	2375	2166	2888	2462	2868	2692	2689	2748	1802	1972	2080	2454	2501	3077	3123	2535	2514	2409	1761	2075	2654	1553	2544	2411	2332	2035	2164	2435	2097	2328	2197	2529	2123	1846	2389	1996	2965	305	398	117	1718	36	91	12					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	101000	300	2000	1100	1700	1500	1900	1600	1900	1900	1900	1900	1800	1400	2000	2100	1900	2000	2200	2300	2300	2300	2400	1600	1700	1800	2200	2200	2400	2400	2200	2100	2100	1500	1800	2500	1300	2200	1900	2100	1600	1900	2100	1800	2000	1900	2200	1700	1600	2000	1700	2500	500	500	200	1500	300	300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66181	8	1224	695	1308	979	1192	1037	1329	1180	1275	1318	1288	938	1321	1403	1263	1706	1339	1769	1572	1511	1629	1036	1009	966	1322	1353	1858	2023	1418	1422	1378	1007	1239	1605	760	1454	1296	1340	1174	1221	1426	1199	1312	1224	1305	1064	884	1311	1036	1553	195	308	39	1022	35	91	12					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1765	0	21	14	30	54	15	33	33	33	34	45	23	35	14	28	37	49	26	28	28	12	27	17	15	30	36	35	36	21	36	42	26	28	13	5	31	32	9	30	24	16	26	32	21	32	46	48	72	27	49	38	90	90	78	15	0	0	0					
6	Число погашенных избирательных бюллетеней	33054	292	755	391	362	467	693	530	538	687	591	537	489	427	665	669	600	245	835	503	700	777	744	547	676	804	842	812	506	356	746	636	696	465	548	890	509	714	595	730	402	663	648	569	667	644	849	588	644	662	615	909	215	102	83	463	265	209	288					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1765	0	21	14	30	54	15	33	33	33	34	45	23	35	14	28	37	49	26	28	28	12	27	17	15	30	36	35	36	21	36	42	26	28	13	5	31	32	9	30	24	16	26	32	21	32	46	48	72	27	49	38	90	90	78	15	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66172	8	1223	695	1307	978	1192	1037	1329	1179	1275	1318	1288	938	1321	1403	1263	1706	1339	1769	1572	1511	1629	1036	1009	966	1321	1353	1858	2023	1417	1422	1378	1007	1239	1605	760	1454	1296	1340	1174	1221	1426	1199	1310	1224	1305	1064	883	1311	1036	1553	195	308	39	1022	35	91	12					
9	Число недействительных избирательных бюллетеней	799	0	16	3	16	8	9	19	17	19	17	16	18	11	14	16	11	23	17	13	12	29	19	17	17	9	13	16	17	31	15	18	20	12	17	30	6	12	13	21	15	11	12	9	15	17	25	8	12	16	15	19	1	2	2	12	0	1	0					
10	Число действительных избирательных бюллетеней	67138	8	1228	706	1321	1024	1198	1051	1345	1193	1292	1347	1293	962	1321	1415	1289	1732	1348	1784	1588	1494	1637	1036	1007	987	1344	1372	1877	2013	1438	1446	1384	1023	1235	1580	785	1474	1292	1349	1183	1226	1440	1222	1316	1239	1326	1104	943	1322	1070	1572	284	396	115	1025	35	90	12					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2037	0	44	25	39	34	35	30	45	40	45	55	40	37	40	40	45	65	40	50	50	55	65	40	25	30	50	50	60	50	60	45	45	35	40	60	25	50	45	45	40	30	20	30	30	30	28	20	35	30	17	33	0	0	0	20	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1788	0	43	14	36	32	28	21	31	32	45	43	39	32	40	35	39	54	40	48	48	46	65	34	21	30	48	41	53	50	56	36	42	24	39	51	24	50	39	30	34	21	20	22	26	30	28	16	25	21	13	33	0	0	0	20	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1835	8	12	9	28	22	33	15	18	21	19	19	26	30	23	21	26	31	15	47	47	9	24	21	11	23	26	7	180	379	17	42	13	8	18	43	11	24	28	21	17	4	14	16	9	23	13	19	16	30	31	7	24	106	26	9	19	74	3					
14	Число погашенных неиспользованных открепительных удостоверений	249	0	1	11	3	2	7	9	14	8	0	12	1	5	0	5	6	11	0	2	2	9	0	6	4	0	2	9	7	0	4	9	3	11	1	9	1	0	6	15	6	9	0	8	4	0	0	4	10	9	4	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	128	0	5	0	1	2	3	3	3	2	2	3	3	4	2	10	1	4	6	4	1	1	2	3	4	2	1	2	6	0	3	3	2	2	2	1	5	3	3	0	1	5	1	2	3	2	5	0	2	0	0	1	0	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	1451	0	19	19	28	24	26	33	29	21	33	34	30	18	34	36	31	27	39	28	32	39	25	26	14	17	24	39	37	47	33	35	30	11	22	34	16	26	26	14	27	27	30	20	23	76	49	14	13	27	28	28	3	7	2	21	0	0	0					
		2.14%	0.00%	1.53%	2.68%	2.09%	2.33%	2.15%	3.08%	2.13%	1.73%	2.52%	2.49%	2.29%	1.85%	2.55%	2.52%	2.38%	1.54%	2.86%	1.56%	2.00%	2.56%	1.51%	2.47%	1.37%	1.71%	1.77%	2.81%	1.95%	2.30%	2.27%	2.39%	2.14%	1.06%	1.76%	2.11%	2.02%	1.75%	1.99%	1.02%	2.25%	2.18%	2.07%	1.62%	1.73%	6.05%	3.63%	1.26%	1.36%	2.02%	2.58%	1.76%	1.05%	1.76%	1.71%	2.03%	0.00%	0.00%	0.00%					
