Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
"Наименование Избирательной комиссии:    Екатеринбург, Октябрьская "																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №149	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1697	УИК №1698	УИК №1952					
1	"Число избирателей, внесенных в список избирателей"	113206	1634	2158	1464	1877	1675	1857	1656	2145	1953	1897	1996	1953	1764	1891	2208	2113	2349	2075	2750	2565	2422	2655	1685	1776	658	2068	2155	2584	2702	2578	2309	2249	1722	2154	2928	1857	2739	2327	2271	1911	2039	2519	2106	2219	2078	2491	2348	1721	2221	2375	2128	225	346	80	1646	1817	230	887					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	99100	1400	1600	1300	1500	1300	1400	1300	1600	1500	1500	1800	1500	1400	1500	2000	1600	1700	2000	2500	2300	2300	2400	1300	1400	1500	1800	2000	2500	2500	2500	2000	2000	1300	2000	2200	1600	2500	2000	2000	1700	1800	2300	1900	2000	1800	2400	1700	1500	2000	1800	1700	600	600	200	1500	1400	1000	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	57561	808	1012	569	1076	846	1068	850	1212	995	1141	1150	1103	924	1022	1208	1154	1133	1134	1398	1437	1347	1484	901	850	652	1033	1045	1345	1374	1308	1023	1139	836	1120	1255	754	1344	1112	1176	1011	1008	1277	1042	1124	968	1002	1068	610	1039	1271	874	219	270	9	858	878	230	465					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	962	7	12	4	30	24	12	17	18	25	20	18	18	25	11	26	23	10	9	16	13	18	10	9	8	6	26	24	20	17	18	9	10	18	10	2	12	13	10	15	5	9	10	18	10	25	27	18	42	12	16	18	0	76	43	13	10	0	17					
6	Число погашенных избирательных бюллетеней	40577	585	576	727	394	430	320	433	370	480	339	632	379	451	467	766	423	557	857	1086	850	935	906	390	542	842	741	931	1135	1109	1174	968	851	446	870	943	834	1143	878	809	684	783	1013	840	866	807	1371	614	848	949	513	808	381	254	148	629	512	770	218					
7	Число избирательных бюллетеней в переносных ящиках для голосования	962	7	12	4	30	24	12	17	18	25	20	18	18	25	11	26	23	10	9	16	13	18	10	9	8	6	26	24	20	17	18	9	10	18	10	2	12	13	10	15	5	9	10	18	10	25	27	18	42	12	16	18	0	76	43	13	10	0	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	57548	808	1012	569	1075	846	1068	850	1212	995	1141	1149	1103	924	1022	1208	1153	1133	1131	1398	1434	1347	1483	901	850	652	1032	1045	1345	1374	1307	1023	1139	836	1120	1255	754	1344	1112	1176	1011	1008	1277	1042	1124	968	1002	1068	610	1038	1271	874	219	270	9	858	878	230	465					
9	Число недействительных избирательных бюллетеней	1487	24	15	31	35	24	31	26	28	35	16	15	18	21	23	27	25	14	26	24	30	35	31	22	37	9	33	36	25	39	31	26	22	29	20	27	27	70	33	34	29	31	33	28	33	33	29	29	17	28	21	22	4	27	2	10	25	1	11					
10	Число действительных избирательных бюллетеней	57023	791	1009	542	1070	846	1049	841	1202	985	1145	1152	1103	928	1010	1207	1151	1129	1114	1390	1417	1330	1462	888	821	649	1025	1033	1340	1352	1294	1006	1127	825	1110	1230	739	1287	1089	1157	987	986	1254	1032	1101	960	1000	1057	635	1022	1266	870	215	319	50	861	863	229	471					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2471	20	55	40	40	40	40	40	40	40	40	40	40	40	48	60	43	37	55	44	44	40	68	55	40	40	40	40	50	60	62	53	40	40	50	170	40	50	47	33	40	40	40	27	40	40	50	40	40	40	40	40	0	0	0	40	45	20	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2248	20	47	32	39	35	31	27	29	26	40	37	40	37	48	59	41	31	53	44	44	40	68	55	39	35	40	40	50	59	61	53	26	29	38	170	27	50	45	29	37	31	40	21	40	38	50	33	25	39	39	36	0	0	0	33	45	6	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1655	94	8	8	21	34	36	18	27	16	41	26	30	22	27	28	27	32	12	23	36	17	28	19	21	20	16	50	21	20	23	25	13	7	22	20	14	20	52	24	8	10	11	14	19	17	13	106	16	63	38	18	26	76	9	14	25	160	14					
14	Число погашенных неиспользованных открепительных удостоверений	223	0	8	8	1	5	9	13	11	14	0	3	0	3	0	1	2	6	2	0	0	0	0	0	1	5	0	0	0	1	1	0	14	11	12	0	13	0	2	4	3	9	0	6	0	2	0	7	15	1	1	4	0	0	0	7	0	14	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	0	1	0	1	0	0	0	0	1	0	0	1	1	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
