Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    Усть-Камчатская															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167					
1	"Число избирателей, внесенных в список избирателей"	9106	1047	94	1883	758	1671	1978	1473	202					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9775	1065	116	2111	872	1809	1900	1700	202					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	214	25	0	0	0	189	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5826	641	83	1144	486	1220	1231	867	154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	546	114	8	116	58	32	99	99	20					
6	Число погашенных избирательных бюллетеней	3189	285	25	851	328	368	570	734	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	757	139	8	116	58	218	99	99	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5813	641	83	1139	486	1217	1227	866	154					
9	Число недействительных избирательных бюллетеней	135	7	8	25	15	25	31	24	0					
10	Число действительных избирательных бюллетеней	6435	773	83	1230	529	1410	1295	941	174					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	30	5	35	20	55	30	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	91	3	0	10	5	53	8	9	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	2	0	1	0	9	5	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	109	27	5	25	15	2	22	11	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	647	65	10	115	84	121	136	98	18					
		9.85%	8.33%	10.99%	9.16%	15.44%	8.43%	10.26%	10.16%	10.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1272	109	10	232	91	423	211	165	31					
		19.36%	13.97%	10.99%	18.49%	16.73%	29.48%	15.91%	17.10%	17.82%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	9	0	10	14	27	40	34	3					
		2.09%	1.15%	0.00%	0.80%	2.57%	1.88%	3.02%	3.52%	1.72%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	834	101	10	148	51	207	149	137	31					
		12.69%	12.95%	10.99%	11.79%	9.38%	14.43%	11.24%	14.20%	17.82%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	183	13	1	27	10	16	56	59	1					
		2.79%	1.67%	1.10%	2.15%	1.84%	1.11%	4.22%	6.11%	0.57%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3322	474	52	695	275	612	691	433	90					
		50.56%	60.77%	57.14%	55.38%	50.55%	42.65%	52.11%	44.87%	51.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	40	2	0	3	4	4	12	15	0					
		0.61%	0.26%	0.00%	0.24%	0.74%	0.28%	0.90%	1.55%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
