Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Великоустюгская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46169	1528	1320	2333	1746	2072	1349	1563	1838	1110	1413	1493	1053	1558	1554	1920	675	1363	1371	1476	1383	428	940	225	288	188	770	940	407	280	273	316	1210	302	244	82	161	74	91	1266	1179	254	175	491	270	368	918	230	1034	523	448	671	713	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43930	1400	1300	2300	1700	2000	1300	1500	1700	1000	1400	1500	1000	1500	1500	1900	600	1300	1300	1400	1300	400	900	200	250	190	700	900	400	250	250	300	1200	300	200	80	150	70	90	1200	1000	250	150	500	250	300	900	200	1000	500	400	600	700	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18181	613	470	976	729	868	623	586	685	409	568	627	432	639	630	737	227	414	500	648	564	200	348	97	86	95	326	243	189	108	120	154	440	130	97	42	84	36	38	348	384	85	61	197	98	146	358	75	472	202	202	247	394	134									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1895	16	23	21	20	21	37	23	65	17	9	22	5	29	34	36	27	31	64	54	40	32	36	27	49	15	36	69	15	13	26	20	63	65	41	7	13	9	7	92	54	26	17	29	16	69	93	28	139	64	32	53	26	20									
6	Число погашенных избирательных бюллетеней	23854	771	807	1303	951	1111	640	891	950	574	823	851	563	832	836	1127	346	855	736	698	696	168	516	76	115	80	338	588	196	129	104	126	697	105	62	31	53	25	45	760	562	139	72	274	136	85	449	97	389	234	166	300	280	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1895	16	23	21	20	21	37	23	65	17	9	22	5	29	34	36	27	31	64	54	40	32	36	27	49	15	36	69	15	13	26	20	63	65	41	7	13	9	7	92	54	26	17	29	16	69	93	28	139	64	32	53	26	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18161	597	470	976	729	868	623	586	685	409	568	627	432	638	630	735	226	414	500	648	564	200	348	97	86	95	326	243	189	108	120	154	440	130	97	42	84	36	38	348	384	85	61	197	98	146	358	75	472	202	202	247	394	134									
9	Число недействительных избирательных бюллетеней	488	9	10	22	16	15	10	12	19	12	15	12	15	16	14	13	4	10	8	13	17	37	15	6	1	1	5	1	1	6	2	2	14	2	1	1	1	0	4	7	17	3	1	11	2	2	8	1	10	6	4	38	11	5									
10	Число действительных избирательных бюллетеней	19568	604	483	975	733	874	650	597	731	414	562	637	422	651	650	758	249	435	556	689	587	195	369	118	134	109	357	311	203	115	144	172	489	193	137	48	96	45	41	433	421	108	77	215	112	213	443	102	601	260	230	262	409	149									
