Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Азовская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17468	1221	1084	1495	1357	198	399	310	169	169	779	139	112	476	890	821	247	478	474	793	212	242	241	299	197	260	422	1130	299	219	158	404	80	822	577	295									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17440	1100	1000	1400	1300	200	390	690	170	170	770	140	120	480	900	810	255	485	470	770	210	245	240	290	195	270	415	1100	295	220	160	395	85	820	580	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7355	465	471	716	524	53	174	308	57	78	288	59	57	216	285	215	63	253	189	361	85	116	129	148	101	137	205	404	111	115	55	159	53	332	241	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	326	26	12	13	55	2	15	2	12	13	10	0	9	6	9	16	0	11	9	16	7	7	3	7	0	18	2	11	1	0	2	4	0	11	14	3									
6	Число погашенных избирательных бюллетеней	9759	609	517	671	721	145	201	380	101	79	472	81	54	258	606	579	192	221	272	393	118	122	108	135	94	115	208	685	183	105	103	232	32	477	325	165									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	326	26	12	13	55	2	15	2	12	13	10	0	9	6	9	16	0	11	9	16	7	7	3	7	0	18	2	11	1	0	2	4	0	11	14	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7341	464	459	716	524	53	174	308	57	78	288	59	57	216	285	215	63	253	189	361	85	116	129	148	101	137	205	403	111	115	55	159	53	332	241	132									
9	Число недействительных избирательных бюллетеней	247	17	12	10	16	1	5	11	5	0	11	4	1	13	10	7	0	11	5	13	3	4	5	8	2	3	10	15	5	2	2	5	0	18	6	7									
10	Число действительных избирательных бюллетеней	7420	473	459	719	563	54	184	299	64	91	287	55	65	209	284	224	63	253	193	364	89	119	127	147	99	152	197	399	107	113	55	158	53	325	249	128									
