Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Междуреченская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5280	389	149	492	381	1241	674	454	275	89	709	427									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5200	390	150	500	380	1200	670	450	280	80	700	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2056	193	60	185	158	489	292	136	78	36	258	171									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	607	54	33	126	35	80	43	74	47	16	41	58									
6	Число погашенных избирательных бюллетеней	2537	143	57	189	187	631	335	240	155	28	401	171									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	607	54	33	126	35	80	43	74	47	16	41	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2056	193	60	185	158	489	292	136	78	36	258	171									
9	Число недействительных избирательных бюллетеней	61	4	1	7	7	14	7	7	1	2	8	3									
10	Число действительных избирательных бюллетеней	2602	243	92	304	186	555	328	203	124	50	291	226									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	285	35	15	20	25	45	35	20	10	10	40	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	87	13	7	20	10	10	8	4	5	0	2	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	58	5	5	8	3	12	12	2	0	4	1	6									
14	Число погашенных неиспользованных открепительных удостоверений	198	22	8	0	15	35	27	16	5	10	38	22									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	3	2	2	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
