Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    ЗАТО г.Большой Камень																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125					
1	"Число избирателей, внесенных в список"	30666	1082	2295	2789	2912	2571	2509	2653	2809	2873	2790	2572	1632	1179					
2	Число полученных избирательных бюллетеней	30999	1070	2300	2850	2860	2600	2550	2749	2900	2950	2800	2500	1650	1220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20057	533	1659	1879	1927	1779	1684	1733	1922	2029	1721	1581	883	727					
5	"Число избирательных бюллетеней, выданных вне помещения"	734	67	21	61	138	54	42	54	26	46	49	65	82	29					
6	Число погашенных избирательных бюллетеней	10207	469	620	910	795	767	824	962	952	875	1030	854	685	464					
7	Число избирательных бюллетеней в переносных ящиках	734	67	21	61	138	54	42	54	26	46	49	65	82	29					
8	Число бюллетеней в стационарных ящиках для голосования	20048	533	1659	1879	1927	1778	1682	1730	1922	2028	1721	1580	882	727					
9	Число недействительных избирательных бюллетеней	229	9	8	20	30	11	15	20	26	17	29	19	16	9					
10	Число действительных избирательных бюллетеней	20553	591	1672	1920	2035	1821	1709	1764	1922	2057	1741	1626	948	747					
11	Число полученных открепительных  удостоверений	486	26	60	54	31	50	40	40	40	40	40	30	20	15					
12	Число выданных открепительных удостоверений	373	11	43	38	24	40	32	33	35	37	29	23	16	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	162	14	13	14	15	12	13	9	6	17	10	21	14	4					
14	Число неиспользованных открепительных удостоверений	113	15	17	16	7	10	8	7	5	3	11	7	4	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	1	0	1	1	0	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	1161	21	88	102	131	98	93	113	128	103	128	76	42	38					
		5.59%	3.50%	5.24%	5.26%	6.34%	5.35%	5.39%	6.33%	6.57%	4.97%	7.23%	4.62%	4.36%	5.03%					
19	. Малышкин Олег Александрович	856	15	68	73	87	80	67	84	75	74	69	86	52	26					
		4.12%	2.50%	4.05%	3.76%	4.21%	4.37%	3.89%	4.71%	3.85%	3.57%	3.90%	5.23%	5.39%	3.44%					
20	. Миронов Сергей Михайлович	193	9	18	16	13	15	13	15	13	29	13	23	7	9					
		0.93%	1.50%	1.07%	0.82%	0.63%	0.82%	0.75%	0.84%	0.67%	1.40%	0.73%	1.40%	0.73%	1.19%					
21	. Путин Владимир Владимирович	12172	386	1066	1152	1135	1051	990	1034	1142	1210	981	981	604	440					
		58.57%	64.33%	63.45%	59.38%	54.96%	57.37%	57.42%	57.96%	58.62%	58.34%	55.42%	59.64%	62.66%	58.20%					
22	. Хакамада Ирина Муцуовна	1042	15	76	95	109	78	107	104	80	124	87	64	44	59					
		5.01%	2.50%	4.52%	4.90%	5.28%	4.26%	6.21%	5.83%	4.11%	5.98%	4.92%	3.89%	4.56%	7.80%					
23	. Харитонов Николай Михайлович	3558	110	248	322	391	359	307	286	330	337	328	261	143	136					
		17.12%	18.33%	14.76%	16.60%	18.93%	19.60%	17.81%	16.03%	16.94%	16.25%	18.53%	15.87%	14.83%	17.99%					
																				
24	Против всех	1571	35	108	160	169	140	132	128	154	180	135	135	56	39					
		7.56%	5.83%	6.43%	8.25%	8.18%	7.64%	7.66%	7.17%	7.91%	8.68%	7.63%	8.21%	5.81%	5.16%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
