Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Сосновская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513					
1	"Число избирателей, внесенных в списки"	30623	2083	1848	1996	2084	869	395	264	813	500	132	628	537	244	447	408	1040	807	816	339	209	705	256	363	538	682	1154	196	259	418	206	231	945	303	260	195	220	421	351	278	86	1013	136	346	410	697	426	402	502	512	1653					
2	"Число бюллетеней, полученных участковыми комиссиями"	30124	2040	1775	1960	2047	862	390	264	802	488	137	621	537	241	433	401	1010	780	800	334	210	695	246	359	510	679	1154	193	255	414	206	236	940	303	259	196	213	423	346	250	84	1003	135	342	412	699	426	400	466	498	1650					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14037	887	936	808	890	328	263	69	415	215	68	197	276	155	245	164	417	324	373	125	128	452	130	194	302	268	427	130	131	173	123	153	477	163	153	97	119	238	94	169	41	444	75	177	237	282	271	204	276	284	470					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1564	25	29	39	38	9	0	80	62	47	33	26	19	12	23	8	37	38	88	55	15	19	43	9	26	39	123	20	49	6	0	0	63	31	24	5	0	18	44	33	13	90	26	21	38	73	2	7	14	25	20					
6	Число погашенных бюллетеней	14523	1128	810	1113	1119	525	127	115	325	226	36	398	242	74	165	229	556	418	339	154	67	224	73	156	182	372	604	43	75	235	83	83	400	109	82	94	94	167	208	48	30	469	34	144	137	344	153	189	176	189	1160					
7	Число бюллетеней в переносных ящиках для голосования	1564	25	29	39	38	9	0	80	62	47	33	26	19	12	23	8	37	38	88	55	15	19	43	9	26	39	123	20	49	6	0	0	63	31	24	5	0	18	44	33	13	90	26	21	38	73	2	7	14	25	20					
8	Число бюллетеней в стационарных ящиках для голосования	14025	884	936	808	890	328	263	69	415	215	68	197	276	155	243	164	417	324	373	125	128	452	130	194	302	268	427	130	131	173	123	153	477	163	153	97	119	238	94	169	41	444	75	177	237	282	271	204	276	284	463					
9	Число недействительных бюллетеней	512	21	13	12	19	30	39	3	3	14	0	23	17	4	12	18	13	9	3	5	6	11	6	6	22	11	8	6	1	7	4	0	12	5	8	3	0	0	0	11	1	21	5	3	14	4	11	10	13	24	21					
10	Число действительных бюллетеней	15077	888	952	835	909	307	224	146	474	248	101	200	278	163	254	154	441	353	458	175	137	460	167	197	306	296	542	144	179	172	119	153	528	189	169	99	119	256	138	191	53	513	96	195	261	351	262	201	277	285	462					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	35	35	45	35	5	3	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	3	5	3	3	3	3	3	5	3	3	3	3	3	3	3	3	5	3	3	3	3	3	3	3	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	20	5	0	2	5	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	22	1	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	2	0	1	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	1					
