Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Киясовская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8652	2870	836	377	450	493	186	169	146	258	156	307	145	554	135	217	152	252	460	112	131	246									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8445	2800	840	380	435	475	175	160	145	260	150	305	135	540	125	210	150	245	455	100	115	245									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4763	1497	420	221	248	266	55	76	95	141	108	207	96	323	68	129	96	142	272	73	76	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	403	61	27	19	21	26	26	14	10	30	7	13	5	15	6	13	21	17	30	9	8	25									
6	Число погашенных избирательных бюллетеней	3279	1242	393	140	166	183	94	70	40	89	35	85	34	202	51	68	33	86	153	18	31	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	403	61	27	19	21	26	26	14	10	30	7	13	5	15	6	13	21	17	30	9	8	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4754	1490	419	221	247	266	55	76	95	141	108	207	96	323	68	129	96	142	272	73	76	154									
9	Число недействительных избирательных бюллетеней	127	50	14	7	11	4	0	3	2	1	1	4	2	2	1	9	3	1	7	3	1	1									
10	Число действительных избирательных бюллетеней	5030	1501	432	233	257	288	81	87	103	170	114	216	99	336	73	133	114	158	295	79	83	178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	50	35	15	20	20	10	10	10	15	10	15	10	20	10	15	10	10	20	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	23	35	15	7	4	3	1	7	13	4	11	0	4	1	5	7	5	15	3	1	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	45	15	3	2	4	1	3	1	3	0	1	2	0	2	0	1	0	2	4	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	171	27	0	0	13	16	7	9	3	2	6	4	10	16	9	10	3	5	5	12	14	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
