Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Елецкая																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543	УИК  544	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556					
1	"Число избирателей, внесенных в списки"	22490	1881	323	488	349	797	224	307	1004	250	291	375	136	586	213	223	1605	926	759	257	186	119	1083	1230	668	2232	594	526	946	287	1064	1207	328	781	245					
2	"Число бюллетеней, полученных участковыми комиссиями"	22187	1881	329	480	349	788	217	279	1007	243	290	366	131	583	211	223	1603	922	739	247	184	115	1085	1239	662	2089	566	509	935	287	1071	1212	328	774	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11275	1110	152	292	189	414	81	96	465	95	130	205	70	374	101	84	653	364	470	164	64	47	586	685	366	1193	205	169	470	97	602	558	115	444	165					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2814	152	91	50	34	167	61	72	97	78	69	65	28	19	25	66	180	170	67	37	52	27	71	58	153	171	108	91	105	57	143	100	73	46	31					
6	Число погашенных бюллетеней	8098	619	86	138	126	207	75	111	445	70	91	96	33	190	85	73	770	388	202	46	68	41	428	496	143	725	253	249	360	133	326	554	140	284	47					
7	Число бюллетеней в переносных ящиках для голосования	2814	152	91	50	34	167	61	72	97	78	69	65	28	19	25	66	180	170	67	37	52	27	71	58	153	171	108	91	105	57	143	100	73	46	31					
8	Число бюллетеней в стационарных ящиках для голосования	11275	1110	152	292	189	414	81	96	465	95	130	205	70	374	101	84	653	364	470	164	64	47	586	685	366	1193	205	169	470	97	602	558	115	444	165					
9	Число недействительных бюллетеней	285	3	8	12	8	8	6	1	5	2	8	10	9	12	3	3	18	5	7	3	3	0	5	8	8	26	17	3	14	3	35	15	0	10	7					
10	Число действительных бюллетеней	13804	1259	235	330	215	573	136	167	557	171	191	260	89	381	123	147	815	529	530	198	113	74	652	735	511	1338	296	257	561	151	710	643	188	480	189					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	10	5	5	5	5	15	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	34	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	6	0	0	0	1	15	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	2	0	6	5	2	6	7	2	3	0	11	2	1	4	3	3	3	1	2	1	2	0	1	1	3	2	5	0	3	4	5	3	2	0					
14	Число погашенных открепительных удостоверений	161	8	4	5	2	5	5	5	5	5	5	5	5	5	5	5	3	9	5	5	5	5	5	4	5	4	5	5	5	4	0	3	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	227	21	6	13	7	8	2	0	5	1	1	4	1	9	1	3	9	12	8	2	2	6	4	20	6	13	6	2	10	3	21	10	1	3	7					
		1.61%	1.66%	2.46%	3.80%	3.13%	1.37%	1.40%	0.0%	0.88%	0.57%	0.50%	1.48%	1.02%	2.29%	0.79%	2.0%	1.08%	2.24%	1.48%	0.99%	1.72%	8.10%	0.60%	2.69%	1.15%	0.95%	1.91%	0.76%	1.73%	1.94%	2.81%	1.51%	0.53%	0.61%	3.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	223	17	6	3	10	7	3	1	8	1	3	4	1	3	4	3	8	13	1	0	2	0	6	2	11	51	6	2	11	2	7	19	2	6	0					
		1.58%	1.34%	2.46%	0.87%	4.48%	1.20%	2.11%	0.59%	1.42%	0.57%	1.50%	1.48%	1.02%	0.76%	3.17%	2.0%	0.96%	2.43%	0.18%	0.0%	1.72%	0.0%	0.91%	0.26%	2.11%	3.73%	1.91%	0.76%	1.91%	1.29%	0.93%	2.88%	1.06%	1.22%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	236	13	3	4	1	4	4	2	6	0	3	3	4	9	2	0	9	12	13	3	3	1	5	21	8	35	7	4	14	2	12	6	5	18	0					
		1.67%	1.03%	1.23%	1.16%	0.44%	0.68%	2.81%	1.19%	1.06%	0.0%	1.50%	1.11%	4.08%	2.29%	1.58%	0.0%	1.08%	2.24%	2.42%	1.49%	2.58%	1.35%	0.76%	2.82%	1.54%	2.56%	2.23%	1.53%	2.43%	1.29%	1.61%	0.91%	2.65%	3.67%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	180	20	1	3	1	2	0	2	8	2	4	7	1	2	5	0	12	13	12	0	0	1	8	7	1	25	0	3	13	2	12	4	3	6	0					
		1.27%	1.58%	0.41%	0.87%	0.44%	0.34%	0.0%	1.19%	1.42%	1.15%	2.01%	2.59%	1.02%	0.50%	3.96%	0.0%	1.44%	2.43%	2.23%	0.0%	0.0%	1.35%	1.21%	0.94%	0.19%	1.83%	0.0%	1.15%	2.26%	1.29%	1.61%	0.60%	1.59%	1.22%	0.0%					
22	"5. ""За Русь Святую"""	108	7	2	5	2	1	0	5	9	0	4	3	1	1	3	1	3	4	7	1	0	0	6	0	5	6	3	4	3	0	8	9	3	1	1					
		0.76%	0.55%	0.82%	1.46%	0.89%	0.17%	0.0%	2.97%	1.60%	0.0%	2.01%	1.11%	1.02%	0.25%	2.38%	0.66%	0.36%	0.74%	1.30%	0.49%	0.0%	0.0%	0.91%	0.0%	0.96%	0.43%	0.95%	1.53%	0.52%	0.0%	1.07%	1.36%	1.59%	0.20%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	1	1	1	0	0	0	1	1	0	0	2	0	0	0	2	0	0	1	0	0	0	2	0	4	2	1	2	3	0	1	1	1	2	0					
		0.20%	0.07%	0.41%	0.29%	0.0%	0.0%	0.0%	0.59%	0.17%	0.0%	0.0%	0.74%	0.0%	0.0%	0.0%	1.33%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.30%	0.0%	0.77%	0.14%	0.31%	0.76%	0.52%	0.0%	0.13%	0.15%	0.53%	0.40%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	63	6	1	1	4	2	0	1	2	0	0	0	0	1	0	3	3	0	2	0	0	1	2	2	2	6	0	0	7	2	4	8	0	2	1					
		0.44%	0.47%	0.41%	0.29%	1.79%	0.34%	0.0%	0.59%	0.35%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	2.0%	0.36%	0.0%	0.37%	0.0%	0.0%	1.35%	0.30%	0.26%	0.38%	0.43%	0.0%	0.0%	1.21%	1.29%	0.53%	1.21%	0.0%	0.40%	0.51%					
25	"8. ""Народно-республиканская партия России"""	25	5	0	1	1	1	0	4	1	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	1	1	0					
