Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Октябрьская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7987	1772	1591	288	1247	143	508	235	230	426	128	578	243	383	102	113									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8130	1797	1585	286	1266	145	525	250	228	447	133	597	248	390	109	124									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3136	748	589	90	395	55	207	83	102	164	54	246	100	183	66	54									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	251	20	18	0	65	7	20	8	15	18	2	36	24	3	8	7									
6	Число погашенных избирательных бюллетеней	4743	1029	978	196	806	83	298	159	111	265	77	315	124	204	35	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	251	20	18	0	65	7	20	8	15	18	2	36	24	3	8	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3136	748	589	90	395	55	207	83	102	164	54	246	100	183	66	54									
9	Число недействительных избирательных бюллетеней	146	37	28	1	29	2	6	0	6	13	0	3	7	12	1	1									
10	Число действительных избирательных бюллетеней	3241	731	579	89	431	60	221	91	111	169	56	279	117	174	73	60									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	30	30	10	30	10	20	15	15	20	15	20	15	20	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	14	8	0	3	1	6	6	2	15	0	13	6	2	7	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	51	8	6	4	2	3	1	0	7	1	0	9	6	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	188	16	22	10	27	9	14	9	13	5	15	7	9	18	8	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	6	1	0	4	0	1	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	9	11	5	2	0	1	1	1	0	0	1	0	1	0	0									
		0.94%	1.17%	1.81%	5.56%	0.43%	0.00%	0.44%	1.10%	0.85%	0.00%	0.00%	0.35%	0.00%	0.54%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	132	39	20	6	16	2	11	6	0	2	1	18	0	7	3	1									
		3.90%	5.08%	3.29%	6.67%	3.48%	3.23%	4.85%	6.59%	0.00%	1.10%	1.79%	6.38%	0.00%	3.76%	4.05%	1.64%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	63	17	18	1	6	0	4	2	0	4	0	4	2	3	1	1									
		1.86%	2.21%	2.97%	1.11%	1.30%	0.00%	1.76%	2.20%	0.00%	2.20%	0.00%	1.42%	1.61%	1.61%	1.35%	1.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1435	283	211	26	216	40	109	52	54	88	24	99	84	74	35	40									
		42.37%	36.85%	34.76%	28.89%	46.96%	64.52%	48.02%	57.14%	46.15%	48.35%	42.86%	35.11%	67.74%	39.78%	47.30%	65.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	4	4	0	2	0	2	0	0	1	0	1	0	0	0	1									
		0.44%	0.52%	0.66%	0.00%	0.43%	0.00%	0.88%	0.00%	0.00%	0.55%	0.00%	0.35%	0.00%	0.00%	0.00%	1.64%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1									
		0.12%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.61%	0.00%	0.00%	1.64%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	673	172	147	25	71	8	37	16	19	35	14	49	17	43	13	7									
		19.87%	22.40%	24.22%	27.78%	15.43%	12.90%	16.30%	17.58%	16.24%	19.23%	25.00%	17.38%	13.71%	23.12%	17.57%	11.48%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1									
		0.18%	0.39%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	6	3	1	1	0	1	0	0	0	0	0	0	2	0	0									
