Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Селтинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9968	260	407	514	689	343	223	588	380	335	2587	2026	234	415	179	288	193	113	194									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9500	250	400	500	650	300	200	600	350	300	2500	2000	200	400	150	250	175	100	175									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5131	142	229	234	281	169	100	389	154	174	1406	953	110	267	99	156	119	53	96									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	375	18	27	36	32	15	6	30	37	10	28	35	24	19	15	14	6	7	16									
6	Число погашенных избирательных бюллетеней	3994	90	144	230	337	116	94	181	159	116	1066	1012	66	114	36	80	50	40	63									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	375	18	27	36	32	15	6	30	37	10	28	35	24	19	15	14	6	7	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5127	142	229	231	281	169	100	388	154	174	1406	953	110	267	99	156	119	53	96									
9	Число недействительных избирательных бюллетеней	212	2	10	7	12	5	5	20	8	3	46	37	8	8	7	11	3	2	18									
10	Число действительных избирательных бюллетеней	5290	158	246	260	301	179	101	398	183	181	1388	951	126	278	107	159	122	58	94									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	15	15	15	20	10	10	15	15	15	35	30	10	15	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	91	3	3	1	18	3	1	12	2	0	20	10	0	15	1	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	5	2	2	7	5	0	10	4	1	8	5	2	3	1	4	2	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	154	12	12	14	2	7	9	3	13	15	15	20	10	0	4	3	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	5	0	0	0	0	0	2	0	0	1	4	2	2	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	1	3	0	3	2	0	4	2	2	4	5	1	2	0	1	2	1	2									
		0.64%	0.63%	1.17%	0.00%	0.96%	1.09%	0.00%	0.96%	1.05%	1.09%	0.28%	0.51%	0.75%	0.70%	0.00%	0.59%	1.60%	1.67%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	116	1	5	3	7	2	4	2	0	3	41	41	1	1	0	0	2	0	3									
		2.11%	0.63%	1.95%	1.12%	2.24%	1.09%	3.77%	0.48%	0.00%	1.63%	2.86%	4.15%	0.75%	0.35%	0.00%	0.00%	1.60%	0.00%	2.68%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	72	0	4	5	4	1	2	10	1	2	17	16	1	2	0	0	1	1	5									
		1.31%	0.00%	1.56%	1.87%	1.28%	0.54%	1.89%	2.39%	0.52%	1.09%	1.19%	1.62%	0.75%	0.70%	0.00%	0.00%	0.80%	1.67%	4.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3598	122	184	173	217	125	71	292	144	129	861	576	88	220	90	124	86	40	56									
		65.39%	76.25%	71.88%	64.79%	69.33%	67.93%	66.98%	69.86%	75.39%	70.11%	60.04%	58.30%	65.67%	76.92%	78.95%	72.94%	68.80%	66.67%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	1	1	1	2	1	0	2	2	1	6	4	1	1	0	0	0	0	1									
		0.44%	0.63%	0.39%	0.37%	0.64%	0.54%	0.00%	0.48%	1.05%	0.54%	0.42%	0.40%	0.75%	0.35%	0.00%	0.00%	0.00%	0.00%	0.89%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	0	1	1	0	0	3	0	1	1	3	0	0	0	1	0	0	1									
		0.22%	0.00%	0.00%	0.37%	0.32%	0.00%	0.00%	0.72%	0.00%	0.54%	0.07%	0.30%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.89%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	547	7	25	42	30	14	7	34	10	14	147	121	11	25	4	18	15	9	14									
		9.94%	4.38%	9.77%	15.73%	9.58%	7.61%	6.60%	8.13%	5.24%	7.61%	10.25%	12.25%	8.21%	8.74%	3.51%	10.59%	12.00%	15.00%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	0	0	0	0	0	0	2	0	1	2	1	0	0	0	1	0	1	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.54%	0.14%	0.10%	0.00%	0.00%	0.00%	0.59%	0.00%	1.67%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	199	5	2	9	9	4	0	6	10	2	69	51	5	5	3	5	7	1	6									
		3.62%	3.13%	0.78%	3.37%	2.88%	2.17%	0.00%	1.44%	5.24%	1.09%	4.81%	5.16%	3.73%	1.75%	2.63%	2.94%	5.60%	1.67%	5.36%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	0	0	0	1	0	4	0	0	2	2	0	0	0	1	0	0	0									
