Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Оконешниковская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11529	905	867	895	876	961	107	615	327	168	659	133	141	597	99	97	943	126	82	566	46	595	122	67	41	59	1082	104	129	120									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10525	800	780	800	800	850	101	530	300	170	600	134	140	550	98	98	850	124	78	520	46	550	131	67	39	65	950	105	130	119									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4584	385	411	303	281	380	52	238	160	46	226	70	75	233	52	51	345	56	54	282	36	196	66	34	26	50	334	57	36	49									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	701	65	17	37	44	20	4	71	22	19	67	2	12	43	7	6	73	11	7	42	3	70	18	6	0	6	22	0	3	4									
6	Число погашенных избирательных бюллетеней	5240	350	352	460	475	450	45	221	118	105	307	62	53	274	39	41	432	57	17	196	7	284	47	27	13	9	594	48	91	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	701	65	17	37	44	20	4	71	22	19	67	2	12	43	7	6	73	11	7	42	3	70	18	6	0	6	22	0	3	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4584	385	411	303	281	380	52	238	160	46	226	70	75	233	52	51	345	56	54	282	36	196	66	34	26	50	334	57	36	49									
9	Число недействительных избирательных бюллетеней	164	16	12	7	6	19	3	8	3	5	11	4	6	10	0	0	14	1	1	6	0	10	6	0	1	1	12	0	2	0									
10	Число действительных избирательных бюллетеней	5121	434	416	333	319	381	53	301	179	60	282	68	81	266	59	57	404	66	60	318	39	256	78	40	25	55	344	57	37	53									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	275	15	15	15	15	15	5	15	15	5	15	5	5	15	5	5	15	5	5	15	5	15	5	5	5	5	15	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	38	10	4	3	3	5	0	1	1	0	2	2	0	1	0	0	2	0	0	0	0	0	3	0	0	0	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	38	5	3	1	1	1	1	0	3	1	0	0	1	1	1	1	2	2	1	1	1	3	1	1	3	0	1	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	237	5	11	12	12	10	5	14	14	5	13	3	5	14	5	5	13	5	5	15	5	15	2	5	5	5	14	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
