Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																														
Дата голосования: 18.09.2016																																																														
																																																														
Наименование Избирательной комиссии:    Воркутинская городская																																																														
																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																														
																																																														
		Сумма	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №665	УИК №666	УИК №667									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69104	1701	973	1422	1283	1587	1304	1140	1305	1078	541	2186	1588	1769	1766	1440	2330	1474	1755	2729	1727	1786	1614	1463	1328	1118	1549	1516	1713	1582	1678	1531	1620	1343	1345	1434	2542	1782	755	1474	997	1634	829	1467	1238	1868	345	316	63	37	13	26									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23001	424	800	428	316	402	308	288	313	231	269	609	483	476	452	380	701	357	554	749	519	579	501	481	475	371	433	499	499	475	483	551	488	361	427	456	779	1400	600	432	290	483	257	421	1000	459	350	250	62	39	14	27									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	21	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19643	413	174	423	313	391	304	282	311	228	268	599	470	455	448	376	690	350	545	736	515	574	495	481	470	370	429	496	495	470	483	546	482	354	421	452	765	542	123	429	289	481	254	411	265	449	122	122	23	20	13	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	512	11	2	5	3	11	4	6	2	3	1	10	13	21	4	4	11	7	9	13	4	5	6	0	5	1	4	3	4	5	0	5	6	7	6	4	14	177	1	3	1	2	3	10	6	10	19	5	39	17	0	0									
6	Число погашенных избирательных бюллетеней	2759	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	410	0	0	0	0	0	708	0	209	123	0	2	1	1									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	598	11	2	5	3	11	3	6	2	3	1	10	13	21	4	4	11	7	9	13	4	5	6	0	5	1	4	3	4	5	0	5	6	7	6	4	14	177	67	3	1	2	3	10	27	10	19	5	39	17	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19599	413	174	423	312	391	304	282	311	228	268	599	470	455	448	376	690	349	544	735	515	568	495	479	469	367	426	493	487	463	481	546	480	354	419	452	764	542	123	429	289	481	254	411	265	449	122	122	23	20	13	26									
9	Число недействительных избирательных бюллетеней	519	22	7	6	3	13	3	5	11	12	8	11	6	4	17	7	16	1	6	26	11	21	15	10	19	12	13	19	9	17	5	18	15	4	17	11	14	25	6	12	9	16	6	6	7	4	1	10	1	0	1	1									
10	Число действительных избирательных бюллетеней	19678	402	169	422	312	389	304	283	302	219	261	598	477	472	435	373	685	355	547	722	508	552	486	469	455	356	417	477	482	451	476	533	471	357	408	445	764	694	184	420	281	467	251	415	285	455	140	117	61	37	12	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1175	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	326	5	2	4	6	5	1	3	6	8	6	15	5	8	8	4	4	7	10	10	6	8	11	6	6	5	9	5	8	5	6	11	9	4	9	5	17	9	5	8	4	2	4	8	3	9	25	2	0	0	0	0									
