Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Гремячинская городская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815					
1	"Число избирателей, внесенных в списки"	14305	2163	551	2323	1859	995	734	620	377	280	455	667	1753	1309	122	97					
2	"Число бюллетеней, полученных участковыми комиссиями"	14350	2200	580	2200	1950	1050	700	640	370	270	470	670	1750	1300	100	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8590	1300	288	1386	1123	597	413	449	210	157	279	416	1092	737	69	74					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	619	64	23	77	55	69	73	39	28	11	16	56	53	32	0	23					
6	Число погашенных бюллетеней	5141	836	269	737	772	384	214	152	132	102	175	198	605	531	31	3					
7	Число бюллетеней в переносных ящиках для голосования	619	64	23	77	55	69	73	39	28	11	16	56	53	32	0	23					
8	Число бюллетеней в стационарных ящиках для голосования	8590	1300	288	1386	1123	597	413	449	210	157	279	416	1092	737	69	74					
9	Число недействительных бюллетеней	163	20	6	41	26	0	5	3	3	3	7	6	23	14	2	4					
10	Число действительных бюллетеней	9046	1344	305	1422	1152	666	481	485	235	165	288	466	1122	755	67	93					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	401	55	20	78	55	35	20	25	10	11	15	12	30	25	10	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	309	46	14	67	52	27	12	20	6	4	13	10	23	15	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	215	14	7	20	12	20	11	3	7	7	5	8	10	3	3	85					
14	Число погашенных открепительных удостоверений	92	9	6	11	3	8	8	5	4	7	2	2	7	10	10	0					
15	Число открепительных удостоверений выданных ТИК	14	0	2	3	2	2	0	1	0	1	1	0	1	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
18	"1. ""ЕДИНЕНИЕ"""	157	27	3	15	18	13	8	7	3	7	7	8	22	17	1	1					
		1.70%	1.97%	0.96%	1.02%	1.52%	1.95%	1.64%	1.43%	1.26%	4.16%	2.37%	1.69%	1.92%	2.21%	1.44%	1.03%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	237	40	10	48	40	18	8	10	4	2	11	11	13	17	2	3					
		2.57%	2.93%	3.21%	3.28%	3.39%	2.70%	1.64%	2.04%	1.68%	1.19%	3.72%	2.33%	1.13%	2.21%	2.89%	3.09%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	593	60	19	86	73	37	36	21	24	6	13	30	109	71	3	5					
