Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Петроградская N18																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366					
1	"Число избирателей, внесенных в списки избирателей"	105604	1780	1592	2061	1575	2512	1737	1682	1980	2299	2232	2533	1545	2362	2059	1136	1140	1287	2289	2188	1896	1404	1606	1909	2136	1032	2020	1918	1191	1286	1657	2166	1131	2546	184	370	1877	1675	2085	2953	1505	1659	2304	1722	1267	965	1780	2718	3310	2789	1970	1595	1189	1156	1689	2725	1160	2422	2210	157	281					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	92700	1500	1500	1800	1400	2200	1500	1500	1800	2000	2000	2200	1400	2000	1900	1000	900	1100	2000	2000	1800	1200	1500	1700	1800	1000	1800	1700	1000	1100	1300	2000	1000	2300	500	500	1700	1500	1900	2500	1300	1500	1900	1500	1100	800	1800	2100	2500	2200	1700	1400	1000	1000	1500	2400	1000	2000	1900	200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53730	796	708	929	721	1202	866	798	915	1156	871	1237	764	1112	973	559	784	639	1056	860	912	680	748	908	992	481	942	953	552	678	911	1153	513	1334	184	370	949	700	916	1456	664	779	1611	739	602	413	1372	1985	2405	2010	936	769	486	475	895	1329	481	1187	977	157	180					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1379	29	18	16	7	24	11	18	18	21	34	20	12	40	21	10	6	14	16	19	18	8	11	27	16	39	30	26	43	16	12	62	49	36	0	0	22	21	14	33	14	19	8	25	11	22	9	23	28	7	9	21	128	15	42	34	10	23	50	0	44					
6	Число погашенных избирательных бюллетеней	37591	675	774	855	672	974	623	684	867	823	1095	943	624	848	906	431	110	447	928	1121	870	512	741	765	792	480	828	721	405	406	377	785	438	930	316	130	729	779	970	1011	622	702	281	736	487	365	419	92	67	183	755	610	386	510	563	1037	509	790	873	43	176					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1379	29	18	16	7	24	11	18	18	21	34	20	12	40	21	10	6	14	16	19	18	8	11	27	16	39	30	26	43	16	12	62	49	36	0	0	22	21	14	33	14	19	8	25	11	22	9	23	28	7	9	21	128	15	42	34	10	23	50	0	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53603	794	708	927	721	1202	855	796	912	1155	870	1237	761	1110	965	554	784	639	1049	857	911	680	747	906	987	480	941	952	552	675	906	1153	512	1318	184	370	949	699	913	1453	664	779	1611	734	601	413	1371	1983	2399	2008	936	767	486	475	893	1325	481	1183	974	157	179					
9	Число недействительных избирательных бюллетеней	542	11	3	11	7	9	7	5	9	15	8	15	18	13	16	9	7	6	12	5	11	9	5	11	15	1	4	8	2	3	4	15	5	12	3	0	8	6	12	15	6	3	15	3	7	0	23	22	37	18	6	6	0	4	12	15	9	11	9	0	1					
10	Число действительных избирательных бюллетеней	54440	812	723	932	721	1217	859	809	921	1161	896	1242	755	1137	970	555	783	647	1053	871	918	679	753	922	988	518	967	970	593	688	914	1200	556	1342	181	370	963	714	915	1471	672	795	1604	756	605	435	1357	1984	2390	1997	939	782	614	486	923	1344	482	1195	1015	157	222					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2680	31	32	50	35	50	35	35	50	50	50	50	35	55	50	35	35	35	50	50	200	35	70	35	59	30	50	50	35	35	50	50	21	55	0	0	35	35	50	57	35	35	50	58	30	35	35	50	50	50	32	35	35	35	35	85	60	120	50	0	0					
