Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Гороховецкая																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №827	УИК №828	УИК №829	УИК №831	УИК №832	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847					
1	"Число избирателей, внесенных в список избирателей"	18998	1572	1628	763	1309	1941	2467	841	1417	588	867	566	292	1179	281	899	276	1215	897					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19350	1600	1670	700	1300	2000	2500	850	1440	600	900	600	300	1230	300	900	270	1260	930					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8770	862	828	355	623	1002	1296	365	679	238	354	260	104	459	144	203	164	515	319					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1508	16	94	50	45	53	83	65	49	65	146	70	110	108	42	178	55	101	178					
6	Число погашенных избирательных бюллетеней	9072	722	748	295	632	945	1121	420	712	297	400	270	86	663	114	519	51	644	433					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1508	16	94	50	45	53	83	65	49	65	146	70	110	108	42	178	55	101	178					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8770	862	828	355	623	1002	1296	365	679	238	354	260	104	459	144	203	164	515	319					
9	Число недействительных избирательных бюллетеней	126	8	20	3	10	11	19	6	15	2	3	5	0	10	2	1	2	3	6					
10	Число действительных избирательных бюллетеней	10152	870	902	402	658	1044	1360	424	713	301	497	325	214	557	184	380	217	613	491					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	362	24	30	15	25	30	35	15	20	9	15	20	20	20	17	10	7	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	362	24	30	15	25	30	35	15	20	9	15	20	20	20	17	10	7	20	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	11	7	14	26	9	17	6	9	5	9	5	2	10	3	7	5	9	9					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	2	2	4	2	20	5	0	1	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1706	196	167	71	102	217	257	58	134	39	54	45	10	113	33	36	26	95	53					
		16.60%	22.32%	18.11%	17.53%	15.27%	20.57%	18.64%	13.49%	18.41%	12.87%	10.80%	13.64%	4.67%	19.93%	17.74%	9.45%	11.87%	15.42%	10.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1556	140	149	50	113	166	233	54	105	57	77	67	10	84	46	72	19	56	58					
		15.14%	15.95%	16.16%	12.35%	16.92%	15.73%	16.90%	12.56%	14.42%	18.81%	15.40%	20.30%	4.67%	14.81%	24.73%	18.90%	8.68%	9.09%	11.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	116	11	14	8	15	11	15	3	9	3	2	2	1	2	4	2	1	6	7					
		1.13%	1.25%	1.52%	1.98%	2.25%	1.04%	1.09%	0.70%	1.24%	0.99%	0.40%	0.61%	0.47%	0.35%	2.15%	0.52%	0.46%	0.97%	1.41%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2903	224	272	144	202	319	391	129	222	88	137	79	45	131	37	108	50	173	152					
		28.24%	25.51%	29.50%	35.56%	30.24%	30.24%	28.35%	30.00%	30.49%	29.04%	27.40%	23.94%	21.03%	23.10%	19.89%	28.35%	22.83%	28.08%	30.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	211	37	25	12	17	17	34	7	12	4	4	5	0	6	3	9	1	11	7					
		2.05%	4.21%	2.71%	2.96%	2.54%	1.61%	2.47%	1.63%	1.65%	1.32%	0.80%	1.52%	0.00%	1.06%	1.61%	2.36%	0.46%	1.79%	1.41%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3618	254	270	117	205	311	424	170	230	109	221	125	148	221	61	151	120	271	210					
		35.20%	28.93%	29.28%	28.89%	30.69%	29.48%	30.75%	39.53%	31.59%	35.97%	44.20%	37.88%	69.16%	38.98%	32.80%	39.63%	54.79%	43.99%	42.25%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	42	8	5	0	4	3	6	3	1	1	2	2	0	0	0	2	0	1	4					
		0.41%	0.91%	0.54%	0.00%	0.60%	0.28%	0.44%	0.70%	0.14%	0.33%	0.40%	0.61%	0.00%	0.00%	0.00%	0.52%	0.00%	0.16%	0.80%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
