Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																																	
																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																	
																																																																																																																	
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	164112	2615	1223	1514	1538	1397	789	1270	1952	1376	1298	2462	1825	2062	2416	2494	2116	1407	1041	1441	1820	1332	1667	1652	1536	1133	1342	1321	1550	2056	505	1945	1456	2125	1168	927	2244	1192	1683	1180	2274	1787	1977	1422	1891	1615	2019	2078	2388	2150	2477	1345	1646	710	1396	1645	1406	1353	2305	1050	1383	727	1218	1299	1218	1366	1825	1631	1302	1401	2187	1391	2606	1634	735	1273	1247	1064	1008	1099	2348	2324	1556	2298	1083	1532	1862	1839	1317	1856	1339	1664	2061	1181	2248	1475	1286	1730	1996	1578	2168	1396	1357									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	160000	2550	1200	1500	1500	1350	750	1250	1900	1350	1250	2400	1800	2000	2350	2450	2050	1350	1000	1400	1800	1300	1650	1600	1500	1100	1300	1300	1500	2000	500	1900	1400	2100	1150	900	2200	1150	1650	1150	2250	1750	1950	1400	1850	1550	1950	2050	2350	2100	2450	1300	1600	700	1350	1600	1350	1300	2250	1000	1350	700	1200	1250	1200	1350	1800	1600	1250	1350	2150	1300	2550	1600	700	1250	1200	1050	950	1050	2300	2300	1500	2250	1050	1500	1800	1800	1300	1800	1300	1600	2000	1150	2200	1450	1250	1700	1950	1550	2100	1350	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	141007	2306	1080	1373	1302	1193	356	1123	1720	1210	1128	1926	1547	1716	2042	2104	1840	1218	899	1250	1630	1176	1470	1444	1286	990	1149	1144	1336	1811	0	1692	1254	1881	1025	388	1960	1027	1471	1032	2035	1579	1767	1265	1656	1400	1761	1841	2122	956	2223	1172	1446	694	1200	1428	1215	1106	2034	900	1199	621	901	1127	1083	1210	1625	1442	1121	1224	1926	1162	2313	1414	629	1132	1055	952	861	956	2075	2090	1343	2038	963	1353	1627	1625	1170	1609	1170	1454	1809	1022	1976	1305	1139	1530	1765	1404	1908	1213	1167									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4048	18	8	28	65	38	356	6	0	6	6	252	87	97	3	1	14	4	5	15	5	2	13	7	73	9	30	29	19	3	493	33	5	24	15	422	22	15	17	10	2	3	5	5	20	4	7	20	12	950	2	5	5	0	24	21	10	74	8	9	20	15	187	5	4	19	3	6	14	4	20	15	5	30	5	1	37	1	9	2	15	0	22	10	2	3	12	5	7	24	6	4	3	18	17	11	4	11	6	4	3	6	12									
6	Число погашенных избирательных бюллетеней	14945	226	112	99	133	119	38	121	180	134	116	222	166	187	305	345	196	128	96	135	165	122	167	149	141	101	121	127	145	186	7	175	141	195	110	90	218	108	162	108	213	168	178	130	174	146	182	189	216	194	225	123	149	6	126	151	125	120	208	91	131	64	112	118	113	121	172	152	115	122	204	123	232	156	66	117	108	97	80	92	210	210	135	202	85	144	161	170	123	167	124	142	188	110	207	134	107	159	179	142	189	131	121									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4048	18	8	28	65	38	356	6	0	6	6	252	87	97	3	1	14	4	5	15	5	2	13	7	73	9	30	29	19	3	493	33	5	24	15	422	22	15	17	10	2	3	5	5	20	4	7	20	12	950	2	5	5	0	24	21	10	74	8	9	20	15	187	5	4	19	3	6	14	4	20	15	5	30	5	1	37	1	9	2	15	0	22	10	2	3	12	5	7	24	6	4	3	18	17	11	4	11	6	4	3	6	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	141007	2306	1080	1373	1302	1193	356	1123	1720	1210	1128	1926	1547	1716	2042	2104	1840	1218	899	1250	1630	1176	1470	1444	1286	990	1149	1144	1336	1811	0	1692	1254	1881	1025	388	1960	1027	1471	1032	2035	1579	1767	1265	1656	1400	1761	1841	2122	956	2223	1172	1446	694	1200	1428	1215	1106	2034	900	1199	621	901	1127	1083	1210	1625	1442	1121	1224	1926	1162	2313	1414	629	1132	1055	952	861	956	2075	2090	1343	2038	963	1353	1627	1625	1170	1609	1170	1454	1809	1022	1976	1305	1139	1530	1765	1404	1908	1213	1167									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	145055	2324	1088	1401	1367	1231	712	1129	1720	1216	1134	2178	1634	1813	2045	2105	1854	1222	904	1265	1635	1178	1483	1451	1359	999	1179	1173	1355	1814	493	1725	1259	1905	1040	810	1982	1042	1488	1042	2037	1582	1772	1270	1676	1404	1768	1861	2134	1906	2225	1177	1451	694	1224	1449	1225	1180	2042	909	1219	636	1088	1132	1087	1229	1628	1448	1135	1228	1946	1177	2318	1444	634	1133	1092	953	870	958	2090	2090	1365	2048	965	1356	1639	1630	1177	1633	1176	1458	1812	1040	1993	1316	1143	1541	1771	1408	1911	1219	1179									
