Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Докузпаринская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942					
1	"Число избирателей, внесенных в списки"	8881	1433	1110	739	472	820	580	2236	269	185	1037					
2	"Число бюллетеней, полученных участковыми комиссиями"	8810	1433	1084	732	466	820	580	2236	269	185	1005					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8710	1433	1075	725	463	812	573	2236	269	182	942					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2	0	0	2	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	98	0	9	5	3	8	7	0	0	3	63					
7	Число бюллетеней в переносных ящиках для голосования	2	0	0	2	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8710	1433	1075	725	463	812	573	2236	269	182	942					
9	Число недействительных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	8712	1433	1075	727	463	812	573	2236	269	182	942					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	46	4	8	5	0	5	7	8	3	2	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	9	0	6	0	0	0	0	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	37	4	2	5	0	5	7	5	3	2	4					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	2	0	2	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	436	72	54	36	23	40	29	112	14	9	47					
		5.00%	5.02%	5.02%	4.95%	4.96%	4.92%	5.06%	5.00%	5.20%	4.94%	4.98%					
