Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Рыбинская - 195																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13731	1815	273	409	746	432	2237	868	1803	519	2015	365	792	1457									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13668	1814	268	406	719	416	2245	852	1796	528	2026	358	781	1459									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4944	756	59	155	256	170	794	254	530	189	810	143	223	605									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	689	38	36	37	49	24	88	25	82	68	81	18	98	45									
6	Число погашенных избирательных бюллетеней	8035	1020	173	214	414	222	1363	573	1184	271	1135	197	460	809									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	689	38	36	37	49	24	88	25	82	68	81	18	98	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4944	756	59	155	256	170	794	254	530	189	810	143	223	605									
9	Число недействительных избирательных бюллетеней	125	36	0	2	10	5	15	6	10	10	20	3	3	5									
10	Число действительных избирательных бюллетеней	5508	758	95	190	295	189	867	273	602	247	871	158	318	645									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	240	30	5	10	15	10	30	15	30	15	30	10	15	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	84	7	2	3	2	2	9	5	5	12	23	2	3	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	8	3	6	31	16	6	24	20	5	12	6	16	8									
14	Число погашенных неиспользованных открепительных удостоверений	156	23	3	7	13	8	21	10	25	3	7	8	12	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	0	0	0	0	0	0	0	3	0	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	95	10	5	4	7	0	16	6	11	2	17	2	12	3									
		1.69%	1.26%	5.26%	2.08%	2.30%	0.00%	1.81%	2.15%	1.80%	0.78%	1.91%	1.24%	3.74%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	141	21	2	3	5	3	25	5	14	9	23	2	6	23									
		2.50%	2.64%	2.11%	1.56%	1.64%	1.55%	2.83%	1.79%	2.29%	3.50%	2.58%	1.24%	1.87%	3.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	116	11	1	2	4	5	19	8	15	3	22	3	7	16									
		2.06%	1.39%	1.05%	1.04%	1.31%	2.58%	2.15%	2.87%	2.45%	1.17%	2.47%	1.86%	2.18%	2.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2484	324	30	83	132	99	381	128	319	155	341	68	135	289									
		44.10%	40.81%	31.58%	43.23%	43.28%	51.03%	43.20%	45.88%	52.12%	60.31%	38.27%	42.24%	42.06%	44.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	73	9	4	1	2	0	13	6	7	2	19	2	1	7									
		1.30%	1.13%	4.21%	0.52%	0.66%	0.00%	1.47%	2.15%	1.14%	0.78%	2.13%	1.24%	0.31%	1.08%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	2	1	0	1	0	1	0	2	0	0	0	0	0									
		0.12%	0.25%	1.05%	0.00%	0.33%	0.00%	0.11%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1081	157	21	49	32	41	153	52	100	44	186	32	72	142									
		19.19%	19.77%	22.11%	25.52%	10.49%	21.13%	17.35%	18.64%	16.34%	17.12%	20.88%	19.88%	22.43%	21.85%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	5	2	0	0	2	5	1	3	1	2	2	2	3									
		0.50%	0.63%	2.11%	0.00%	0.00%	1.03%	0.57%	0.36%	0.49%	0.39%	0.22%	1.24%	0.62%	0.46%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	45	5	1	0	6	1	7	3	3	0	9	3	4	3									
		0.80%	0.63%	1.05%	0.00%	1.97%	0.52%	0.79%	1.08%	0.49%	0.00%	1.01%	1.86%	1.25%	0.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	1	0	0	0	1	0	0	1	0	1	1	0	0									
