Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Шарлыкская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789					
1	"Число избирателей, внесенных в список"	16212	396	250	204	297	167	361	244	331	207	375	219	287	807	208	145	415	252	310	103	53	65	516	104	184	199	385	372	730	143	106	296	247	251	397	104	1373	1325	1642	1620	206	316					
2	Число полученных избирательных бюллетеней	16417	396	247	203	294	164	366	251	340	210	385	219	298	822	207	149	417	253	318	105	55	67	543	104	188	203	392	374	742	144	109	303	248	256	402	106	1386	1322	1654	1636	210	329					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11202	278	201	193	231	137	343	203	204	156	326	182	237	655	127	124	350	215	237	71	43	56	440	78	156	179	220	207	443	104	95	244	219	200	279	47	702	791	860	964	149	256					
5	"Число избирательных бюллетеней, выданных вне помещения"	1406	55	19	7	26	11	12	21	76	21	7	10	25	50	41	11	45	25	27	4	6	6	29	16	10	7	85	100	69	8	0	37	7	33	18	8	111	92	128	102	19	22					
6	Число погашенных избирательных бюллетеней	3809	63	27	3	37	16	11	27	60	33	52	27	36	117	39	14	22	13	54	30	6	5	74	10	22	17	87	67	230	32	14	22	22	23	105	51	573	439	666	570	42	51					
7	Число избирательных бюллетеней в переносных ящиках	1406	55	19	7	26	11	12	21	76	21	7	10	25	50	41	11	45	25	27	4	6	6	29	16	10	7	85	100	69	8	0	37	7	33	18	8	111	92	128	102	19	22					
8	Число бюллетеней в стационарных ящиках для голосования	11202	278	201	193	231	137	343	203	204	156	326	182	237	655	127	124	350	215	237	71	43	56	440	78	156	179	220	207	443	104	95	244	219	200	279	47	702	791	860	964	149	256					
9	Число недействительных избирательных бюллетеней	149	3	3	1	1	0	7	13	1	1	5	1	4	7	2	3	6	0	2	0	2	0	5	1	7	0	3	2	0	2	1	2	11	1	8	2	3	9	6	14	2	8					
10	Число действительных избирательных бюллетеней	12459	330	217	199	256	148	348	211	279	176	328	191	258	698	166	132	389	240	262	75	47	62	464	93	159	186	302	305	512	110	94	279	215	232	289	53	810	874	982	1052	166	270					
11	Число полученных открепительных  удостоверений	398	8	8	8	8	8	8	7	7	7	7	7	7	15	7	7	7	7	10	6	6	6	15	8	8	8	15	15	15	8	8	15	8	12	7	3	16	22	20	23	7	4					
12	Число выданных открепительных удостоверений	199	4	2	0	7	1	6	5	7	5	7	1	7	9	1	1	0	0	10	0	0	0	8	0	1	2	3	3	8	1	0	3	0	10	7	0	12	22	18	22	2	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	2	1	1	3	0	0	0	0	1	0	1	1	0	1	1	0	0	0	1	0	0	3	1	1	0	4	1	0	1	0	2	0	0	1	1	4	3	3	0	0	1					
14	Число неиспользованных открепительных удостоверений	199	4	6	8	1	7	2	2	0	2	0	6	0	6	6	6	7	7	0	6	6	6	7	8	7	6	12	12	7	7	8	12	8	2	0	3	4	0	2	1	5	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	589	17	8	78	11	12	23	15	10	5	8	5	19	9	2	6	13	4	9	0	1	0	15	2	2	7	17	17	19	6	4	6	6	3	9	0	36	62	46	51	6	20					
		4.67%	5.11%	3.64%	39.00%	4.28%	8.11%	6.48%	6.70%	3.57%	2.82%	2.40%	2.60%	7.25%	1.28%	1.19%	4.44%	3.29%	1.67%	3.41%	0.00%	2.04%	0.00%	3.20%	2.13%	1.20%	3.76%	5.57%	5.54%	3.71%	5.36%	4.21%	2.14%	2.65%	1.29%	3.03%	0.00%	4.43%	7.02%	4.66%	4.78%	3.57%	7.19%					
19	. Малышкин Олег Александрович	410	17	4	0	17	5	23	4	11	10	8	1	9	8	0	0	21	9	7	3	1	0	13	2	0	6	17	6	12	8	3	9	1	14	2	2	24	38	45	37	6	7					
		3.25%	5.11%	1.82%	0.00%	6.61%	3.38%	6.48%	1.79%	3.93%	5.65%	2.40%	0.52%	3.44%	1.13%	0.00%	0.00%	5.32%	3.75%	2.65%	4.00%	2.04%	0.00%	2.77%	2.13%	0.00%	3.23%	5.57%	1.95%	2.34%	7.14%	3.16%	3.20%	0.44%	6.01%	0.67%	3.64%	2.95%	4.30%	4.55%	3.47%	3.57%	2.52%					
20	. Миронов Сергей Михайлович	101	7	2	0	2	1	1	0	1	2	2	0	2	6	1	1	4	0	4	6	0	0	3	8	2	0	1	3	2	1	1	2	0	1	0	0	7	9	8	3	6	2					
		0.80%	2.10%	0.91%	0.00%	0.78%	0.68%	0.28%	0.00%	0.36%	1.13%	0.60%	0.00%	0.76%	0.85%	0.60%	0.74%	1.01%	0.00%	1.52%	8.00%	0.00%	0.00%	0.64%	8.51%	1.20%	0.00%	0.33%	0.98%	0.39%	0.89%	1.05%	0.71%	0.00%	0.43%	0.00%	0.00%	0.86%	1.02%	0.81%	0.28%	3.57%	0.72%					
21	. Путин Владимир Владимирович	5096	147	57	116	143	99	120	95	117	38	151	103	135	153	46	47	180	139	142	51	23	26	165	41	68	71	121	130	132	68	64	124	97	88	148	33	351	325	361	390	97	94					
		40.42%	44.14%	25.91%	58.00%	55.64%	66.89%	33.80%	42.41%	41.79%	21.47%	45.35%	53.65%	51.53%	21.70%	27.38%	34.81%	45.57%	57.92%	53.79%	68.00%	46.94%	41.94%	35.18%	43.62%	40.96%	38.17%	39.67%	42.35%	25.78%	60.71%	67.37%	44.13%	42.92%	37.77%	49.83%	60.00%	43.17%	36.81%	36.54%	36.59%	57.74%	33.81%					
22	. Хакамада Ирина Муцуовна	206	6	1	0	4	0	7	4	6	1	8	1	3	11	3	1	3	2	9	0	5	0	8	3	2	2	7	5	11	3	3	6	6	3	2	0	7	14	23	20	2	4					
		1.63%	1.80%	0.45%	0.00%	1.56%	0.00%	1.97%	1.79%	2.14%	0.56%	2.40%	0.52%	1.15%	1.56%	1.79%	0.74%	0.76%	0.83%	3.41%	0.00%	10.20%	0.00%	1.71%	3.19%	1.20%	1.08%	2.30%	1.63%	2.15%	2.68%	3.16%	2.14%	2.65%	1.29%	0.67%	0.00%	0.86%	1.59%	2.33%	1.88%	1.19%	1.44%					
23	. Харитонов Николай Михайлович	5744	130	142	5	72	30	161	93	121	113	148	75	82	508	111	77	148	80	76	14	15	35	255	36	80	97	138	135	328	22	17	131	105	120	119	17	366	390	470	495	45	142					
		45.56%	39.04%	64.55%	2.50%	28.02%	20.27%	45.35%	41.52%	43.21%	63.84%	44.44%	39.06%	31.30%	72.06%	66.07%	57.04%	37.47%	33.33%	28.79%	18.67%	30.61%	56.45%	54.37%	38.30%	48.19%	52.15%	45.25%	43.97%	64.06%	19.64%	17.89%	46.62%	46.46%	51.50%	40.07%	30.91%	45.02%	44.17%	47.57%	46.44%	26.79%	51.08%					
																																																
24	Против всех	313	6	3	0	7	1	13	0	13	7	3	6	8	3	3	0	20	6	15	1	2	1	5	1	5	3	1	9	8	2	2	1	0	3	9	1	19	36	29	56	4	1					
		2.48%	1.80%	1.36%	0.00%	2.72%	0.68%	3.66%	0.00%	4.64%	3.95%	0.90%	3.12%	3.05%	0.43%	1.79%	0.00%	5.06%	2.50%	5.68%	1.33%	4.08%	1.61%	1.07%	1.06%	3.01%	1.61%	0.33%	2.93%	1.56%	1.79%	2.11%	0.36%	0.00%	1.29%	3.03%	1.82%	2.34%	4.08%	2.94%	5.25%	2.38%	0.36%					
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
																																																
