Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321					
1	"Число избирателей, внесенных в список избирателей"	52818	934	1640	1035	1118	525	1468	1192	1328	1759	1222	978	435	1461	564	1617	1691	1171	1386	1250	1324	1016	1158	1065	1080	1073	1740	1475	972	722	427	340	839	1102	846	224	511	272	263	917	473	414	357	634	684	411	227	347	448	613	304	641	1122	325	307	626	297	518	348	647	603	195	599	330	392	397	419					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45240	800	1400	900	900	400	1200	1000	1100	1500	1000	800	350	1200	450	1300	1400	1000	1200	1100	1100	900	1000	900	900	900	1500	1200	800	650	400	300	750	1000	750	250	500	250	250	800	400	350	300	550	600	350	200	300	400	550	250	550	1000	300	300	550	250	450	300	550	550	190	550	300	350	350	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21025	365	656	445	380	187	639	498	581	780	464	394	188	523	210	664	740	570	510	513	540	467	451	369	452	439	664	645	338	294	144	231	311	423	397	72	242	89	81	332	204	173	32	109	285	150	98	108	192	280	134	260	482	117	118	228	82	146	120	197	196	99	245	165	178	170	169					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3164	38	28	25	135	6	35	28	33	33	9	23	12	133	14	45	12	4	9	49	20	29	20	18	26	39	33	31	9	81	65	25	69	40	27	56	68	60	68	81	83	19	71	159	46	83	22	80	100	99	38	7	125	40	35	91	68	18	26	56	75	18	68	68	23	56	54					
6	Число погашенных избирательных бюллетеней	21051	397	716	430	385	207	526	474	486	687	527	383	150	544	226	591	648	426	681	538	540	404	529	513	422	422	803	524	453	275	191	44	370	537	326	122	190	101	101	387	113	158	197	282	269	117	80	112	108	171	78	283	393	143	147	231	100	286	154	297	279	73	237	67	149	124	127					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3164	38	28	25	135	6	35	28	33	33	9	23	12	133	14	45	12	4	9	49	20	29	20	18	26	39	33	31	9	81	65	25	69	40	27	56	68	60	68	81	83	19	71	159	46	83	22	80	100	99	38	7	125	40	35	91	68	18	26	56	75	18	68	68	23	56	54					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21023	365	656	445	380	187	638	498	581	779	464	394	188	523	210	664	740	570	510	513	540	467	451	369	452	439	664	645	338	294	144	231	311	423	397	72	242	89	81	332	204	173	32	109	285	150	98	108	192	280	134	260	482	117	118	228	82	146	120	197	196	99	245	165	178	170	169					
9	Число недействительных избирательных бюллетеней	320	3	8	6	8	5	10	7	7	11	8	7	2	17	7	15	7	12	8	10	6	11	4	7	8	3	11	13	1	13	2	0	2	5	2	1	3	1	0	5	5	2	0	4	7	0	0	0	0	6	0	4	8	1	1	0	1	2	3	3	0	0	11	1	0	0	5					
10	Число действительных избирательных бюллетеней	23867	400	676	464	507	188	663	519	607	801	465	410	198	639	217	694	745	562	511	552	554	485	467	380	470	475	686	663	346	362	207	256	378	458	422	127	307	148	149	408	282	190	103	264	324	233	120	188	292	373	172	263	599	156	152	319	149	162	143	250	271	117	302	232	201	226	218					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1055	15	29	20	20	10	30	20	27	25	20	20	10	35	10	25	25	20	20	20	20	20	20	20	20	20	25	25	10	20	20	5	14	15	35	20	20	5	5	20	5	5	20	10	20	20	20	5	20	7	20	8	10	5	10	5	20	20	7	5	6	5	17	5	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	674	14	25	20	15	5	28	13	25	17	18	7	5	35	2	22	12	20	17	6	20	10	11	15	10	13	12	20	6	8	10	1	14	15	35	20	20	0	0	6	5	1	1	7	4	1	12	1	3	7	0	8	10	0	7	4	0	4	5	4	5	2	17	4	0	3	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	413	16	8	7	15	8	18	8	8	37	12	14	10	11	5	12	6	16	2	4	12	2	4	4	5	3	5	8	10	3	5	5	4	13	4	1	1	2	1	5	7	3	2	4	8	2	5	2	2	5	4	6	8	3	3	2	4	4	1	6	3	2	6	0	2	1	4					
14	Число погашенных неиспользованных открепительных удостоверений	381	1	4	0	5	5	2	7	2	8	2	13	5	0	8	3	13	0	3	14	0	10	9	5	10	7	13	5	4	12	10	4	0	0	0	0	0	5	5	14	0	4	19	3	16	19	8	4	17	0	20	0	0	5	3	1	20	16	2	1	1	3	0	1	5	2	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	1	1	1	0	1	2	1	4	1	0	0	0	0	4	1	2	0	0	2	0	0	0	1	0	0	0	1	0	0	0	2	0	0	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
