Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Боровская																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68					
1	"Число избирателей, внесенных в списки"	45464	745	2798	2925	1416	1466	383	507	157	272	351	520	359	416	1364	426	1550	992	157	1538	308	425	3044	3175	2568	3143	1398	2852	2948	3073	2708	1480					
2	"Число бюллетеней, полученных участковыми комиссиями"	39634	640	2318	2520	1250	1280	253	457	140	238	307	470	315	373	1242	372	1305	873	133	1340	254	360	2680	2834	2252	2790	1220	2374	2592	2732	2430	1290					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20748	413	1340	1315	484	616	126	203	65	123	146	180	98	154	640	155	978	418	43	648	82	217	1492	1510	1305	1485	608	1470	1351	1274	1123	686					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1158	32	26	41	29	26	6	85	26	36	47	79	93	27	108	27	12	79	42	19	51	9	34	17	30	27	34	27	10	33	23	23					
6	Число погашенных бюллетеней	17728	195	952	1164	737	638	121	169	49	79	114	211	124	192	494	190	315	376	48	673	121	134	1154	1307	917	1278	578	877	1231	1425	1284	581					
7	Число бюллетеней в переносных ящиках для голосования	1158	32	26	41	29	26	6	85	26	36	47	79	93	27	108	27	12	79	42	19	51	9	34	17	30	27	34	27	10	33	23	23					
8	Число бюллетеней в стационарных ящиках для голосования	20678	413	1317	1307	484	616	126	203	65	123	146	180	98	154	638	155	977	418	43	648	82	217	1492	1510	1275	1482	607	1470	1351	1273	1122	686					
9	Число недействительных бюллетеней	304	1	10	19	8	18	3	0	0	4	1	0	3	0	8	0	16	6	1	19	0	2	62	9	15	16	4	19	10	17	21	12					
10	Число действительных бюллетеней	21532	444	1333	1329	505	624	129	288	91	155	192	259	188	181	738	182	973	491	84	648	133	224	1464	1518	1290	1493	637	1478	1351	1289	1124	697					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	773	14	24	44	25	25	10	10	10	10	10	13	10	10	25	10	45	20	10	23	10	15	44	44	44	44	25	44	44	44	44	23					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	201	6	2	7	1	2	1	2	0	1	0	4	0	3	4	0	32	3	0	6	0	1	7	10	10	13	2	27	30	10	6	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	152	3	6	13	6	2	4	6	2	1	1	4	2	3	3	0	3	2	0	7	2	2	17	13	3	4	3	13	14	4	5	4					
14	Число погашенных открепительных удостоверений	572	8	22	37	24	23	9	8	10	9	10	9	10	7	21	10	13	17	10	17	10	14	37	34	34	31	23	17	14	34	38	12					
15	Число открепительных удостоверений выданных ТИК	27	1	1	2	1	1	0	0	0	0	0	0	1	0	1	0	0	2	0	3	0	0	3	4	1	1	1	0	1	0	2	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
