Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Володарская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44111	1799	1979	1882	1056	1617	694	1742	781	2308	1235	1049	948	2093	2030	1883	1566	413	2936	1296	204	2091	2232	2085	2351	2776	1821	1049	195									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42600	1800	1950	1850	1050	1600	650	1750	750	2300	1180	1050	900	2100	1990	1850	1550	400	2500	1300	180	2000	2400	2000	2100	2350	1750	1000	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18416	534	553	604	259	484	211	696	266	808	489	396	186	778	678	635	363	101	1524	429	56	1014	1401	1097	1709	1747	833	372	193									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1045	10	8	50	34	20	21	9	80	14	31	29	49	3	62	21	70	20	5	11	35	13	61	36	42	216	56	37	2									
6	Число погашенных избирательных бюллетеней	23139	1256	1389	1196	757	1096	418	1045	404	1478	660	625	665	1319	1250	1194	1117	279	971	860	89	973	938	867	349	387	861	591	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1045	10	8	50	34	20	21	9	80	14	31	29	49	3	62	21	70	20	5	11	35	13	61	36	42	216	56	37	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18410	534	552	604	259	484	211	696	266	808	489	396	186	778	678	635	363	101	1524	429	56	1014	1401	1097	1709	1742	833	372	193									
9	Число недействительных избирательных бюллетеней	504	19	18	21	6	9	4	20	10	21	22	14	12	23	7	19	8	1	58	18	2	23	17	46	22	62	15	5	2									
10	Число действительных избирательных бюллетеней	18951	525	542	633	287	495	228	685	336	801	498	411	223	758	733	637	425	120	1471	422	89	1004	1445	1087	1729	1896	874	404	193									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	571	22	22	22	22	22	15	22	15	22	22	22	15	22	22	22	22	15	22	22	15	27	15	22	22	29	22	22	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	206	9	4	2	5	12	4	14	4	15	9	3	0	6	11	4	8	2	18	6	1	11	8	6	18	18	6	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	265	16	8	3	7	3	3	3	4	16	7	2	13	1	8	4	11	4	94	0	14	7	4	1	12	4	6	10	0									
14	Число погашенных неиспользованных открепительных удостоверений	365	13	18	20	17	10	11	8	11	7	13	19	15	16	11	18	14	13	4	16	14	16	7	16	4	11	16	21	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	1	0	0	0	0	0	0	2	0	0	2	2	5	4	1	1	4	0	0	2	1	1	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	549	13	17	17	13	11	13	25	7	24	5	13	7	31	34	29	12	5	88	14	2	28	32	22	20	33	13	20	1									
		2.82%	2.39%	3.04%	2.60%	4.44%	2.18%	5.60%	3.55%	2.02%	2.92%	0.96%	3.06%	2.98%	3.97%	4.59%	4.42%	2.77%	4.13%	5.76%	3.18%	2.20%	2.73%	2.19%	1.94%	1.14%	1.69%	1.46%	4.89%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	460	16	11	18	10	7	8	18	0	33	20	15	3	22	35	19	17	6	25	15	3	21	30	22	24	25	17	18	2									
		2.36%	2.94%	1.96%	2.75%	3.41%	1.39%	3.45%	2.55%	0.00%	4.01%	3.85%	3.53%	1.28%	2.82%	4.73%	2.90%	3.93%	4.96%	1.64%	3.41%	3.30%	2.04%	2.05%	1.94%	1.37%	1.28%	1.91%	4.40%	1.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	406	15	17	8	12	9	2	16	9	12	19	9	7	20	16	29	15	2	17	16	2	41	24	11	14	23	26	12	3									
		2.09%	2.76%	3.04%	1.22%	4.10%	1.79%	0.86%	2.27%	2.60%	1.46%	3.65%	2.12%	2.98%	2.56%	2.16%	4.42%	3.46%	1.65%	1.11%	3.64%	2.20%	3.99%	1.64%	0.97%	0.80%	1.17%	2.92%	2.93%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9991	243	291	344	129	219	121	367	202	364	249	178	110	321	331	299	136	63	680	160	49	485	787	659	1169	1249	473	165	148									
		51.35%	44.67%	51.96%	52.60%	44.03%	43.45%	52.16%	52.06%	58.38%	44.28%	47.88%	41.88%	46.81%	41.10%	44.73%	45.58%	31.41%	52.07%	44.47%	36.36%	53.85%	47.22%	53.83%	58.16%	66.76%	63.79%	53.21%	40.34%	75.90%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	114	4	3	2	1	3	0	1	2	3	2	1	0	1	6	3	3	0	9	4	0	6	12	5	15	19	6	2	1									
		0.59%	0.74%	0.54%	0.31%	0.34%	0.60%	0.00%	0.14%	0.58%	0.36%	0.38%	0.24%	0.00%	0.13%	0.81%	0.46%	0.69%	0.00%	0.59%	0.91%	0.00%	0.58%	0.82%	0.44%	0.86%	0.97%	0.67%	0.49%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	0	0	1	0	1	0	2	0	0	0	0	0	1	1	0	2	0	4	0	1	3	4	4	4	0	2	0	1									
		0.16%	0.00%	0.00%	0.15%	0.00%	0.20%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.14%	0.00%	0.46%	0.00%	0.26%	0.00%	1.10%	0.29%	0.27%	0.35%	0.23%	0.00%	0.22%	0.00%	0.51%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3289	85	83	108	36	96	36	97	44	127	80	93	31	126	122	88	89	25	332	72	13	176	273	210	251	262	193	110	31									
		16.91%	15.63%	14.82%	16.51%	12.29%	19.05%	15.52%	13.76%	12.72%	15.45%	15.38%	21.88%	13.19%	16.13%	16.49%	13.41%	20.55%	20.66%	21.71%	16.36%	14.29%	17.14%	18.67%	18.53%	14.33%	13.38%	21.71%	26.89%	15.90%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	105	4	2	1	5	7	3	3	2	7	0	4	1	4	5	0	3	1	10	2	2	5	5	4	12	7	5	0	1									
		0.54%	0.74%	0.36%	0.15%	1.71%	1.39%	1.29%	0.43%	0.58%	0.85%	0.00%	0.94%	0.43%	0.51%	0.68%	0.00%	0.69%	0.83%	0.65%	0.45%	2.20%	0.49%	0.34%	0.35%	0.69%	0.36%	0.56%	0.00%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	140	4	2	4	1	3	4	8	2	4	3	2	2	11	6	2	4	2	13	6	0	7	7	1	14	15	5	8	0									
		0.72%	0.74%	0.36%	0.61%	0.34%	0.60%	1.72%	1.13%	0.58%	0.49%	0.58%	0.47%	0.85%	1.41%	0.81%	0.30%	0.92%	1.65%	0.85%	1.36%	0.00%	0.68%	0.48%	0.09%	0.80%	0.77%	0.56%	1.96%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	28	0	0	0	0	1	0	1	0	1	1	0	1	2	0	1	0	0	2	0	0	4	1	5	2	5	1	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.14%	0.00%	0.12%	0.19%	0.00%	0.43%	0.26%	0.00%	0.15%	0.00%	0.00%	0.13%	0.00%	0.00%	0.39%	0.07%	0.44%	0.11%	0.26%	0.11%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	159	9	6	2	2	7	3	2	6	2	3	4	5	8	5	6	1	2	7	1	1	5	13	16	20	15	6	2	0									
		0.82%	1.65%	1.07%	0.31%	0.68%	1.39%	1.29%	0.28%	1.73%	0.24%	0.58%	0.94%	2.13%	1.02%	0.68%	0.91%	0.23%	1.65%	0.46%	0.23%	1.10%	0.49%	0.89%	1.41%	1.14%	0.77%	0.67%	0.49%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2959	105	90	102	57	106	34	107	47	166	99	76	44	178	144	121	121	9	225	114	12	171	226	100	144	200	97	62	2									
		15.21%	19.30%	16.07%	15.60%	19.45%	21.03%	14.66%	15.18%	13.58%	20.19%	19.04%	17.88%	18.72%	22.79%	19.46%	18.45%	27.94%	7.44%	14.72%	25.91%	13.19%	16.65%	15.46%	8.83%	8.22%	10.21%	10.91%	15.16%	1.03%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	2	1	1	0	3	0	3	1	3	1	1	0	3	6	4	0	0	5	1	0	4	3	1	3	6	4	2	0									
		0.30%	0.37%	0.18%	0.15%	0.00%	0.60%	0.00%	0.43%	0.29%	0.36%	0.19%	0.24%	0.00%	0.38%	0.81%	0.61%	0.00%	0.00%	0.33%	0.23%	0.00%	0.39%	0.21%	0.09%	0.17%	0.31%	0.45%	0.49%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	662	25	19	25	21	22	4	35	14	55	16	15	12	30	22	36	22	5	54	17	4	48	28	27	37	37	26	3	3									
		3.40%	4.60%	3.39%	3.82%	7.17%	4.37%	1.72%	4.96%	4.05%	6.69%	3.08%	3.53%	5.11%	3.84%	2.97%	5.49%	5.08%	4.13%	3.53%	3.86%	4.40%	4.67%	1.92%	2.38%	2.11%	1.89%	2.92%	0.73%	1.54%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
