Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																	
Дата голосования: 02.12.2007																	
																	
Наименование Избирательной комиссии:    Корсаковская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554					
1	"Число избирателей, внесенных в списки избирателей"	3766	272	93	262	252	187	355	1247	247	311	540					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3836	274	94	250	250	190	368	1285	250	315	560					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	2310	197	70	160	137	112	182	758	151	194	349					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	755	44	20	71	100	44	118	135	55	74	94					
6	Число погашенных избирательных бюллетеней	771	33	4	19	13	34	68	392	44	47	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	755	44	20	71	100	44	118	135	55	74	94					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2310	197	70	160	137	112	182	758	151	194	349					
9	Число недействительных избирательных бюллетеней	17	1	0	2	0	0	2	8	1	1	2					
10	Число действительных избирательных бюллетеней	3048	240	90	229	237	156	298	885	205	267	441					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	13	5	13	13	10	16	70	13	16	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	192	13	5	13	13	10	16	70	13	16	23					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	74	9	4	6	7	5	7	22	2	9	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	0	0	0	6	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
																	
18	1.Политическая партия «Аграрная партия России»	59	1	3	5	4	7	10	16	5	3	5					
		1.92%	0.41%	3.33%	2.16%	1.69%	4.49%	3.33%	1.79%	2.43%	1.12%	1.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	12	0	0	1	0	0	1	8	2	0	0					
		0.39%	0.00%	0.00%	0.43%	0.00%	0.00%	0.33%	0.90%	0.97%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	0	0	2	0	3	0	0	0					
		0.16%	0.00%	0.00%	0.00%	0.00%	1.28%	0.00%	0.34%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	359	22	3	44	16	11	31	139	20	22	51					
		11.71%	9.13%	3.33%	19.05%	6.75%	7.05%	10.33%	15.57%	9.71%	8.21%	11.51%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	3	0	0	0	0	0	0	3	0	0	0					
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	0	1	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	150	2	6	15	4	14	20	71	11	3	4					
		4.89%	0.83%	6.67%	6.49%	1.69%	8.97%	6.67%	7.95%	5.34%	1.12%	0.90%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	229	15	5	21	23	9	33	42	36	24	21					
		7.47%	6.22%	5.56%	9.09%	9.70%	5.77%	11.00%	4.70%	17.48%	8.96%	4.74%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	13	0	0	2	0	2	0	8	1	0	0					
		0.42%	0.00%	0.00%	0.87%	0.00%	1.28%	0.00%	0.90%	0.49%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2209	200	73	139	189	111	202	591	129	215	360					
		72.07%	82.99%	81.11%	60.17%	79.75%	71.15%	67.33%	66.18%	62.62%	80.22%	81.26%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	8	0	0	1	1	0	1	4	1	0	0					
		0.26%	0.00%	0.00%	0.43%	0.42%	0.00%	0.33%	0.45%	0.49%	0.00%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
