Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Алнашская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025					
1	"Число избирателей, внесенных в списки"	16089	2489	1762	594	415	334	235	547	576	664	449	502	516	329	617	597	491	790	1048	381	491	285	146	791	230	810					
2	"Число бюллетеней, полученных участковыми комиссиями"	14605	2210	1550	550	400	300	210	500	550	600	395	460	470	300	550	550	450	710	1000	330	450	260	140	710	210	750					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9962	1391	1042	306	268	219	150	330	323	374	337	418	355	184	368	416	328	556	626	220	275	216	113	454	178	515					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	568	18	104	18	12	4	0	32	29	25	23	37	17	30	29	7	0	46	25	9	57	13	3	20	0	10					
6	Число погашенных бюллетеней	4075	801	404	226	120	77	60	138	198	201	35	5	98	86	153	127	122	108	349	101	118	31	24	236	32	225					
7	Число бюллетеней в переносных ящиках для голосования	568	18	104	18	12	4	0	32	29	25	23	37	17	30	29	7	0	46	25	9	57	13	3	20	0	10					
8	Число бюллетеней в стационарных ящиках для голосования	9953	1382	1042	306	268	219	150	330	323	374	337	418	355	184	368	416	328	556	626	220	275	216	113	454	178	515					
9	Число недействительных бюллетеней	121	15	11	9	4	4	4	5	0	4	7	1	0	3	13	3	0	4	6	2	4	5	3	2	7	5					
10	Число действительных бюллетеней	10400	1385	1135	315	276	219	146	357	352	395	353	454	372	211	384	420	328	598	645	227	328	224	113	472	171	520					
