Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																									
Дата голосования: 02.12.2007																																									
																																									
Наименование Избирательной комиссии:    Ачитская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184					
1	"Число избирателей, внесенных в списки избирателей"	14928	2184	2044	60	545	212	228	193	955	276	249	112	473	133	156	223	817	267	75	49	188	625	172	394	457	88	346	129	79	243	100	93	98	939	1726					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14900	2100	2013	60	563	212	238	214	937	275	252	114	489	130	150	221	811	267	78	55	186	631	176	384	473	89	350	126	75	252	101	96	106	939	1737					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	124	0	0	0	0	0	0	65	0	0	0	0	0	14	0	3	0	0	0	0	14	0	0	0	0	0	0	28	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8653	1219	1223	41	334	163	148	69	526	167	148	70	258	77	113	171	400	180	46	36	110	358	96	265	259	71	224	60	58	167	79	76	63	469	909					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	823	144	89	6	23	18	21	12	43	9	14	7	32	11	11	6	57	18	5	3	18	34	9	18	41	5	34	5	2	17	4	2	11	36	58					
6	Число погашенных избирательных бюллетеней	5300	737	701	13	206	31	69	68	368	99	90	37	199	28	26	41	354	69	27	16	44	239	71	101	173	13	92	33	15	68	18	18	32	434	770					
7	Число избирательных бюллетеней в переносных ящиках для голосования	947	144	89	6	23	18	21	77	43	9	14	7	32	25	11	9	57	18	5	3	32	34	9	18	41	5	34	33	2	17	4	2	11	36	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8651	1219	1221	41	334	163	148	69	526	167	148	70	258	77	113	171	400	180	46	36	110	358	96	265	259	71	224	60	58	167	79	76	63	469	909					
9	Число недействительных избирательных бюллетеней	51	9	6	0	2	1	0	0	0	0	1	0	2	0	0	0	3	1	0	0	1	1	0	1	2	1	1	0	0	0	0	0	1	2	16					
10	Число действительных избирательных бюллетеней	9547	1354	1304	47	355	180	169	146	569	176	161	77	288	102	124	180	454	197	51	39	141	391	105	282	298	75	257	93	60	184	83	78	73	503	951					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	258	19	26	1	20	2	7	12	20	1	4	1	10	1	5	2	15	12	1	0	2	15	1	8	14	1	8	1	1	1	1	1	1	10	34					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	257	19	26	1	20	2	7	11	20	1	4	1	10	1	5	2	15	12	1	0	2	15	1	8	14	1	8	1	1	1	1	1	1	10	34					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	9	11	2	2	1	1	2	9	2	3	1	4	1	2	2	3	4	0	0	4	4	1	5	1	1	2	0	1	2	1	0	0	2	14					
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	12	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
18	1.Политическая партия «Аграрная партия России»	364	36	32	1	70	21	11	5	18	5	10	3	19	19	5	4	15	3	3	2	2	15	3	8	7	2	3	5	1	1	1	5	0	11	18					
		3.79%	2.64%	2.44%	2.13%	19.61%	11.60%	6.51%	3.42%	3.16%	2.84%	6.17%	3.90%	6.55%	18.63%	4.03%	2.22%	3.28%	1.52%	5.88%	5.13%	1.41%	3.83%	2.86%	2.83%	2.33%	2.63%	1.16%	5.38%	1.67%	0.54%	1.20%	6.41%	0.00%	2.18%	1.86%					
19	2.Всероссийская политическая партия «Гражданская Сила»	100	24	24	0	2	1	0	1	2	0	0	0	5	0	1	0	6	1	0	0	0	5	1	0	1	0	1	0	0	3	1	0	1	10	10					
		1.04%	1.76%	1.83%	0.00%	0.56%	0.55%	0.00%	0.68%	0.35%	0.00%	0.00%	0.00%	1.72%	0.00%	0.81%	0.00%	1.31%	0.51%	0.00%	0.00%	0.00%	1.28%	0.95%	0.00%	0.33%	0.00%	0.39%	0.00%	0.00%	1.63%	1.20%	0.00%	1.35%	1.98%	1.03%					
20	3.Политическая партия «Демократическая партия России»	10	2	0	0	0	0	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.35%	0.00%	0.00%	1.30%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.95%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	581	80	81	3	14	1	7	4	31	7	2	1	14	4	5	4	48	7	2	2	3	28	7	31	14	7	23	1	6	9	2	11	0	37	85					
		6.05%	5.87%	6.18%	6.38%	3.92%	0.55%	4.14%	2.74%	5.45%	3.98%	1.23%	1.30%	4.83%	3.92%	4.03%	2.22%	10.50%	3.54%	3.92%	5.13%	2.11%	7.14%	6.67%	10.95%	4.67%	9.21%	8.91%	1.08%	10.00%	4.89%	2.41%	14.10%	0.00%	7.33%	8.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	59	4	2	0	1	1	0	2	2	0	0	0	0	0	1	1	0	2	0	0	0	0	0	4	4	0	3	1	0	5	1	2	0	7	16					
		0.61%	0.29%	0.15%	0.00%	0.28%	0.55%	0.00%	1.37%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.81%	0.56%	0.00%	1.01%	0.00%	0.00%	0.00%	0.00%	0.00%	1.41%	1.33%	0.00%	1.16%	1.08%	0.00%	2.72%	1.20%	2.56%	0.00%	1.39%	1.65%					
23	6.Политическая партия «Партия социальной справедливости»	8	2	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
