Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Иланская																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №2197					
1	"Число избирателей, внесенных в список избирателей"	19403	1479	1526	1155	1285	1153	1014	2547	1149	694	386	164	63	595	207	257	319	71	86	46	398	61	60	426	139	111	96	191	670	44	100	47	61	1102	176	276	156	363	730					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19344	1375	1525	1150	1276	1140	1005	2528	1149	678	382	164	59	599	212	255	320	74	91	50	411	61	66	441	140	114	97	211	701	44	102	53	69	1100	183	296	164	354	705					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9254	496	712	499	528	500	323	1415	443	234	211	89	38	420	124	113	191	56	69	27	195	45	35	277	84	76	47	138	282	39	78	47	46	430	57	202	81	249	358					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	532	23	17	8	29	14	3	48	13	17	17	10	4	19	13	31	10	0	0	0	45	5	0	8	0	0	0	17	74	0	8	0	0	26	14	11	10	0	38					
6	Число погашенных избирательных бюллетеней	9558	856	796	643	719	626	679	1065	693	427	154	65	17	160	75	111	119	18	22	23	171	11	31	156	56	38	50	56	345	5	16	6	23	644	112	83	73	105	309					
7	Число избирательных бюллетеней в переносных ящиках для голосования	532	23	17	8	29	14	3	48	13	17	17	10	4	19	13	31	10	0	0	0	45	5	0	8	0	0	0	17	74	0	8	0	0	26	14	11	10	0	38					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9254	496	712	499	528	500	323	1415	443	234	211	89	38	420	124	113	191	56	69	27	195	45	35	277	84	76	47	138	282	39	78	47	46	430	57	202	81	249	358					
9	Число недействительных избирательных бюллетеней	172	4	7	2	15	12	5	22	18	5	8	0	0	5	8	1	2	0	2	0	1	3	0	5	0	2	0	4	4	0	3	0	0	10	0	4	3	1	16					
10	Число действительных избирательных бюллетеней	9614	515	722	505	542	502	321	1441	438	246	220	99	42	434	129	143	199	56	67	27	239	47	35	280	84	74	47	151	352	39	83	47	46	446	71	209	88	248	380					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	348	20	20	20	20	10	10	30	10	6	6	4	5	10	5	5	8	5	4	4	8	5	5	12	5	5	5	10	18	3	5	4	3	20	8	10	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	115	9	7	5	3	2	1	25	2	3	1	0	0	5	1	1	0	2	0	0	7	0	1	4	0	0	0	7	13	0	0	0	2	4	0	5	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	2	1	2	1	2	3	18	2	3	3	2	0	5	0	1	1	1	1	0	2	2	0	0	1	0	1	3	0	4	2	2	5	1	1	2	0	10	1					
14	Число погашенных неиспользованных открепительных удостоверений	233	11	13	15	17	8	9	5	8	3	5	4	5	5	4	4	8	3	4	4	1	5	4	8	5	5	5	3	5	3	5	4	1	16	8	5	2	4	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1408	69	126	79	77	88	41	247	52	36	32	20	3	111	5	11	19	3	2	3	49	5	2	57	8	4	3	10	44	1	13	2	3	82	6	16	8	17	54					
		14.39%	13.29%	17.28%	15.58%	13.82%	17.12%	12.58%	16.88%	11.40%	14.34%	14.04%	20.20%	7.14%	25.28%	3.65%	7.64%	9.45%	5.36%	2.90%	11.11%	20.42%	10.00%	5.71%	20.00%	9.52%	5.26%	6.38%	6.45%	12.36%	2.56%	15.12%	4.26%	6.52%	17.98%	8.45%	7.51%	8.79%	6.83%	13.64%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2165	128	136	131	156	132	78	312	113	69	50	18	7	64	30	30	44	9	21	8	47	21	12	54	32	26	10	29	94	3	12	10	10	79	10	22	19	39	100					
		22.12%	24.66%	18.66%	25.84%	28.01%	25.68%	23.93%	21.33%	24.78%	27.49%	21.93%	18.18%	16.67%	14.58%	21.90%	20.83%	21.89%	16.07%	30.43%	29.63%	19.58%	42.00%	34.29%	18.95%	38.10%	34.21%	21.28%	18.71%	26.40%	7.69%	13.95%	21.28%	21.74%	17.32%	14.08%	10.33%	20.88%	15.66%	25.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	86	3	9	6	10	3	3	13	0	0	0	0	0	7	0	4	2	0	0	0	1	0	0	1	2	2	0	2	8	0	0	0	0	3	1	0	1	1	4					
		0.88%	0.58%	1.23%	1.18%	1.80%	0.58%	0.92%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	2.78%	0.99%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.35%	2.38%	2.63%	0.00%	1.29%	2.25%	0.00%	0.00%	0.00%	0.00%	0.66%	1.41%	0.00%	1.10%	0.40%	1.01%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1892	121	184	78	92	72	72	392	114	36	23	22	5	82	17	20	41	15	10	5	52	4	4	71	16	7	22	29	47	2	8	2	4	74	14	24	29	17	65					
		19.33%	23.31%	25.24%	15.38%	16.52%	14.01%	22.09%	26.79%	25.00%	14.34%	10.09%	22.22%	11.90%	18.68%	12.41%	13.89%	20.40%	26.79%	14.49%	18.52%	21.67%	8.00%	11.43%	24.91%	19.05%	9.21%	46.81%	18.71%	13.20%	5.13%	9.30%	4.26%	8.70%	16.23%	19.72%	11.27%	31.87%	6.83%	16.41%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	117	6	19	11	9	9	4	22	5	0	1	0	0	3	2	0	1	0	0	0	1	0	0	3	0	0	1	1	2	0	0	1	0	4	0	1	0	0	11					
		1.20%	1.16%	2.61%	2.17%	1.62%	1.75%	1.23%	1.50%	1.10%	0.00%	0.44%	0.00%	0.00%	0.68%	1.46%	0.00%	0.50%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	1.05%	0.00%	0.00%	2.13%	0.65%	0.56%	0.00%	0.00%	2.13%	0.00%	0.88%	0.00%	0.47%	0.00%	0.00%	2.78%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3899	187	244	196	193	197	122	447	153	103	111	39	27	162	73	78	92	29	34	11	89	17	17	93	26	34	11	78	155	33	49	32	29	204	39	146	31	172	146					
		39.84%	36.03%	33.47%	38.66%	34.65%	38.33%	37.42%	30.55%	33.55%	41.04%	48.68%	39.39%	64.29%	36.90%	53.28%	54.17%	45.77%	51.79%	49.28%	40.74%	37.08%	34.00%	48.57%	32.63%	30.95%	44.74%	23.40%	50.32%	43.54%	84.62%	56.98%	68.09%	63.04%	44.74%	54.93%	68.54%	34.07%	69.08%	36.87%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	47	1	4	4	5	1	1	8	1	2	3	0	0	5	2	0	0	0	0	0	0	0	0	1	0	1	0	2	2	0	1	0	0	0	1	0	0	2	0					
		0.48%	0.19%	0.55%	0.79%	0.90%	0.19%	0.31%	0.55%	0.22%	0.80%	1.32%	0.00%	0.00%	1.14%	1.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	1.32%	0.00%	1.29%	0.56%	0.00%	1.16%	0.00%	0.00%	0.00%	1.41%	0.00%	0.00%	0.80%	0.00%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
