Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Почепская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886					
1	"Число избирателей, внесенных в списки"	35233	2149	1373	1774	1089	1618	1863	1538	1825	879	318	507	423	566	245	610	65	141	1075	757	231	348	480	518	281	524	388	1174	570	337	420	705	450	204	188	272	610	1779	403	171	566	62	444	247	337	463	603	489	324	266	230	301	358	314	100	476	785					
2	"Число бюллетеней, полученных участковыми комиссиями"	35981	2100	1350	1700	1150	1540	1800	1600	1800	900	320	510	440	570	370	610	65	134	1100	760	250	330	502	620	280	520	390	1200	600	350	420	710	460	210	190	280	610	1800	400	170	920	70	460	260	330	460	590	490	320	270	240	300	360	320	100	480	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16911	915	511	777	475	721	749	619	691	437	150	250	168	367	140	245	26	86	469	342	67	147	240	291	177	356	178	553	263	164	244	355	199	94	67	134	287	856	211	72	528	36	190	116	153	238	325	233	151	230	176	131	155	150	52	303	651					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2083	27	10	68	22	21	20	29	23	26	54	31	0	0	20	38	8	16	155	102	74	44	30	35	38	0	27	12	19	26	50	53	31	28	30	47	78	24	28	27	38	12	65	59	32	45	75	100	54	5	26	82	57	21	15	26	0					
6	Число погашенных бюллетеней	16987	1158	829	855	653	798	1031	952	1086	437	116	229	272	203	210	327	31	32	476	316	109	139	232	294	65	164	185	635	318	160	126	302	230	88	93	99	245	920	161	71	354	22	205	85	145	177	190	157	115	35	38	87	148	149	33	151	249					
7	Число бюллетеней в переносных ящиках для голосования	2083	27	10	68	22	21	20	29	23	26	54	31	0	0	20	38	8	16	155	102	74	44	30	35	38	0	27	12	19	26	50	53	31	28	30	47	78	24	28	27	38	12	65	59	32	45	75	100	54	5	26	82	57	21	15	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	16907	915	511	777	475	720	749	619	691	436	150	250	168	367	140	245	26	86	469	342	67	147	240	291	177	356	178	553	263	164	244	354	199	94	67	134	287	856	211	72	528	36	189	116	153	238	325	233	151	230	176	131	155	150	52	303	651					
9	Число недействительных бюллетеней	434	24	12	10	6	16	23	10	12	10	6	3	3	8	1	12	3	6	12	11	1	6	10	6	5	17	2	25	4	10	6	22	3	5	4	2	5	16	5	11	11	1	2	4	4	11	2	7	3	2	3	3	6	4	2	6	10					
10	Число действительных бюллетеней	18556	918	509	835	491	725	746	638	702	452	198	278	165	359	159	271	31	96	612	433	140	185	260	320	210	339	203	540	278	180	288	385	227	117	93	179	360	864	234	88	555	47	252	171	181	272	398	326	202	233	199	210	206	167	65	323	641					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	405	20	10	10	10	10	10	10	10	10	5	5	5	5	5	10	5	5	10	5	5	5	5	5	5	5	5	10	10	5	5	10	5	5	5	5	10	20	5	5	10	5	5	5	5	10	10	5	5	5	10	5	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	93	13	1	2	2	6	4	3	5	0	0	0	0	0	0	1	0	0	10	3	0	0	1	2	1	0	2	1	0	0	2	4	5	0	0	1	0	11	1	0	0	0	0	0	0	0	4	1	1	0	0	0	1	0	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	118	8	1	6	1	9	2	3	6	1	0	0	1	1	0	2	0	1	2	3	0	2	3	2	3	3	5	5	4	1	2	1	1	1	4	1	5	5	0	2	3	1	3	0	1	0	4	1	0	0	1	2	1	0	0	2	2					
14	Число погашенных открепительных удостоверений	312	7	9	8	8	4	6	7	5	10	5	5	5	5	5	9	5	5	0	2	5	5	4	3	4	5	3	9	10	5	3	6	0	5	5	4	10	9	4	5	10	5	5	5	5	10	6	4	4	5	10	5	4	5	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	220	9	4	4	1	7	11	7	8	6	3	1	5	5	1	11	0	5	9	10	1	1	4	0	6	4	2	6	2	1	2	8	6	0	0	6	1	15	3	0	8	1	1	2	1	0	1	4	0	4	3	1	2	1	1	5	10					
		1.15%	0.95%	0.76%	0.47%	0.20%	0.94%	1.43%	1.08%	1.12%	1.29%	1.47%	0.35%	2.97%	1.36%	0.62%	3.88%	0.0%	4.90%	1.44%	2.25%	0.70%	0.52%	1.48%	0.0%	2.79%	1.12%	0.97%	1.06%	0.70%	0.52%	0.68%	1.96%	2.60%	0.0%	0.0%	3.31%	0.27%	1.70%	1.25%	0.0%	1.41%	2.08%	0.39%	1.14%	0.54%	0.0%	0.25%	1.20%	0.0%	1.70%	1.48%	0.46%	0.94%	0.58%	1.49%	1.51%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	144	17	2	3	1	2	5	3	4	4	0	1	2	1	0	2	0	1	5	1	1	1	0	0	2	5	0	3	5	1	2	4	0	1	1	0	1	11	5	0	2	0	1	1	1	2	3	1	0	1	1	1	6	3	0	3	21					
		0.75%	1.80%	0.38%	0.35%	0.20%	0.26%	0.65%	0.46%	0.56%	0.86%	0.0%	0.35%	1.19%	0.27%	0.0%	0.70%	0.0%	0.98%	0.80%	0.22%	0.70%	0.52%	0.0%	0.0%	0.93%	1.40%	0.0%	0.53%	1.77%	0.52%	0.68%	0.98%	0.0%	0.81%	1.03%	0.0%	0.27%	1.25%	2.09%	0.0%	0.35%	0.0%	0.39%	0.57%	0.54%	0.70%	0.75%	0.30%	0.0%	0.42%	0.49%	0.46%	2.83%	1.75%	0.0%	0.91%	3.22%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	289	7	17	6	12	8	14	9	3	11	6	1	3	10	4	4	1	4	7	6	0	4	11	3	4	7	4	10	2	5	2	4	4	3	0	1	3	12	2	2	7	4	0	2	3	4	10	3	6	2	2	6	1	6	0	8	9					
		1.52%	0.74%	3.26%	0.71%	2.41%	1.07%	1.82%	1.38%	0.42%	2.38%	2.94%	0.35%	1.78%	2.72%	2.5%	1.41%	2.94%	3.92%	1.12%	1.35%	0.0%	2.09%	4.07%	0.92%	1.86%	1.96%	1.95%	1.76%	0.70%	2.63%	0.68%	0.98%	1.73%	2.45%	0.0%	0.55%	0.82%	1.36%	0.83%	2.02%	1.23%	8.33%	0.0%	1.14%	1.62%	1.41%	2.5%	0.90%	2.92%	0.85%	0.99%	2.81%	0.47%	3.50%	0.0%	2.43%	1.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	217	23	9	13	3	25	7	10	1	5	4	2	1	1	1	3	1	1	4	0	3	1	4	4	2	4	0	4	1	2	8	7	4	5	0	2	1	8	6	0	4	0	1	1	1	2	5	3	4	1	0	1	2	4	0	2	6					
