Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Ребрихинская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19594	1587	2477	1766	544	664	1212	604	777	453	438	94	184	731	928	276	724	296	325	765	728	79	1929	983	547	483									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15940	1280	2000	1450	450	530	990	500	630	370	385	75	150	600	740	230	600	240	260	600	600	70	1550	800	440	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7227	540	1021	612	182	205	368	202	234	198	213	61	94	237	313	107	230	131	141	203	285	50	753	401	244	202									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	794	31	42	41	20	15	60	40	31	34	43	10	6	36	38	13	24	8	9	51	17	6	124	50	17	28									
6	Число погашенных избирательных бюллетеней	7919	709	937	797	248	310	562	258	365	138	129	4	50	327	389	110	346	101	110	346	298	14	673	349	179	170									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	794	31	42	41	20	15	60	40	31	34	43	10	6	36	38	13	24	8	9	51	17	6	124	50	17	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7220	540	1015	612	182	205	367	202	234	198	213	61	94	237	313	107	230	131	141	203	285	50	753	401	244	202									
9	Число недействительных избирательных бюллетеней	163	15	16	17	1	2	7	4	5	2	4	2	4	9	7	1	6	4	4	8	12	3	17	4	6	3									
10	Число действительных избирательных бюллетеней	7851	556	1041	636	201	218	420	238	260	230	252	69	96	264	344	119	248	135	146	246	290	53	860	447	255	227									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	126	8	17	10	5	5	7	5	5	3	3	1	2	5	7	2	5	2	2	5	5	1	10	5	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	61	8	17	8	0	1	6	0	1	0	0	0	2	0	5	1	0	1	0	1	3	0	4	0	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	2	10	0	1	1	1	2	3	1	1	6	2	2	8	1	4	2	1	3	4	2	3	2	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	65	0	0	2	5	4	1	5	4	3	3	1	0	5	2	1	5	1	2	4	2	1	6	5	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	2	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	4	10	9	7	2	4	1	1	3	0	0	1	3	3	0	3	4	4	2	3	0	4	3	1	0									
		0.90%	0.70%	0.95%	1.38%	3.47%	0.91%	0.94%	0.41%	0.38%	1.29%	0.00%	0.00%	1.00%	1.10%	0.85%	0.00%	1.18%	2.88%	2.67%	0.79%	0.99%	0.00%	0.46%	0.67%	0.38%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	461	22	49	37	14	15	10	15	24	11	53	1	5	14	20	10	16	7	12	15	14	4	32	22	20	19									
		5.75%	3.85%	4.64%	5.67%	6.93%	6.82%	2.34%	6.20%	9.06%	4.74%	20.70%	1.41%	5.00%	5.13%	5.70%	8.33%	6.30%	5.04%	8.00%	5.91%	4.64%	7.14%	3.65%	4.88%	7.66%	8.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	170	9	19	20	6	7	6	3	6	1	4	3	3	6	3	1	6	2	6	3	11	3	23	12	5	2									
		2.12%	1.58%	1.80%	3.06%	2.97%	3.18%	1.41%	1.24%	2.26%	0.43%	1.56%	4.23%	3.00%	2.20%	0.85%	0.83%	2.36%	1.44%	4.00%	1.18%	3.64%	5.36%	2.62%	2.66%	1.92%	0.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2825	158	330	186	71	67	206	92	111	72	93	31	33	102	132	43	99	36	57	84	118	24	302	188	115	75									
		35.25%	27.67%	31.22%	28.48%	35.15%	30.45%	48.24%	38.02%	41.89%	31.03%	36.33%	43.66%	33.00%	37.36%	37.61%	35.83%	38.98%	25.90%	38.00%	33.07%	39.07%	42.86%	34.44%	41.69%	44.06%	32.61%									
