Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Чистопольская городская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831					
1	"Число избирателей, внесенных в списки избирателей"	49192	1249	1336	1242	1140	1361	1237	92	1079	1153	802	910	1030	110	956	876	932	72	1153	1215	1476	784	1203	971	1058	1225	1689	992	1063	636	701	480	985	1353	947	976	1058	661	705	60	1336	1535	1193	496	950	709	1327	1241	1076	1634	215	512					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45980	1150	1250	1150	1050	1250	1150	100	1000	1050	750	850	950	130	900	800	850	70	1050	1100	1350	750	1100	900	1000	1150	1500	900	1000	600	650	450	900	1250	900	900	1000	650	650	100	1250	1400	1150	500	900	750	1250	1150	1000	1600	250	480					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	37509	1052	1197	1002	902	1146	883	92	860	902	624	726	869	110	564	741	736	56	862	936	1127	565	1000	810	726	900	1089	548	729	478	491	366	789	1145	823	703	864	509	495	59	1028	1214	953	431	655	457	916	856	766	1099	215	443					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2675	34	32	40	20	53	42	0	66	65	48	67	51	0	277	57	46	11	73	23	128	17	87	85	49	45	47	46	53	54	64	34	63	46	45	26	47	29	35	0	150	138	50	15	34	127	33	19	21	55	0	28					
6	Число погашенных избирательных бюллетеней	5796	64	21	108	128	51	225	8	74	83	78	57	30	20	59	2	68	3	115	141	95	168	13	5	225	205	364	306	218	68	95	50	48	59	32	171	89	112	120	41	72	48	147	54	211	166	301	275	213	446	35	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2675	34	32	40	20	53	42	0	66	65	48	67	51	0	277	57	46	11	73	23	128	17	87	85	49	45	47	46	53	54	64	34	63	46	45	26	47	29	35	0	150	138	50	15	34	127	33	19	21	55	0	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	37507	1052	1197	1001	901	1146	883	92	860	902	624	726	869	110	564	741	736	56	862	936	1127	565	1000	810	726	900	1089	548	729	478	491	366	789	1145	823	703	864	509	495	59	1028	1214	953	431	655	457	916	856	766	1099	215	443					
9	Число недействительных избирательных бюллетеней	191	0	0	13	5	5	8	0	1	3	1	1	4	0	10	2	0	0	0	3	10	4	0	7	6	6	1	7	5	4	6	8	5	0	0	3	0	5	0	0	3	3	8	1	6	6	5	5	4	9	3	5					
10	Число действительных избирательных бюллетеней	39991	1086	1229	1028	916	1194	917	92	925	964	671	792	916	110	831	796	782	67	935	956	1245	578	1087	888	769	939	1135	587	777	528	549	392	847	1191	868	726	911	533	530	59	1175	1349	995	445	683	578	944	870	783	1145	212	466					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	799	15	24	20	20	20	20	0	20	20	10	20	15	0	15	10	20	0	20	20	20	10	20	20	20	20	20	20	20	10	10	10	20	20	20	20	20	10	10	0	20	20	20	10	20	10	20	22	18	20	0	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	530	12	24	12	13	16	2	0	10	12	10	15	13	0	15	6	11	0	12	13	16	3	12	12	9	9	14	9	7	10	9	8	11	15	6	8	19	7	9	0	20	14	7	4	12	9	16	22	14	20	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	312	3	3	4	2	4	2	2	4	6	11	3	4	0	110	0	9	3	7	2	6	2	1	3	2	0	14	8	6	3	3	5	0	3	1	2	2	4	1	5	10	7	7	5	1	7	3	5	5	8	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	269	3	0	8	7	4	18	0	10	8	0	5	2	0	0	4	9	0	8	7	4	7	8	8	11	11	6	11	13	0	1	2	9	5	14	12	1	3	1	0	0	6	13	6	8	1	4	0	4	0	0	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
