Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Марпосадская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18081	561	637	646	538	667	593	543	620	625	549	476	577	446	185	80	435	337	376	242	378	165	491	196	307	93	235	939	201	179	679	101	239	219	250	175	209	131	159	71	155	559	287	786	193	278	619	177	85	392									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18060	559	664	640	539	649	622	554	621	600	544	505	600	440	179	78	420	343	376	238	377	167	494	202	308	89	229	923	192	178	677	104	244	221	255	164	203	123	156	68	152	559	284	775	194	272	632	170	82	395									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10265	310	306	326	265	306	286	280	345	339	282	285	344	214	110	48	255	202	259	162	314	100	280	122	228	57	133	572	140	137	337	71	97	119	111	123	134	89	69	23	66	350	146	487	130	168	360	106	56	216									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1377	19	15	9	10	16	20	6	11	34	7	31	8	40	20	12	42	24	31	16	33	25	57	21	39	24	26	30	27	25	76	12	59	28	43	38	25	13	5	43	67	37	33	36	22	23	56	14	4	65									
6	Число погашенных избирательных бюллетеней	6418	230	343	305	264	327	316	268	265	227	255	189	248	186	49	18	123	117	86	60	30	42	157	59	41	8	70	321	25	16	264	21	88	74	101	3	44	21	82	2	19	172	105	252	42	81	216	50	22	114									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1377	19	15	9	10	16	20	6	11	34	7	31	8	40	20	12	42	24	31	16	33	25	57	21	39	24	26	30	27	25	76	12	59	28	43	38	25	13	5	43	67	37	33	36	22	23	56	14	4	65									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10265	310	306	326	265	306	286	280	345	339	282	285	344	214	110	48	255	202	259	162	314	100	280	122	228	57	133	572	140	137	337	71	97	119	111	123	134	89	69	23	66	350	146	487	130	168	360	106	56	216									
9	Число недействительных избирательных бюллетеней	420	11	13	14	17	19	14	15	14	12	8	8	6	14	8	4	15	12	6	1	1	2	9	6	9	2	3	24	5	10	24	0	6	7	1	0	5	1	1	3	0	9	10	20	4	4	19	15	1	8									
10	Число действительных избирательных бюллетеней	11222	318	308	321	258	303	292	271	342	361	281	308	346	240	122	56	282	214	284	177	346	123	328	137	258	79	156	578	162	152	389	83	150	140	153	161	154	101	73	63	133	378	169	503	148	187	397	105	59	273									
