Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																						
Дата голосования: 02.12.2007																																						
																																						
Наименование Избирательной комиссии:    Курахская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857					
1	"Число избирателей, внесенных в списки избирателей"	9757	706	375	23	94	381	89	478	371	1037	1011	111	137	527	953	732	388	106	14	677	89	17	27	67	185	152	158	240	149	287	137	39					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9562	695	365	24	94	370	90	470	360	1015	1000	110	135	520	940	700	380	105	14	650	90	20	30	65	175	150	155	240	145	280	135	40					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8786	660	246	18	94	370	79	460	360	858	958	108	135	503	854	687	370	100	12	450	86	16	27	46	172	147	150	240	135	271	135	39					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	65	4	18	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	3	0	0	0					
6	Число погашенных избирательных бюллетеней	711	31	101	3	0	0	11	10	0	154	42	2	0	17	86	13	10	5	2	166	4	4	3	19	3	3	5	0	7	9	0	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	65	4	18	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	3	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8786	660	246	18	94	370	79	460	360	858	958	108	135	503	854	687	370	100	12	450	86	16	27	46	172	147	150	240	135	271	135	39					
9	Число недействительных избирательных бюллетеней	17	3	0	0	0	0	0	1	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	8834	661	264	21	94	370	79	459	360	856	958	107	135	503	854	686	370	100	12	484	86	16	27	46	172	142	149	240	138	271	135	39					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	190	10	8	3	3	5	3	8	5	10	10	3	5	10	15	15	10	3	4	10	3	3	3	3	5	5	5	5	5	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	6	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	184	10	8	3	3	5	3	7	5	10	10	3	5	10	10	15	10	3	4	10	3	3	3	3	5	5	5	5	5	5	5	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	1.Политическая партия «Аграрная партия России»	8	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.09%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	839	24	26	0	1	0	7	0	0	672	0	0	0	0	37	37	0	0	0	0	0	0	0	0	0	3	0	20	0	10	0	2					
		9.48%	3.61%	9.85%	0.00%	1.06%	0.00%	8.86%	0.00%	0.00%	78.05%	0.00%	0.00%	0.00%	0.00%	4.33%	5.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.00%	8.33%	0.00%	3.69%	0.00%	5.13%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1424	98	21	21	21	0	14	0	360	95	173	107	25	0	6	4	0	18	12	0	86	16	0	45	0	132	27	30	0	49	27	37					
