Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																										
Дата голосования: 18.09.2016																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Курган, Восточная"																																																																																										
																																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																										
																																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №74	УИК №75	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №131	УИК №132	УИК №134	УИК №137	УИК №1103	УИК №1128	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	132361	1316	1216	1199	1476	844	1382	1633	2013	2113	1306	1981	2022	2071	2397	1776	2030	1841	2541	1834	2203	1420	1650	1834	2099	1672	1191	1261	1707	2259	1041	2265	2075	1695	1753	2068	1893	858	1646	1869	1696	1497	1935	1292	1947	2029	2289	2076	2252	2048	2320	2428	2211	1946	1809	1522	1376	1905	1914	1959	1643	1418	1238	2079	1800	1746	2594	1392	1428	1832	1346	1785	1391	1090	1478	130	133	115	189	1633									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	120400	1200	1000	1000	1200	800	1200	1500	1800	2000	1200	1800	1800	1900	2300	1700	1900	1700	2300	1700	2100	1200	1500	1700	2000	1500	1000	1200	1600	2100	900	2100	1900	1600	1600	2000	1700	800	1400	1800	1200	1400	1800	1100	1800	1900	2100	2000	2100	1800	2100	2300	2100	1800	1700	1400	1200	1800	1800	1800	1500	1200	1100	2000	1700	1500	2200	1200	1000	1700	1200	1600	1200	900	1300	150	200	150	200	1500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42051	243	256	242	354	163	243	433	334	428	293	658	750	589	953	536	823	743	1024	719	878	609	708	667	803	614	521	468	711	812	371	722	732	435	542	487	477	76	362	537	389	359	617	401	666	436	422	569	763	660	653	575	741	649	399	493	640	857	731	797	725	574	550	809	583	538	1153	340	379	538	550	375	400	272	405	78	94	115	118	322									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1686	3	6	6	4	10	12	13	21	8	7	17	29	21	21	16	20	12	29	17	20	21	19	17	15	11	12	26	21	18	8	20	17	25	17	6	19	13	1	14	26	16	7	8	12	19	17	9	13	76	17	14	23	11	13	15	12	29	42	28	21	29	12	29	19	59	39	4	214	9	12	2	26	20	8	52	37	0	70	25									
6	Число погашенных избирательных бюллетеней	76663	954	738	752	842	627	945	1054	1445	1564	900	1125	1021	1290	1326	1148	1057	945	1247	964	1202	570	773	1016	1182	875	467	706	868	1270	521	1358	1151	1140	1041	1507	1204	711	1037	1249	785	1025	1176	691	1122	1445	1661	1422	1324	1064	1430	1711	1336	1140	1288	892	548	914	1027	975	754	597	538	1162	1098	903	1008	856	407	1153	638	1223	774	608	887	20	69	35	12	1153									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1686	3	6	6	4	10	12	13	21	8	7	17	29	21	21	16	20	12	29	17	20	21	19	17	15	11	12	26	21	18	8	20	17	25	17	6	19	13	1	14	26	16	7	8	12	19	17	9	13	76	17	14	23	11	13	15	12	29	42	28	21	29	12	29	19	59	39	4	214	9	12	2	26	20	8	52	37	0	70	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42046	243	256	242	354	163	243	433	334	428	293	658	750	589	953	536	823	743	1022	719	878	608	708	667	803	614	521	468	711	812	371	721	732	435	542	487	477	76	362	537	389	359	616	401	666	436	422	569	763	660	653	575	741	649	399	493	640	857	731	797	725	574	550	809	583	538	1153	340	379	538	550	375	400	272	405	78	94	115	118	322									
9	Число недействительных избирательных бюллетеней	643	2	6	5	5	2	3	12	6	13	5	11	8	10	10	7	5	9	12	12	7	6	15	6	16	9	4	7	7	12	7	12	14	6	8	5	3	2	2	11	4	3	14	3	9	4	9	8	18	12	11	9	7	6	12	11	8	6	7	11	14	3	12	18	14	18	16	9	8	4	9	5	12	4	6	1	3	6	0	7									
10	Число действительных избирательных бюллетеней	43089	244	256	243	353	171	252	434	349	423	295	664	771	600	964	545	838	746	1039	724	891	623	712	678	802	616	529	487	725	818	372	729	735	454	551	488	493	87	361	540	411	372	609	406	669	451	430	570	758	724	659	580	757	654	400	497	644	880	766	814	732	600	550	820	588	579	1176	335	585	543	553	372	414	288	407	129	128	109	188	340									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1551	10	10	10	10	10	15	20	15	25	15	20	20	25	30	30	30	30	35	20	30	25	25	20	25	25	10	15	25	30	15	30	30	20	20	20	20	10	10	25	20	10	30	10	20	10	15	15	25	20	25	30	25	20	15	15	15	40	30	30	30	30	20	30	30	16	30	10	20	15	15	20	15	10	15	0	0	0	0	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	908	4	9	5	9	5	10	14	6	12	13	14	16	15	16	19	13	19	19	13	13	21	20	17	19	19	8	11	14	14	3	14	12	15	12	17	13	3	5	4	4	5	21	7	16	2	3	7	18	12	10	20	24	13	10	15	9	28	11	19	20	6	9	20	15	16	13	10	7	13	10	8	3	6	7	0	0	0	0	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	984	10	5	3	17	9	15	13	1	9	15	7	18	15	16	12	7	9	8	18	13	10	14	15	14	18	13	8	21	10	9	4	45	15	11	11	12	11	14	11	6	11	9	14	6	12	11	13	8	17	14	12	2	13	8	12	18	27	11	11	26	13	17	11	13	15	11	8	22	12	12	7	12	12	18	9	23	4	11	7									
14	Число погашенных неиспользованных открепительных удостоверений	643	6	1	5	1	5	5	6	9	13	2	6	4	10	14	11	17	11	16	7	17	4	5	3	6	6	2	4	11	16	12	16	18	5	8	3	7	7	5	21	16	5	9	3	4	8	12	8	7	8	15	10	1	7	5	0	6	12	19	11	10	24	11	10	15	0	17	0	13	2	5	12	12	4	8	0	0	0	0	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	150	3	0	2	2	0	1	1	2	2	0	4	1	3	3	2	4	5	4	3	5	3	1	2	0	6	0	2	1	2	4	3	2	0	3	2	1	0	1	0	1	1	2	0	4	2	0	3	3	1	4	2	2	2	1	3	0	1	2	3	3	2	2	2	2	6	2	1	4	1	2	1	1	1	2	0	0	0	0	1									
