Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Арзгирская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230					
1	"Число избирателей, внесенных в списки"	20215	2879	2919	2877	2707	327	656	1418	1832	704	1167	1689	1040					
2	"Число бюллетеней, полученных участковыми комиссиями"	21103	3000	3000	3000	2800	350	700	1503	1900	750	1200	1800	1100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9384	1400	1418	1321	1240	189	448	543	906	390	429	713	387					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	661	82	61	112	50	9	27	49	47	31	34	106	53					
6	Число погашенных бюллетеней	11058	1518	1521	1567	1510	152	225	911	947	329	737	981	660					
7	Число бюллетеней в переносных ящиках для голосования	660	82	61	112	50	9	27	48	47	31	34	106	53					
8	Число бюллетеней в стационарных ящиках для голосования	9384	1400	1418	1321	1240	189	448	543	906	390	429	713	387					
9	Число недействительных бюллетеней	287	35	39	44	36	15	9	20	23	10	13	30	13					
10	Число действительных бюллетеней	9757	1447	1440	1389	1254	183	466	571	930	411	450	789	427					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	25	25	25	25	5	10	15	15	10	15	15	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	18	3	2	3	0	0	6	0	0	0	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	0	7	1	2	0	2	1	1	0	0	4	0					
14	Число погашенных открепительных удостоверений	182	22	23	22	25	5	4	15	15	10	13	13	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	122	14	17	12	8	5	3	12	19	5	8	6	13					
		1.21%	0.94%	1.14%	0.83%	0.62%	2.52%	0.63%	2.03%	1.99%	1.18%	1.72%	0.73%	2.95%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	91	14	13	12	11	3	4	4	12	5	3	5	5					
		0.90%	0.94%	0.87%	0.83%	0.85%	1.51%	0.84%	0.67%	1.25%	1.18%	0.64%	0.61%	1.13%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	269	27	33	30	38	10	15	14	33	8	9	37	15					
		2.67%	1.82%	2.23%	2.09%	2.94%	5.05%	3.15%	2.36%	3.46%	1.90%	1.94%	4.51%	3.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	123	19	35	14	15	2	9	7	5	5	4	5	3					
		1.22%	1.28%	2.36%	0.97%	1.16%	1.01%	1.89%	1.18%	0.52%	1.18%	0.86%	0.61%	0.68%					
22	"5. ""За Русь Святую"""	45	5	5	5	6	0	4	7	6	0	1	4	2					
		0.44%	0.33%	0.33%	0.34%	0.46%	0.0%	0.84%	1.18%	0.62%	0.0%	0.21%	0.48%	0.45%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	3	2	2	1	0	1	2	0	0	1	2	3					
		0.16%	0.20%	0.13%	0.13%	0.07%	0.0%	0.21%	0.33%	0.0%	0.0%	0.21%	0.24%	0.68%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	9	8	8	8	0	5	4	4	4	3	3	2					
		0.57%	0.60%	0.54%	0.55%	0.62%	0.0%	1.05%	0.67%	0.41%	0.95%	0.64%	0.36%	0.45%					
25	"8. ""Народно-республиканская партия России"""	17	1	3	3	2	0	1	4	0	0	0	2	1					
		0.16%	0.06%	0.20%	0.20%	0.15%	0.0%	0.21%	0.67%	0.0%	0.0%	0.0%	0.24%	0.22%					
