Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Крутинская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11795	1480	687	1187	1557	548	82	180	54	663	75	118	71	273	98	578	107	591	96	99	67	569	86	188	56	487	95	869	144	60	427	87	116									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12195	1500	800	1250	1600	600	90	180	50	650	75	120	75	270	100	580	100	600	100	95	70	600	90	190	60	550	100	850	130	60	450	90	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7816	854	395	597	824	322	68	132	31	553	69	113	60	171	75	437	90	436	85	82	50	395	47	162	47	337	71	745	72	50	314	63	69									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1447	78	97	124	170	80	6	10	1	73	6	4	11	84	9	96	7	73	5	0	3	125	17	17	8	121	12	62	41	10	50	12	35									
6	Число погашенных избирательных бюллетеней	2932	568	308	529	606	198	16	38	18	24	0	3	4	15	16	47	3	91	10	13	17	80	26	11	5	92	17	43	17	0	86	15	16									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1447	78	97	124	170	80	6	10	1	73	6	4	11	84	9	96	7	73	5	0	3	125	17	17	8	121	12	62	41	10	50	12	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7816	854	395	597	824	322	68	132	31	553	69	113	60	171	75	437	90	436	85	82	50	395	47	162	47	337	71	745	72	50	314	63	69									
9	Число недействительных избирательных бюллетеней	274	22	3	28	31	15	0	3	0	4	0	0	2	12	3	11	2	20	0	1	0	3	0	3	0	91	0	14	1	0	2	2	1									
10	Число действительных избирательных бюллетеней	8989	910	489	693	963	387	74	139	32	622	75	117	69	243	81	522	95	489	90	81	53	517	64	176	55	367	83	793	112	60	362	73	103									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	430	23	15	25	23	12	7	10	5	30	3	10	0	5	5	15	5	55	3	0	3	50	5	15	5	36	10	10	0	5	30	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	402	23	15	25	23	12	7	10	2	30	0	10	0	5	5	15	0	55	3	0	3	50	5	15	5	36	7	1	0	0	30	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	12	1	7	12	3	3	2	2	6	1	1	1	4	0	1	2	3	1	1	1	4	1	5	0	2	2	5	2	1	2	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	28	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	3	9	0	5	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	14	4	9	12	4	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	18	2	2	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	8	1	8	8	5	0	1	2	1	1	2	1	0	0	0	0	5	1	0	1	4	2	1	1	0	0	2	3	0	0	0	1									
		0.64%	0.86%	0.20%	1.11%	0.80%	1.24%	0.00%	0.70%	6.25%	0.16%	1.33%	1.71%	1.41%	0.00%	0.00%	0.00%	0.00%	0.98%	1.11%	0.00%	1.89%	0.77%	3.13%	0.56%	1.82%	0.00%	0.00%	0.25%	2.65%	0.00%	0.00%	0.00%	0.96%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	344	48	26	44	40	22	4	3	1	8	0	0	1	12	1	11	4	12	1	0	1	18	2	6	0	11	5	30	9	3	14	5	2									
		3.71%	5.15%	5.28%	6.10%	4.02%	5.47%	5.41%	2.11%	3.13%	1.28%	0.00%	0.00%	1.41%	4.71%	1.19%	2.06%	4.12%	2.36%	1.11%	0.00%	1.89%	3.46%	3.13%	3.35%	0.00%	2.40%	6.02%	3.72%	7.96%	5.00%	3.85%	6.67%	1.92%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	17	4	12	10	3	1	0	0	4	0	0	0	1	1	4	0	7	1	0	0	3	0	3	0	2	1	8	2	0	5	0	1									
		0.97%	1.82%	0.81%	1.66%	1.01%	0.75%	1.35%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.39%	1.19%	0.75%	0.00%	1.38%	1.11%	0.00%	0.00%	0.58%	0.00%	1.68%	0.00%	0.44%	1.20%	0.99%	1.77%	0.00%	1.37%	0.00%	0.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5184	438	251	284	426	173	51	55	12	453	70	67	41	161	65	374	62	295	49	63	23	346	37	124	41	295	58	470	55	24	223	27	71									
		55.96%	46.99%	51.02%	39.39%	42.86%	43.03%	68.92%	38.73%	37.50%	72.36%	93.33%	57.26%	57.75%	63.14%	77.38%	70.17%	63.92%	57.96%	54.44%	76.83%	43.40%	66.54%	57.81%	69.27%	74.55%	64.41%	69.88%	58.24%	48.67%	40.00%	61.26%	36.00%	68.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	2	4	2	5	4	1	0	0	1	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	1	0	1	0	0	1	0	0									
		0.30%	0.21%	0.81%	0.28%	0.50%	0.99%	1.35%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.39%	0.00%	1.22%	0.00%	0.38%	0.00%	0.00%	0.00%	0.22%	0.00%	0.12%	0.00%	0.00%	0.27%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	5	0	0	2	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	3	0	1	1	0	0	1	1	0	0	0	0									
		0.22%	0.54%	0.00%	0.00%	0.20%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	0.19%	1.03%	0.20%	0.00%	0.00%	0.00%	0.58%	0.00%	0.56%	1.82%	0.00%	0.00%	0.12%	0.88%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1490	163	92	174	206	61	7	48	1	58	3	30	9	35	3	69	17	94	17	8	6	57	6	27	5	15	15	144	26	16	56	8	14									
		16.09%	17.49%	18.70%	24.13%	20.72%	15.17%	9.46%	33.80%	3.13%	9.27%	4.00%	25.64%	12.68%	13.73%	3.57%	12.95%	17.53%	18.47%	18.89%	9.76%	11.32%	10.96%	9.38%	15.08%	9.09%	3.28%	18.07%	17.84%	23.01%	26.67%	15.38%	10.67%	13.46%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	0	1	0	4	2	0	0	0	2	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0									
		0.18%	0.00%	0.20%	0.00%	0.40%	0.50%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	46	10	3	8	10	3	0	1	0	0	0	0	0	0	0	1	0	2	2	0	0	2	0	0	0	3	0	0	0	0	1	0	0									
		0.50%	1.07%	0.61%	1.11%	1.01%	0.75%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.39%	2.22%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	23	4	2	1	5	0	1	1	0	1	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	1	0	1	0	0	0	1	0									
		0.25%	0.43%	0.41%	0.14%	0.50%	0.00%	1.35%	0.70%	0.00%	0.16%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.44%	1.89%	0.00%	0.00%	0.56%	0.00%	0.22%	0.00%	0.12%	0.00%	0.00%	0.00%	1.33%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	52	8	1	2	12	6	0	4	0	1	0	1	0	1	0	1	0	2	2	0	1	1	3	1	0	1	0	1	0	0	3	0	0									
		0.56%	0.86%	0.20%	0.28%	1.21%	1.49%	0.00%	2.82%	0.00%	0.16%	0.00%	0.85%	0.00%	0.39%	0.00%	0.19%	0.00%	0.39%	2.22%	0.00%	1.89%	0.19%	4.69%	0.56%	0.00%	0.22%	0.00%	0.12%	0.00%	0.00%	0.82%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1472	186	94	149	213	99	8	24	15	78	1	15	16	30	8	45	8	56	14	7	19	71	10	10	7	33	4	123	15	17	53	30	14									
		15.89%	19.96%	19.11%	20.67%	21.43%	24.63%	10.81%	16.90%	46.88%	12.46%	1.33%	12.82%	22.54%	11.76%	9.52%	8.44%	8.25%	11.00%	15.56%	8.54%	35.85%	13.65%	15.63%	5.59%	12.73%	7.21%	4.82%	15.24%	13.27%	28.33%	14.56%	40.00%	13.46%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	4	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0									
		0.14%	0.43%	0.00%	0.00%	0.00%	0.25%	0.00%	0.70%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.27%	1.33%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	151	17	10	9	22	6	1	1	1	14	0	2	0	3	0	13	3	11	3	0	0	9	4	2	0	5	0	8	1	0	5	1	0									
		1.63%	1.82%	2.03%	1.25%	2.21%	1.49%	1.35%	0.70%	3.13%	2.24%	0.00%	1.71%	0.00%	1.18%	0.00%	2.44%	3.09%	2.16%	3.33%	0.00%	0.00%	1.73%	6.25%	1.12%	0.00%	1.09%	0.00%	0.99%	0.88%	0.00%	1.37%	1.33%	0.00%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
