Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
1	"Число избирателей, внесенных в списки избирателей"	79639	1647	1120	516	1630	1254	1164	1903	1455	1736	1057	1745	1502	1877	2197	1197	1534	1396	1263	1844	988	983	1005	1739	1081	1593	1664	816	727	950	699	1680	1348	1003	1180	1176	1909	1189	1528	955	823	793	1200	1285	1938	1692	1271	1748	1600	1276	1823	1735	617	2206	1802	1305	1907	1363	11	447	409	138					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	72800	1500	1000	480	1600	1160	1080	1730	1330	1620	1000	1550	1370	1680	2000	1050	1400	1250	1120	1700	900	860	1000	1530	980	1420	1500	730	675	950	630	1700	1180	900	1050	1080	1750	1040	1515	830	740	700	1020	1250	1720	1400	1120	1500	1480	1300	1650	1420	530	2000	1650	1180	1700	1200	50	600	600	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	56989	1234	888	320	1245	1016	911	1677	950	1214	789	1304	968	1268	1392	620	1101	1117	899	1153	677	736	915	1340	768	1193	1233	360	584	615	277	1271	865	705	818	751	1508	824	1295	594	522	592	844	1023	1424	1098	920	1294	1143	972	1227	1251	344	1330	1319	979	1506	802	11	447	409	137					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	9467	118	64	110	202	98	162	25	132	210	87	213	252	84	596	357	177	91	103	272	115	69	54	79	95	47	88	161	77	216	274	302	250	157	193	125	118	138	171	185	84	80	148	205	213	194	159	159	262	237	219	169	172	205	190	110	168	226	0	0	0	0					
6	Число погашенных избирательных бюллетеней	6344	148	48	50	153	46	7	28	248	196	124	33	150	328	12	73	122	42	118	275	108	55	31	111	117	180	179	209	14	119	79	127	65	38	39	204	124	78	49	51	134	28	28	22	83	108	41	47	75	91	204	0	14	465	141	91	26	172	39	153	191	13					
7	Число избирательных бюллетеней в переносных ящиках для голосования	9467	118	64	110	202	98	162	25	132	210	87	213	252	84	596	357	177	91	103	272	115	69	54	79	95	47	88	161	77	216	274	302	250	157	193	125	118	138	171	185	84	80	148	205	213	194	159	159	262	237	219	169	172	205	190	110	168	226	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	56978	1234	888	320	1245	1016	911	1677	950	1205	789	1304	967	1268	1392	620	1101	1117	899	1153	677	736	915	1340	768	1193	1233	360	584	615	277	1271	865	705	818	751	1508	824	1295	594	522	592	844	1023	1424	1098	920	1294	1143	972	1227	1251	344	1330	1319	978	1506	802	11	447	409	137					
9	Число недействительных избирательных бюллетеней	432	0	7	1	7	11	10	13	22	10	8	9	9	3	10	8	13	1	6	13	6	12	5	25	6	7	14	2	4	0	3	7	3	4	12	4	15	7	10	11	3	6	1	0	14	5	11	7	1	4	4	1	9	18	5	8	10	2	0	1	0	4					
10	Число действительных избирательных бюллетеней	66013	1352	945	429	1440	1103	1063	1689	1060	1405	868	1508	1210	1349	1978	969	1265	1207	996	1412	786	793	964	1394	857	1233	1307	519	657	831	548	1566	1112	858	999	872	1611	955	1456	768	603	666	991	1228	1623	1287	1068	1446	1404	1205	1442	1419	507	1517	1504	1080	1664	1026	11	446	409	133					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1282	20	20	10	20	20	40	23	20	28	20	37	22	27	25	20	20	15	15	20	21	20	25	17	20	28	30	25	25	20	25	23	10	28	15	20	25	30	20	20	20	20	20	20	20	20	21	23	11	20	20	40	20	43	40	20	20	15	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1280	20	20	10	20	20	39	23	20	28	20	37	22	27	25	19	20	15	15	20	21	20	25	17	20	28	30	25	25	20	25	23	10	28	15	20	25	30	20	20	20	20	20	20	20	20	21	23	11	20	20	40	20	43	40	20	20	15	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1181	9	21	49	21	14	15	22	34	16	13	30	18	12	8	16	20	12	45	17	23	59	7	36	15	18	15	9	13	10	7	23	20	15	17	20	17	29	20	14	11	13	21	40	18	5	26	5	20	7	10	39	7	16	15	26	57	27	0	22	14	3					
