Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Ленинск-Кузнецкая городская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492					
1	"Число избирателей, внесенных в список избирателей"	80834	1689	2104	1263	1629	299	1849	1147	1374	1669	465	1552	2343	2479	1023	1170	1167	1896	549	1220	1873	1347	1732	1090	986	989	1599	1625	1813	1546	1142	749	1724	1554	206	1030	1614	1023	1145	851	1267	890	1011	2104	376	2432	2209	1832	1328	1727	95	1612	1899	1351	1782	1720	1997	1232	1445					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82169	1811	2000	1274	1649	300	1860	1163	1392	1700	463	1584	2367	2517	1045	1174	1180	1877	932	1234	1910	1369	1732	1107	1001	1001	1609	1648	1829	1589	1148	758	1742	1554	250	1040	1624	1023	1165	863	1281	901	1020	2121	384	2465	2265	1823	1342	1732	100	1621	1895	1367	1870	1721	2026	1286	1465					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	49361	698	1169	655	1340	299	896	589	668	1418	120	883	1006	1207	720	509	501	1381	515	536	1109	1121	891	627	592	841	1360	829	912	1255	837	219	952	422	206	710	1072	335	785	541	481	715	473	1349	294	1792	1907	882	1080	1179	95	841	1028	397	1187	1454	1424	1050	1007					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	7579	195	81	63	30	0	24	58	235	75	56	162	646	397	114	44	87	115	34	71	164	49	42	52	79	30	46	111	102	113	94	301	154	223	0	173	144	150	131	76	201	73	83	352	66	226	302	50	138	188	0	136	100	162	173	95	191	182	140					
6	Число погашенных избирательных бюллетеней	25229	918	750	556	279	1	940	516	489	207	287	539	715	913	211	621	592	381	383	627	637	199	799	428	330	130	203	708	815	221	217	238	636	909	44	157	408	538	249	246	599	113	464	420	24	447	56	891	124	365	5	644	767	808	510	172	411	54	318					
7	Число избирательных бюллетеней в переносных ящиках для голосования	7579	195	81	63	30	0	24	58	235	75	56	162	646	397	114	44	87	115	34	71	164	49	42	52	79	30	46	111	102	113	94	301	154	223	0	173	144	150	131	76	201	73	83	352	66	226	302	50	138	188	0	136	100	162	173	95	191	182	140					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	49353	698	1169	655	1340	299	896	589	668	1418	120	876	1006	1207	720	509	501	1381	515	536	1109	1121	891	627	592	841	1360	829	912	1254	837	219	952	422	206	710	1072	335	785	541	481	715	473	1349	294	1792	1907	882	1080	1179	95	841	1028	397	1187	1454	1424	1050	1007					
9	Число недействительных избирательных бюллетеней	618	22	22	9	8	5	20	10	5	18	1	10	19	30	9	0	4	25	9	14	18	0	17	11	15	36	16	25	29	18	4	8	0	10	4	9	9	8	5	3	5	6	8	22	1	5	9	11	0	0	3	11	1	7	17	2	2	13	10					
10	Число действительных избирательных бюллетеней	56314	871	1228	709	1362	294	900	637	898	1475	175	1028	1633	1574	825	553	584	1471	540	593	1255	1170	916	668	656	835	1390	915	985	1349	927	512	1106	635	202	874	1207	477	911	614	677	782	548	1679	359	2013	2200	921	1218	1367	92	966	1127	552	1343	1547	1613	1219	1137					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2000	40	60	30	40	0	30	30	30	40	20	40	40	50	30	30	30	50	20	30	40	30	50	30	30	30	40	40	50	40	30	20	50	30	0	30	40	30	30	20	30	20	30	50	20	50	50	50	30	40	0	40	50	30	50	50	50	30	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	788	14	60	14	15	0	10	14	15	21	2	10	18	30	16	6	13	16	10	5	16	19	11	9	5	10	17	20	18	40	8	8	12	3	0	18	14	5	11	3	7	20	13	15	0	11	14	15	9	15	0	9	11	8	50	11	18	16	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	372	6	6	9	0	16	11	7	7	8	0	5	4	8	2	6	5	12	9	2	12	8	11	3	0	5	9	11	10	6	0	7	10	5	10	7	8	4	4	4	1	7	13	11	0	11	4	17	0	7	0	3	3	3	0	8	6	14	7					
14	Число погашенных неиспользованных открепительных удостоверений	1212	26	0	16	25	0	20	16	15	19	18	30	22	20	14	24	17	34	10	25	24	11	39	21	25	20	23	20	32	0	22	12	38	27	0	12	26	25	19	17	23	0	17	35	20	39	36	35	21	25	0	31	39	22	0	39	32	14	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2170	13	108	22	14	25	33	6	17	99	3	45	123	130	36	23	9	47	2	64	107	49	2	19	8	17	16	12	104	47	43	33	40	23	0	10	31	13	3	24	3	4	18	95	13	126	0	5	30	59	16	42	17	3	60	27	85	78	69					
