Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
"Наименование Избирательной комиссии:    Ростов-на-Дону, Октябрьская"																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №2305	УИК №2625	УИК №2630									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	112049	341	1735	1882	1590	2423	2355	2315	2693	1783	2220	1665	2331	2012	1973	1737	1618	2353	2012	1991	2411	1839	1627	2123	1762	1722	2061	1943	1617	2299	2109	2203	1869	2403	1530	2186	2235	2968	1849	2213	2432	2140	1715	1863	2370	2160	1729	2710	2730	2558	2663	2272	296	3039	3374									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	100800	1000	1500	1700	1400	2300	2100	2100	2400	1600	2000	900	1600	1800	1800	1500	1400	2200	1800	1800	2200	1700	1500	2000	1600	1400	1900	1800	1500	2200	1900	1900	1700	2200	1400	2000	2100	2400	1600	2000	2000	1900	1600	1700	2200	2000	1500	2500	2600	2400	2500	2100	400	2700	2800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42102	142	660	710	535	1016	1434	560	1065	696	841	721	1219	904	507	581	629	993	680	471	668	686	546	770	749	773	797	616	638	867	687	550	327	603	411	534	698	912	769	763	1183	748	725	658	942	989	1101	966	1343	1487	1270	1381	296	396	889									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3763	199	112	31	70	44	23	98	25	34	33	2	14	45	24	80	53	41	78	320	81	62	70	46	15	22	121	82	29	11	42	145	24	82	15	110	18	582	16	83	90	86	6	17	39	211	160	31	102	10	3	4	0	18	4									
6	Число погашенных избирательных бюллетеней	54935	659	728	959	795	1240	643	1442	1310	870	1126	177	367	851	1269	839	718	1166	1042	1009	1451	952	884	1184	836	605	982	1102	833	1322	1171	1205	1349	1515	974	1356	1384	906	815	1154	727	1066	869	1025	1219	800	239	1503	1155	903	1227	715	104	2286	1907									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3760	199	112	31	70	44	23	98	25	34	33	2	14	45	24	80	51	41	78	320	81	62	70	46	15	22	121	81	29	11	42	145	24	82	15	110	18	582	16	83	90	86	6	17	39	211	160	31	102	10	3	4	0	18	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42018	142	660	710	535	1016	1434	560	1065	696	841	721	1219	902	507	580	629	993	680	471	668	686	546	770	749	773	797	535	638	867	687	550	327	603	411	534	698	912	769	763	1183	748	725	658	942	989	1101	966	1343	1487	1270	1381	296	396	889									
9	Число недействительных избирательных бюллетеней	552	9	0	11	10	18	0	12	15	15	9	23	21	8	4	8	8	9	14	17	16	17	0	5	18	18	0	0	0	11	11	12	13	3	5	7	18	10	1	13	31	13	13	11	3	0	0	14	24	12	22	0	10	0	10									
10	Число действительных избирательных бюллетеней	45226	332	772	730	595	1042	1457	646	1075	715	865	700	1212	939	527	652	672	1025	744	774	733	731	616	811	746	777	918	616	667	867	718	683	338	682	421	637	698	1484	784	833	1242	821	718	664	978	1200	1261	983	1421	1485	1251	1385	286	414	883									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4000	0	50	50	50	200	60	100	250	50	60	100	50	70	50	50	50	60	100	50	60	50	50	50	50	200	50	50	50	100	100	150	50	50	50	50	50	70	170	50	300	50	50	50	60	50	50	60	60	60	60	60	0	70	70									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2141	0	18	33	25	200	42	30	71	26	31	34	26	46	34	31	14	45	21	23	60	50	32	50	33	28	37	25	25	74	35	62	20	35	15	50	37	56	42	33	115	28	23	23	29	32	12	60	60	43	45	37	0	26	59									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1910	136	0	4	31	59	23	11	12	14	12	98	537	16	14	36	37	32	38	11	8	13	8	7	83	172	6	21	17	20	17	12	21	13	6	16	11	12	12	19	9	16	7	15	19	6	32	11	8	24	14	6	15	24	89									
14	Число погашенных неиспользованных открепительных удостоверений	1859	0	32	17	25	0	18	70	179	24	29	66	24	24	16	19	36	15	79	27	0	0	18	0	17	172	13	25	25	26	65	88	30	15	35	0	13	14	128	17	185	22	27	27	31	18	38	0	0	17	15	23	0	44	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	204	0	0	3	1	3	2	0	3	3	3	2	0	5	3	2	5	2	1	1	4	2	3	3	4	5	4	5	8	19	6	31	1	5	0	9	2	3	1	4	4	4	1	0	3	5	1	3	4	4	4	3	0	5	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1112	3	35	11	19	38	15	31	20	35	41	19	41	34	11	24	15	16	22	14	31	30	20	24	22	34	19	2	2	28	23	10	14	7	11	16	18	40	24	21	0	23	15	15	1	23	19	28	24	33	34	14	3	15	25									
		2.43%	0.88%	4.53%	1.48%	3.14%	3.58%	1.03%	4.71%	1.83%	4.79%	4.69%	2.63%	3.33%	3.59%	2.07%	3.64%	2.21%	1.55%	2.90%	1.77%	4.14%	4.01%	3.25%	2.94%	2.88%	4.28%	2.07%	0.32%	0.30%	3.19%	3.16%	1.44%	3.99%	1.02%	2.58%	2.48%	2.51%	2.68%	3.06%	2.48%	0.00%	2.76%	2.05%	2.22%	0.10%	1.92%	1.51%	2.81%	1.66%	2.20%	2.67%	1.01%	1.01%	3.62%	2.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	826	10	15	0	12	11	5	17	15	13	16	15	24	22	12	15	9	13	14	12	21	16	7	19	13	26	25	3	0	16	15	30	7	13	14	7	20	15	12	27	29	23	24	22	10	18	15	33	12	26	24	10	1	1	22									
		1.80%	2.93%	1.94%	0.00%	1.98%	1.04%	0.34%	2.58%	1.38%	1.78%	1.83%	2.07%	1.95%	2.32%	2.26%	2.27%	1.32%	1.26%	1.85%	1.52%	2.80%	2.14%	1.14%	2.33%	1.70%	3.27%	2.72%	0.49%	0.00%	1.82%	2.06%	4.32%	1.99%	1.90%	3.29%	1.09%	2.79%	1.00%	1.53%	3.19%	2.28%	2.76%	3.28%	3.26%	1.02%	1.50%	1.19%	3.31%	0.83%	1.74%	1.89%	0.72%	0.34%	0.24%	2.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	836	13	20	0	13	24	12	18	28	27	25	11	23	31	24	16	19	19	20	13	11	16	5	32	19	19	10	2	0	9	17	21	9	6	11	14	11	8	6	26	0	6	21	10	6	16	13	22	19	34	32	18	3	12	16									
		1.83%	3.81%	2.59%	0.00%	2.15%	2.26%	0.82%	2.74%	2.57%	3.70%	2.86%	1.52%	1.87%	3.27%	4.52%	2.42%	2.79%	1.84%	2.64%	1.64%	1.47%	2.14%	0.81%	3.92%	2.49%	2.39%	1.09%	0.32%	0.00%	1.03%	2.33%	3.02%	2.56%	0.88%	2.58%	2.17%	1.54%	0.54%	0.76%	3.07%	0.00%	0.72%	2.87%	1.48%	0.61%	1.33%	1.03%	2.21%	1.31%	2.27%	2.51%	1.30%	1.01%	2.90%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22932	186	367	404	238	445	691	258	510	335	347	343	516	429	199	320	360	523	360	449	286	330	383	380	335	316	449	453	330	351	305	325	143	419	187	329	356	1092	415	348	734	391	295	247	504	861	882	453	859	778	600	754	200	180	382									
		50.09%	54.55%	47.54%	54.52%	39.34%	41.98%	47.43%	39.21%	46.79%	45.89%	39.70%	47.44%	41.85%	45.30%	37.48%	48.48%	52.94%	50.58%	47.49%	56.76%	38.18%	44.12%	62.18%	46.57%	43.85%	39.75%	48.91%	73.54%	49.48%	39.98%	41.84%	46.76%	40.74%	61.17%	43.90%	51.09%	49.72%	73.09%	52.87%	41.13%	57.66%	46.88%	40.36%	36.59%	51.38%	71.75%	69.94%	45.44%	59.45%	51.97%	47.13%	54.44%	67.57%	43.48%	42.78%									
