Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Куйбышевская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2463	УИК №2466	УИК №2534	УИК №2535	УИК №2536					
1	"Число избирателей, внесенных в списки"	12277	2687	2681	429	416	322	1248	857	521	221	1092	730	199	127	402	188	157					
2	"Число бюллетеней, полученных участковыми комиссиями"	12323	2657	2667	425	447	362	1260	868	523	218	1099	723	199	121	414	185	155					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7021	1508	1540	307	253	209	670	441	347	148	569	418	110	71	234	109	87					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	487	48	57	14	8	22	84	34	39	24	47	29	2	30	27	6	16					
6	Число погашенных бюллетеней	4815	1101	1070	104	186	131	506	393	137	46	483	276	87	20	153	70	52					
7	Число бюллетеней в переносных ящиках для голосования	487	48	57	14	8	22	84	34	39	24	47	29	2	30	27	6	16					
8	Число бюллетеней в стационарных ящиках для голосования	7016	1508	1537	306	253	209	670	441	347	148	568	418	110	71	234	109	87					
9	Число недействительных бюллетеней	229	26	30	15	9	11	17	14	14	12	20	11	10	9	12	11	8					
10	Число действительных бюллетеней	7274	1530	1564	305	252	220	737	461	372	160	595	436	102	92	249	104	95					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	108	109	17	18	15	51	35	21	9	45	29	8	5	17	7	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	30	25	0	3	0	3	3	4	0	2	0	0	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	60	4	1	7	5	2	4	3	6	3	4	3	2	5	3	4	4					
14	Число погашенных открепительных удостоверений	427	78	84	17	15	15	48	32	17	9	43	29	8	5	14	7	6					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	191	29	28	8	4	9	18	6	11	12	20	13	4	3	12	4	10					
		2.54%	1.86%	1.75%	2.5%	1.53%	3.89%	2.38%	1.26%	2.84%	6.97%	3.25%	2.90%	3.57%	2.97%	4.59%	3.47%	9.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	86	30	16	6	4	0	6	5	8	1	5	1	1	0	1	0	2					
		1.14%	1.92%	1.00%	1.87%	1.53%	0.0%	0.79%	1.05%	2.07%	0.58%	0.81%	0.22%	0.89%	0.0%	0.38%	0.0%	1.94%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	216	50	47	9	3	10	14	11	9	10	29	8	1	1	3	4	7					
		2.87%	3.21%	2.94%	2.81%	1.14%	4.32%	1.85%	2.31%	2.33%	5.81%	4.71%	1.78%	0.89%	0.99%	1.14%	3.47%	6.79%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	119	26	33	5	11	3	9	3	2	3	9	4	3	0	2	2	4					
		1.58%	1.67%	2.07%	1.56%	4.21%	1.29%	1.19%	0.63%	0.51%	1.74%	1.46%	0.89%	2.67%	0.0%	0.76%	1.73%	3.88%					
22	"5. ""За Русь Святую"""	39	11	10	2	1	1	7	0	2	0	1	0	0	1	2	0	1					
		0.51%	0.70%	0.62%	0.62%	0.38%	0.43%	0.92%	0.0%	0.51%	0.0%	0.16%	0.0%	0.0%	0.99%	0.76%	0.0%	0.97%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	8	3	2	3	4	3	3	2	1	5	3	1	2	3	0	0					
		0.57%	0.51%	0.18%	0.62%	1.14%	1.73%	0.39%	0.63%	0.51%	0.58%	0.81%	0.67%	0.89%	1.98%	1.14%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	54	9	25	1	2	1	3	3	3	0	0	3	1	2	0	1	0					
		0.71%	0.57%	1.56%	0.31%	0.76%	0.43%	0.39%	0.63%	0.77%	0.0%	0.0%	0.67%	0.89%	1.98%	0.0%	0.86%	0.0%					
25	"8. ""Народно-республиканская партия России"""	23	3	2	0	2	2	0	1	1	1	3	2	0	0	2	0	4					
		0.30%	0.19%	0.12%	0.0%	0.76%	0.86%	0.0%	0.21%	0.25%	0.58%	0.48%	0.44%	0.0%	0.0%	0.76%	0.0%	3.88%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	4	2	0	0	1	0	2	2	0	1	0	0	1	0	0	0					
