Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Ашинская городская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №2290									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50129	1042	678	1012	1213	710	1278	1195	1382	860	1618	785	1152	545	1218	717	1276	1517	1253	1119	1939	299	483	883	1223	1151	983	889	1021	726	1554	675	1165	1339	187	1084	1088	1098	1421	1344	1280	1253	721	443	816	1612	470	115	61	75	149	207	1005	162	198	440									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49110	1000	650	1000	1200	700	1250	1150	1350	850	1600	750	1150	500	1200	700	1250	1500	1250	1100	1950	250	450	850	1200	1150	950	900	1000	700	1550	650	1150	1300	180	1050	1050	1100	1400	1350	1250	1250	700	400	800	1600	450	110	60	70	150	200	1000	150	190	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19320	543	337	546	560	348	602	617	698	465	793	309	335	188	491	266	478	563	388	338	874	99	167	286	361	436	451	335	402	274	415	201	519	430	95	481	496	317	547	349	366	327	195	94	290	506	188	55	37	38	86	83	388	59	64	144									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	842	21	10	8	9	19	7	13	18	13	28	19	24	0	7	15	11	13	29	15	17	17	20	14	41	30	11	11	19	13	63	5	16	6	12	10	8	2	7	15	7	10	10	6	17	20	22	8	4	7	13	9	44	17	24	8									
6	Число погашенных избирательных бюллетеней	28948	436	303	446	631	333	641	520	634	372	779	422	791	312	702	419	761	924	833	747	1059	134	263	550	798	684	488	554	579	413	1072	444	615	864	73	559	546	781	846	986	877	913	495	300	493	1074	240	47	19	25	51	108	568	74	102	248									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	842	21	10	8	9	19	7	13	18	13	28	19	24	0	7	15	11	13	29	15	17	17	20	14	41	30	11	11	19	13	63	5	16	6	12	10	8	2	7	15	7	10	10	6	17	20	22	8	4	7	13	9	44	17	24	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19319	543	337	546	560	348	602	617	698	465	793	309	335	188	491	266	477	563	388	338	874	99	167	286	361	436	451	335	402	274	415	201	519	430	95	481	496	317	547	349	366	327	195	94	290	506	188	55	37	38	86	83	388	59	64	144									
9	Число недействительных избирательных бюллетеней	708	16	18	13	15	15	14	27	27	18	40	12	11	2	21	11	16	30	18	12	34	2	14	5	17	21	11	6	15	9	18	10	12	14	4	19	13	12	8	4	17	3	11	6	15	33	9	2	0	2	4	1	9	4	3	5									
10	Число действительных избирательных бюллетеней	19453	548	329	541	554	352	595	603	689	460	781	316	348	186	477	270	472	546	399	341	857	114	173	295	385	445	451	340	406	278	460	196	523	422	103	472	491	307	546	360	356	334	194	94	292	493	201	61	41	43	95	91	423	72	85	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	249	8	6	4	4	2	3	7	16	6	12	3	5	4	5	2	3	6	3	5	8	2	2	7	6	10	11	7	4	4	7	2	6	3	2	6	6	5	6	4	2	2	4	2	2	4	2	2	2	2	2	2	3	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	188	5	5	3	3	1	3	7	13	5	9	3	5	2	5	1	2	5	2	4	8	1	0	6	5	9	9	6	4	3	7	0	6	2	0	4	6	4	6	4	1	1	2	1	0	4	0	0	0	0	0	0	3	0	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	138	4	0	1	0	3	2	0	5	3	3	3	3	1	4	0	2	3	1	4	3	11	2	3	3	7	3	1	4	1	0	2	3	0	4	1	0	4	1	0	0	5	1	0	4	3	4	2	1	4	0	1	3	6	4	5									
14	Число погашенных неиспользованных открепительных удостоверений	61	3	1	1	1	1	0	0	3	1	3	0	0	2	0	1	1	1	1	1	0	1	2	1	1	1	2	1	0	1	0	2	0	1	2	2	0	1	0	0	1	1	2	1	2	0	2	2	2	2	2	2	0	2	0	1									
