Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Красногорская																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072					
1	"Число избирателей, внесенных в списки"	124627	1517	2001	2119	1168	2150	2127	2151	1616	2328	2374	2734	2816	2148	1589	2778	2110	1729	2467	3031	2923	2990	2617	1725	2094	2103	2246	2095	1606	1851	2306	2002	2419	1257	2863	408	1308	2425	2286	2795	2412	1969	1920	2010	2882	1750	1695	1383	1897	1843	2297	1420	442	1523	1648	1582	1116	1600	489	2162	1033	1258	1348	1375	484	1389	428					
2	"Число бюллетеней, полученных участковыми комиссиями"	114625	1430	1695	2000	1060	2050	2050	2035	1535	2245	2265	2575	2635	1975	1500	2495	1980	1655	2375	2820	2620	2725	2455	1630	1940	1960	2120	2005	1500	1680	2175	1840	2275	975	2690	380	1215	2295	2195	2640	1925	1830	1815	1505	2620	1610	1600	1080	1820	1720	2160	1320	420	930	1495	1365	1060	1425	450	1950	930	1190	1305	1245	405	1310	450					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	66462	817	1056	1160	777	1207	1226	1253	912	1254	1329	1372	1327	1206	761	1509	1148	807	1257	1879	1632	1586	1450	964	1128	1156	1058	1105	861	932	1125	1097	1371	822	1720	225	501	1234	1197	1211	1328	978	907	1154	1400	888	925	719	1048	803	1277	773	230	840	940	948	423	826	276	1204	560	661	717	580	245	752	428					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1410	12	10	17	8	23	22	26	8	25	23	32	11	22	7	34	9	22	20	15	23	31	26	6	11	26	16	11	8	9	32	6	7	5	27	19	37	10	19	67	14	9	31	48	17	10	5	33	39	16	38	4	29	46	31	21	0	80	33	32	11	6	14	63	20	18	0					
6	Число погашенных бюллетеней	46753	601	629	823	275	820	802	756	615	966	913	1171	1297	747	732	952	823	826	1098	926	965	1108	979	660	801	778	1046	889	631	739	1018	737	897	148	943	136	677	1051	979	1362	583	843	877	303	1203	712	670	328	733	901	845	543	161	44	524	396	637	519	141	714	359	523	574	602	140	540	22					
7	Число бюллетеней в переносных ящиках для голосования	1410	12	10	17	8	23	22	26	8	25	23	32	11	22	7	34	9	22	20	15	23	31	26	6	11	26	16	11	8	9	32	6	7	5	27	19	37	10	19	67	14	9	31	48	17	10	5	33	39	16	38	4	29	46	31	21	0	80	33	32	11	6	14	63	20	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	66350	817	1053	1150	777	1207	1226	1253	912	1254	1329	1372	1327	1206	761	1507	1145	807	1257	1878	1632	1586	1450	960	1128	1156	1058	1105	855	932	1125	1097	1365	822	1716	225	498	1234	1197	1201	1328	978	907	1154	1400	888	925	719	1048	803	1277	769	230	840	940	927	421	825	276	1172	560	661	717	580	245	752	428					
9	Число недействительных бюллетеней	1187	13	12	5	8	47	14	28	15	10	6	21	23	15	14	10	7	11	25	52	33	23	28	19	27	20	37	14	15	31	34	26	6	9	18	13	12	7	8	14	23	1	12	24	20	7	10	14	41	21	32	11	8	7	21	12	16	40	11	24	13	13	15	6	9	34	12					
10	Число действительных бюллетеней	66573	816	1051	1162	777	1183	1234	1251	905	1269	1346	1383	1315	1213	754	1531	1147	818	1252	1841	1622	1594	1448	947	1112	1162	1037	1102	848	910	1123	1077	1366	818	1725	231	523	1237	1208	1254	1319	986	926	1178	1397	891	920	738	1046	798	1283	762	251	879	950	936	405	865	298	1180	558	654	716	637	256	736	416					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1700	41	41	41	41	41	41	41	41	41	41	40	41	41	41	41	41	41	41	41	41	41	26	41	41	20	20	20	19	5	20	20	20	13	44	9	19	20	25	25	30	29	14	19	25	19	19	13	19	19	20	13	9	14	19	13	13	19	9	20	9	13	13	13	9	13	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	779	2	10	16	11	18	13	13	7	9	17	18	9	17	2	27	17	9	11	33	16	25	18	11	13	14	14	13	10	5	4	9	18	12	37	0	7	20	22	7	20	23	9	8	23	19	19	7	7	7	19	10	3	13	9	3	5	1	0	16	8	7	8	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	745	2	8	7	22	7	5	2	4	6	6	10	6	12	8	8	9	0	5	9	7	16	18	10	10	9	4	10	7	5	10	8	10	7	12	7	13	7	1	16	10	7	5	6	2	3	19	19	20	6	34	4	8	46	32	91	12	3	8	14	26	9	2	21	2	10	3					
14	Число погашенных открепительных удостоверений	921	39	31	25	30	23	28	28	34	32	24	22	32	24	39	14	24	32	30	8	25	16	8	30	28	6	6	7	9	0	16	11	2	1	7	9	12	0	3	18	10	6	5	11	2	0	0	6	12	12	1	3	6	1	10	10	8	18	9	4	1	6	5	13	9	12	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
18	"1. ""ЕДИНЕНИЕ"""	497	2	4	6	6	2	7	18	11	7	5	12	10	7	8	6	10	1	5	9	4	8	11	11	10	14	8	5	5	7	14	4	7	7	11	2	6	17	8	11	10	2	8	11	8	4	9	6	15	13	9	7	1	5	4	13	4	7	4	14	9	6	4	6	1	8	3					
		0.73%	0.24%	0.37%	0.51%	0.76%	0.16%	0.56%	1.40%	1.19%	0.54%	0.36%	0.85%	0.74%	0.57%	1.04%	0.38%	0.86%	0.12%	0.39%	0.47%	0.24%	0.49%	0.74%	1.13%	0.87%	1.18%	0.74%	0.44%	0.57%	0.74%	1.21%	0.36%	0.51%	0.84%	0.63%	0.81%	1.12%	1.36%	0.65%	0.86%	0.74%	0.20%	0.85%	0.91%	0.56%	0.44%	0.96%	0.79%	1.37%	1.58%	0.68%	0.90%	0.38%	0.56%	0.41%	1.37%	0.95%	0.77%	1.29%	1.16%	1.57%	0.89%	0.54%	0.93%	0.37%	1.03%	0.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3636	58	63	67	30	67	68	59	42	96	64	114	96	72	58	90	87	53	77	105	125	94	69	60	59	69	60	87	40	54	63	77	84	39	101	5	7	46	49	74	47	59	48	51	61	12	33	25	52	34	56	44	7	35	64	46	20	30	9	50	45	55	41	30	13	31	10					
		5.36%	6.99%	5.92%	5.74%	3.82%	5.44%	5.44%	4.61%	4.56%	7.50%	4.73%	8.11%	7.17%	5.86%	7.55%	5.84%	7.53%	6.39%	6.02%	5.54%	7.55%	5.81%	4.67%	6.21%	5.17%	5.83%	5.58%	7.79%	4.63%	5.73%	5.44%	6.98%	6.12%	4.71%	5.79%	2.04%	1.30%	3.69%	4.02%	5.83%	3.50%	5.97%	5.11%	4.24%	4.30%	1.33%	3.54%	3.32%	4.78%	4.15%	4.25%	5.69%	2.70%	3.95%	6.59%	4.85%	4.75%	3.31%	2.91%	4.15%	7.88%	8.24%	5.60%	4.66%	4.90%	4.02%	2.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1762	21	11	16	17	29	44	27	28	36	31	41	31	45	13	35	29	15	25	50	57	96	35	22	40	30	24	27	27	21	42	26	23	10	29	3	9	33	38	45	25	18	27	30	42	27	20	40	22	18	33	20	3	10	20	29	13	20	6	47	13	11	17	15	4	20	31					
		2.60%	2.53%	1.03%	1.37%	2.16%	2.35%	3.52%	2.11%	3.04%	2.81%	2.29%	2.92%	2.31%	3.66%	1.69%	2.27%	2.51%	1.80%	1.95%	2.64%	3.44%	5.93%	2.37%	2.27%	3.51%	2.53%	2.23%	2.41%	3.12%	2.23%	3.63%	2.35%	1.67%	1.20%	1.66%	1.22%	1.68%	2.65%	3.12%	3.54%	1.86%	1.82%	2.87%	2.49%	2.96%	3.00%	2.15%	5.31%	2.02%	2.19%	2.50%	2.58%	1.15%	1.12%	2.05%	3.05%	3.08%	2.20%	1.94%	3.90%	2.27%	1.64%	2.32%	2.33%	1.50%	2.59%	7.24%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5147	69	103	80	67	122	123	86	56	118	121	128	129	94	76	149	104	77	92	135	154	140	132	80	75	95	94	81	65	48	97	65	158	39	161	4	36	69	56	84	68	66	69	63	78	82	74	31	65	47	109	68	16	53	65	54	36	46	19	78	52	82	69	30	11	32	22					
		7.59%	8.32%	9.68%	6.85%	8.53%	9.91%	9.85%	6.72%	6.08%	9.22%	8.94%	9.11%	9.64%	7.65%	9.89%	9.66%	9.01%	9.28%	7.20%	7.13%	9.30%	8.65%	8.94%	8.28%	6.58%	8.03%	8.75%	7.25%	7.53%	5.10%	8.38%	5.89%	11.51%	4.71%	9.23%	1.63%	6.72%	5.54%	4.60%	6.62%	5.06%	6.68%	7.35%	5.24%	5.50%	9.13%	7.95%	4.12%	5.97%	5.73%	8.28%	8.79%	6.17%	5.98%	6.69%	5.69%	8.55%	5.08%	6.14%	6.47%	9.10%	12.29%	9.43%	4.66%	4.15%	4.15%	5.14%					
22	"5. ""За Русь Святую"""	370	2	1	5	2	6	8	6	3	6	3	12	0	6	3	6	4	3	5	10	6	10	10	4	4	3	5	5	6	5	7	4	5	5	5	5	3	11	13	4	12	3	5	7	5	9	5	6	7	9	17	8	0	5	6	6	3	4	3	7	2	1	5	7	4	8	5					
