Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Рамешковская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853					
1	"Число избирателей, внесенных в списки"	11773	458	326	538	695	274	401	222	406	235	250	407	1187	512	401	282	737	229	136	207	178	231	2141	1320					
2	"Число бюллетеней, полученных участковыми комиссиями"	11376	453	326	516	666	278	400	206	391	227	253	393	1132	497	372	273	701	223	135	198	175	229	2098	1234					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5530	206	129	241	266	110	192	94	143	96	118	234	445	241	162	130	286	86	59	87	90	93	1251	771					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2013	83	50	101	188	37	86	58	95	50	58	51	283	106	111	52	177	110	48	57	46	77	58	31					
6	Число погашенных бюллетеней	3833	164	147	174	212	131	122	54	153	81	77	108	404	150	99	91	238	27	28	54	39	59	789	432					
7	Число бюллетеней в переносных ящиках для голосования	2012	83	50	101	188	37	86	58	95	50	58	51	283	106	111	52	176	110	48	57	46	77	58	31					
8	Число бюллетеней в стационарных ящиках для голосования	5530	206	129	241	266	110	192	94	143	96	118	234	445	241	162	130	286	86	59	87	90	93	1251	771					
9	Число недействительных бюллетеней	156	9	10	3	7	4	7	0	12	1	4	5	16	6	6	6	13	4	5	4	1	1	20	12					
10	Число действительных бюллетеней	7386	280	169	339	447	143	271	152	226	145	172	280	712	341	267	176	449	192	102	140	135	169	1289	790					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	400	20	20	20	20	20	20	10	20	10	10	20	30	20	20	10	30	10	10	10	10	10	30	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	68	1	2	4	3	6	9	0	2	1	3	1	5	3	5	2	0	0	0	0	0	1	15	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	3	3	2	6	2	6	2	1	2	0	1	6	10	1	5	1	0	0	2	5	2	9	5					
14	Число погашенных открепительных удостоверений	332	19	18	16	17	14	11	10	18	9	7	19	25	17	15	8	30	10	10	10	10	9	15	15					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	156	4	6	8	13	4	8	1	8	8	7	5	14	5	11	4	10	3	1	3	3	6	16	8					
		2.06%	1.38%	3.35%	2.33%	2.86%	2.72%	2.87%	0.65%	3.36%	5.47%	3.97%	1.75%	1.92%	1.44%	4.02%	2.19%	2.16%	1.53%	0.93%	2.08%	2.20%	3.52%	1.22%	0.99%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	108	1	1	11	6	0	3	2	4	2	0	4	7	6	5	1	10	7	0	0	0	4	18	16					
		1.43%	0.34%	0.55%	3.21%	1.32%	0.0%	1.07%	1.31%	1.68%	1.36%	0.0%	1.40%	0.96%	1.72%	1.83%	0.54%	2.16%	3.57%	0.0%	0.0%	0.0%	2.35%	1.37%	1.99%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	233	9	6	8	25	2	9	3	6	3	5	9	17	9	8	6	14	15	4	7	3	7	38	20					
		3.08%	3.11%	3.35%	2.33%	5.50%	1.36%	3.23%	1.97%	2.52%	2.05%	2.84%	3.15%	2.33%	2.59%	2.93%	3.29%	3.03%	7.65%	3.73%	4.86%	2.20%	4.11%	2.90%	2.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	184	6	5	2	9	3	9	3	5	2	4	1	41	9	4	1	8	6	3	2	2	1	40	18					
		2.43%	2.07%	2.79%	0.58%	1.98%	2.04%	3.23%	1.97%	2.10%	1.36%	2.27%	0.35%	5.63%	2.59%	1.46%	0.54%	1.73%	3.06%	2.80%	1.38%	1.47%	0.58%	3.05%	2.24%					
22	"5. ""За Русь Святую"""	77	3	1	2	3	1	6	0	2	0	0	4	7	2	1	2	2	2	0	1	0	7	18	13					
