Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																
Дата голосования: 04.12.2011																																																																																																																
																																																																																																																
"Наименование Избирательной комиссии:    Красноярск, Советская"																																																																																																																
																																																																																																																
Сводная таблица результатов выборов																																																																																																																
																																																																																																																
		Сумма	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №2194	УИК №2195	УИК №2196	УИК №2270	УИК №2271	УИК №2272	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2316					
1	"Число избирателей, внесенных в список избирателей"	207749	2003	1295	845	449	170	1952	813	1117	1727	2026	2338	2109	1806	2371	2356	2391	2646	119	2136	2436	2306	1846	2080	1734	2644	2170	2305	2271	2387	2227	2345	2267	2636	2484	2651	2693	2616	2532	2498	2499	1711	1881	1435	1363	1878	2500	1975	2284	2054	2247	1825	1790	2172	2534	2556	2155	2367	2254	2003	1667	2005	1867	1620	2434	2424	1918	2055	2121	1718	2254	2144	2550	2234	1846	1897	1966	1497	2645	999	2474	2318	2513	1859	1948	642	2251	1387	1938	1822	2314	2322	2218	2682	2255	2563	1573	1794	1959	1760	2087	1178	1192	1601	1514	444					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	196054	1800	1200	700	447	176	1900	500	1100	1600	2000	2300	2000	1600	2200	2300	2300	2600	121	2100	2400	2200	1800	2000	1600	2500	2100	2200	2000	2300	2100	2200	2200	2600	2400	2500	2500	2500	2400	2500	2400	1600	1800	1400	1100	1800	2500	1900	2200	2000	2200	1800	1700	2100	2400	2300	2100	2300	2200	2000	1600	1900	1800	1500	2400	2300	1800	2000	2000	1600	2200	1800	2500	2100	1700	1800	1900	1400	2500	900	2400	2200	2400	1800	1800	500	2100	1200	1800	1700	2300	2200	2000	2400	2200	2300	1200	1400	1900	1700	1600	1100	1000	1400	1500	510					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	94496	976	617	559	276	168	932	365	546	624	958	1151	966	788	977	1179	1256	1214	106	911	1127	1126	838	1028	841	1433	880	1221	1158	1051	789	1082	1004	1295	1165	1117	1185	1226	1022	878	1092	613	653	503	703	833	1195	927	1030	998	1037	814	841	913	834	1075	947	1107	1041	916	724	956	889	801	1151	1158	768	865	905	783	1024	1040	1105	1092	847	900	971	683	1355	413	830	961	1270	920	900	219	1025	617	824	805	1037	1066	913	1210	1045	1162	661	828	805	911	908	531	589	759	719	444					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2255	11	13	2	141	2	30	5	19	44	27	23	18	3	9	19	14	7	13	16	18	28	17	13	10	15	42	44	36	24	62	65	35	36	42	32	43	25	43	24	19	5	16	14	47	27	24	13	29	37	15	4	15	14	8	13	26	27	27	15	21	13	19	7	29	29	4	15	14	7	9	29	206	15	14	11	17	15	8	0	10	23	42	13	3	15	20	8	11	9	8	16	7	13	15	18	4	5	8	13	13	8	6	2	18	0					
6	Число погашенных избирательных бюллетеней	99303	813	570	139	30	6	938	130	535	932	1015	1126	1016	809	1214	1102	1030	1379	2	1173	1255	1046	945	959	749	1052	1178	935	806	1225	1249	1053	1161	1269	1193	1351	1272	1249	1335	1598	1289	982	1131	883	350	940	1281	960	1141	965	1148	982	844	1173	1558	1212	1127	1166	1132	1069	855	931	892	692	1220	1113	1028	1120	1081	810	1167	731	1189	993	839	889	912	702	1137	487	1560	1216	1088	867	897	266	1055	575	965	886	1255	1118	1080	1177	1140	1120	535	567	1087	776	679	561	405	639	763	66					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2255	11	13	2	141	2	30	5	19	44	27	23	18	3	9	19	14	7	13	16	18	28	17	13	10	15	42	44	36	24	62	65	35	36	42	32	43	25	43	24	19	5	16	14	47	27	24	13	29	37	15	4	15	14	8	13	26	27	27	15	21	13	19	7	29	29	4	15	14	7	9	29	206	15	14	11	17	15	8	0	10	23	42	13	3	15	20	8	11	9	8	16	7	13	15	18	4	5	8	13	13	8	6	2	18	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	94356	976	617	559	276	168	932	365	546	624	958	1151	966	784	977	1179	1256	1214	106	911	1127	1123	838	1028	841	1433	880	1221	1156	1048	789	1082	1004	1295	1165	1117	1185	1226	1022	871	1071	613	653	502	703	833	1195	927	1028	998	1037	814	826	913	834	1075	947	1080	1041	916	724	956	889	800	1150	1156	768	864	905	776	1024	1040	1105	1092	847	889	971	683	1355	413	830	961	1270	919	900	219	1025	617	824	805	1037	1066	913	1204	1043	1162	661	828	805	908	895	524	589	759	719	444					
9	Число недействительных избирательных бюллетеней	1649	11	11	10	9	4	23	5	7	7	18	3	13	6	16	23	16	17	3	24	12	45	15	18	7	33	16	20	18	18	14	21	20	25	31	20	36	17	30	18	21	14	12	11	13	21	27	14	17	11	18	14	8	12	11	9	19	23	20	9	14	19	11	14	28	17	7	9	14	18	21	18	30	19	15	14	17	17	29	6	18	18	20	9	14	11	15	10	12	10	20	18	7	24	15	14	13	4	20	21	7	7	4	13	11	13					
10	Число действительных избирательных бюллетеней	94962	976	619	551	408	166	939	365	558	661	967	1171	971	781	970	1175	1254	1204	116	903	1133	1106	840	1023	844	1415	906	1245	1174	1054	837	1126	1019	1306	1176	1129	1192	1234	1035	877	1069	604	657	505	737	839	1192	926	1040	1024	1034	804	833	915	831	1079	954	1084	1048	922	731	950	897	793	1151	1168	765	870	905	765	1012	1051	1281	1088	846	886	971	681	1334	407	822	966	1292	923	889	223	1030	615	823	804	1025	1064	913	1193	1043	1166	652	829	793	900	901	525	591	748	726	431					
