Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Ленинская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14527	416	468	1053	156	186	1610	215	1600	656	1314	421	770	393	115	382	121	250	487	161	195	444	981	401	286	350	468	166	248	214									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12485	370	400	900	130	160	1500	190	1300	550	1100	370	640	340	110	330	110	200	440	140	170	400	850	350	230	300	390	135	200	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6474	143	150	415	76	64	1262	83	745	261	560	133	233	124	53	165	74	158	199	81	68	140	355	148	125	124	210	85	119	121									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	266	22	25	10	0	0	0	21	7	15	23	2	4	25	4	8	0	0	16	4	10	0	19	15	11	3	7	5	10	0									
6	Число погашенных избирательных бюллетеней	5745	205	225	475	54	96	238	86	548	274	517	235	403	191	53	157	36	42	225	55	92	260	476	187	94	173	173	45	71	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	266	22	25	10	0	0	0	21	7	15	23	2	4	25	4	8	0	0	16	4	10	0	19	15	11	3	7	5	10	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6474	143	150	415	76	64	1262	83	745	261	560	133	233	124	53	165	74	158	199	81	68	140	355	148	125	124	210	85	119	121									
9	Число недействительных избирательных бюллетеней	183	2	2	12	3	7	18	15	25	12	9	5	2	8	2	1	1	1	10	1	1	5	9	7	6	3	5	3	8	0									
10	Число действительных избирательных бюллетеней	6557	163	173	413	73	57	1244	89	727	264	574	130	235	141	55	172	73	157	205	84	77	135	365	156	130	124	212	87	121	121									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	461	20	20	30	10	10	10	10	51	20	30	10	30	10	10	20	10	10	20	10	10	20	20	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	95	3	0	0	1	0	0	4	40	7	10	4	3	1	0	4	0	0	9	0	0	1	1	3	2	1	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	0	1	0	0	0	3	2	25	3	9	3	3	0	2	4	0	5	1	0	0	2	0	0	1	2	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	366	17	20	30	9	10	10	6	11	13	20	6	27	9	10	16	10	10	11	10	10	19	19	7	8	9	10	10	10	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	1	0	0	0	0	0	16	1	9	3	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	1	0	2	0	0	15	1	8	2	6	1	2	1	0	1	0	0	1	0	0	1	0	4	0	0	0	0	0	0									
		0.68%	0.61%	0.00%	0.47%	0.00%	0.00%	1.19%	0.96%	1.06%	0.72%	1.03%	0.74%	0.84%	0.67%	0.00%	0.58%	0.00%	0.00%	0.47%	0.00%	0.00%	0.71%	0.00%	2.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	223	4	5	12	1	2	24	1	18	12	17	3	11	6	2	4	0	3	11	6	4	4	35	2	7	6	7	4	7	5									
		3.31%	2.42%	2.86%	2.82%	1.32%	3.13%	1.90%	0.96%	2.39%	4.35%	2.92%	2.22%	4.64%	4.03%	3.51%	2.31%	0.00%	1.90%	5.12%	7.06%	5.13%	2.86%	9.36%	1.23%	5.15%	4.72%	3.23%	4.44%	5.43%	4.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	1	4	4	0	0	13	0	19	0	12	3	1	2	2	3	0	0	4	1	0	2	3	2	0	1	3	0	1	0									
		1.20%	0.61%	2.29%	0.94%	0.00%	0.00%	1.03%	0.00%	2.53%	0.00%	2.06%	2.22%	0.42%	1.34%	3.51%	1.73%	0.00%	0.00%	1.86%	1.18%	0.00%	1.43%	0.80%	1.23%	0.00%	0.79%	1.38%	0.00%	0.78%	0.00%									
