Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Семеновская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36979	1281	1346	1072	1239	1148	1166	1324	1329	1052	239	493	259	344	385	307	115	1059	182	382	1039	734	194	1600	1478	112	620	245	385	411	671	703	276	845	413	1196	173	234	245	245	245	1404	1428	1169	1052	1128	1200	1366	1446									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37153	1300	1360	1080	1240	1140	1170	1340	1330	1070	244	500	265	345	380	300	120	1070	185	390	1060	750	195	1605	1480	115	615	250	380	415	670	700	275	845	400	1200	170	225	250	244	250	1400	1425	1170	1055	1150	1200	1380	1450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21648	631	710	800	969	616	659	1134	967	815	88	190	44	170	148	110	28	531	101	103	774	429	80	829	1134	64	339	116	276	135	251	328	95	591	244	855	78	86	90	160	157	886	381	655	304	616	835	1172	874									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4642	27	70	53	158	234	140	65	24	67	90	170	64	94	126	72	50	142	42	160	91	107	69	136	123	26	161	70	28	85	142	228	51	119	68	103	48	62	38	40	41	125	139	148	156	127	137	59	67									
6	Число погашенных избирательных бюллетеней	10863	642	580	227	113	290	371	141	339	188	66	140	157	81	106	118	42	397	42	127	195	214	46	640	223	25	115	64	76	195	277	144	129	135	88	242	44	77	122	44	52	389	905	367	595	407	228	149	509									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4640	27	70	53	158	234	140	65	24	67	90	170	64	94	126	72	50	142	42	160	91	107	69	136	123	26	161	70	28	85	140	228	51	119	68	103	48	62	38	40	41	125	139	148	156	127	137	59	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21512	631	710	800	969	616	659	1134	967	815	88	190	44	170	148	110	28	531	101	103	774	429	80	693	1134	64	339	116	276	135	251	328	95	591	244	855	78	86	90	160	157	886	381	655	304	616	835	1172	874									
9	Число недействительных избирательных бюллетеней	116	0	4	5	0	4	6	0	0	5	1	4	2	3	1	4	1	4	0	1	3	1	0	3	15	1	0	2	0	3	0	2	4	3	2	0	1	1	4	0	0	0	0	0	2	1	7	2	14									
10	Число действительных избирательных бюллетеней	26036	658	776	848	1127	846	793	1199	991	877	177	356	106	261	273	178	77	669	143	262	862	535	149	826	1242	89	500	184	304	217	391	554	142	707	310	958	125	147	124	200	198	1011	520	803	458	742	965	1229	927									
