Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Асиновская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28548	275	2005	1736	1483	311	729	896	1561	630	1077	1234	1417	1250	1979	1466	661	635	647	88	609	653	118	79	125	553	208	276	839	330	898	320	272	430	301	154	122	104	233	120	434	142	642	315	191									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28275	270	2000	1700	1450	290	700	850	1550	620	1100	1200	1400	1250	1950	1450	670	630	640	85	600	650	120	80	125	550	215	280	840	330	900	320	275	430	300	155	120	100	230	120	435	140	645	320	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8696	65	654	551	483	134	269	294	460	123	228	451	405	302	484	403	105	198	91	38	168	264	55	52	39	189	63	103	209	122	292	117	75	155	114	65	55	52	79	50	194	64	228	77	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1007	16	54	18	35	12	27	28	25	57	55	34	48	49	26	39	47	17	23	1	31	14	2	2	15	17	5	10	74	13	18	11	13	39	9	10	8	9	19	1	27	6	26	5	12									
6	Число погашенных избирательных бюллетеней	18572	189	1292	1131	932	144	404	528	1065	440	817	715	947	899	1440	1008	518	415	526	46	401	372	63	26	71	344	147	167	557	195	590	192	187	236	177	80	57	39	132	69	214	70	391	238	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1007	16	54	18	35	12	27	28	25	57	55	34	48	49	26	39	47	17	23	1	31	14	2	2	15	17	5	10	74	13	18	11	13	39	9	10	8	9	19	1	27	6	26	5	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8695	65	653	551	483	134	269	294	460	123	228	451	405	302	484	403	105	198	91	38	168	264	55	52	39	189	63	103	209	122	292	117	75	155	114	65	55	52	79	50	194	64	228	77	77									
9	Число недействительных избирательных бюллетеней	259	0	25	23	12	2	9	9	14	5	2	12	16	5	15	13	3	5	2	1	7	13	1	1	0	8	3	3	2	0	13	4	0	1	2	1	4	0	3	1	5	1	8	3	2									
10	Число действительных избирательных бюллетеней	9443	81	682	546	506	144	287	313	471	175	281	473	437	346	495	429	149	210	112	38	192	265	56	53	54	198	65	110	281	135	297	124	88	193	121	74	59	61	95	50	216	69	246	79	87									
