Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Центральная г.Сочи																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659	УИК №4660	УИК №4661	УИК №4662					
1	"Число избирателей, внесенных в списки избирателей"	104374	1742	1152	1083	1273	2135	2028	1776	1878	1394	892	541	806	1128	1426	1987	1858	1395	1507	977	2629	1599	2157	2029	1472	1812	2454	2243	2000	2129	1782	1822	737	2288	2635	1763	1765	1207	1147	1997	1717	970	1232	1911	2358	2023	1868	2908	2440	2586	898	1405	2218	1313	1647	902	1365	1427	1074	2469	2431	1295	1272					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	100500	1500	1100	1000	1400	2100	1900	1700	1700	1300	800	500	800	1100	1400	1900	1800	1600	1400	900	2600	1600	2200	1900	1400	1700	2400	2200	1900	2700	1700	1800	700	2200	2600	1800	1800	1200	1100	2100	1600	900	1200	1800	2300	2000	1400	2700	2300	2500	800	1300	1800	1200	1600	900	1300	1400	900	2400	2300	1000	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	48029	716	884	401	656	913	876	637	1163	1265	403	264	466	565	710	980	804	841	717	456	1241	879	873	731	629	735	986	1061	962	1266	683	1382	248	939	1192	704	889	557	444	1006	747	399	504	715	854	779	425	1332	1080	1162	424	681	1059	622	796	413	612	715	474	966	932	589	625					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2586	19	24	18	78	19	23	61	164	23	18	15	22	12	22	36	37	39	29	22	26	23	32	13	14	23	23	44	42	51	34	18	1	41	29	25	19	21	8	12	20	6	31	33	15	27	805	45	18	41	27	23	35	27	20	27	36	28	38	31	17	23	33					
6	Число погашенных избирательных бюллетеней	49885	765	192	581	666	1168	1001	1002	373	12	379	221	312	523	668	884	959	720	654	422	1333	698	1295	1156	757	942	1391	1095	896	1383	983	400	451	1220	1379	1071	892	622	648	1082	833	495	665	1052	1431	1194	170	1323	1202	1297	349	596	706	551	784	460	652	657	388	1403	1351	388	742					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2576	19	24	18	78	19	23	61	164	23	18	15	22	12	22	36	37	39	29	22	26	23	22	13	14	23	23	44	42	51	34	18	1	41	29	25	19	21	8	12	20	6	31	33	15	27	805	45	18	41	27	23	35	27	20	27	36	28	38	31	17	23	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47959	716	882	401	656	913	876	637	1163	1265	401	264	466	565	710	980	803	841	717	456	1241	879	873	731	629	735	984	1061	962	1266	683	1382	248	939	1192	704	889	557	443	1006	747	399	504	708	854	779	424	1332	1079	1157	397	681	1047	622	792	413	612	715	474	962	932	588	625					
9	Число недействительных избирательных бюллетеней	912	8	5	7	5	24	13	9	11	3	5	4	8	11	10	16	16	10	22	8	32	23	22	18	23	19	18	16	23	20	11	8	5	30	8	5	15	17	13	25	11	8	8	16	13	10	33	43	24	23	4	16	9	6	19	6	12	34	7	18	22	11	13					
10	Число действительных избирательных бюллетеней	49623	727	901	412	729	908	886	689	1316	1285	414	275	480	566	722	1000	824	870	724	470	1235	879	873	726	620	739	989	1089	981	1297	706	1392	244	950	1213	724	893	561	438	993	756	397	527	725	856	796	1196	1334	1073	1175	420	688	1073	643	793	434	636	709	505	975	927	600	645					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1570	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	45	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	327	1	0	4	3	3	2	6	6	8	1	8	5	2	5	6	2	5	6	4	5	5	2	5	1	8	5	3	4	4	5	2	14	2	4	4	6	6	6	7	8	4	5	3	11	6	3	36	14	9	0	5	4	3	6	2	4	4	6	3	4	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	926	5	8	4	35	129	31	3	110	195	14	2	5	2	6	8	21	7	0	6	1	12	0	2	2	2	5	14	7	3	1	1	3	5	4	3	7	1	0	7	3	0	1	1	7	14	21	5	17	10	5	10	44	3	10	5	7	13	18	4	22	17	18					
