Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Азнакаевская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22631	566	805	2149	2309	2062	282	441	638	414	337	244	652	380	486	379	580	419	558	551	400	253	487	132	444	200	647	236	497	483	186	327	252	1094	576	168	199	639	93	358	145	304	259									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23183	566	812	2338	2342	2233	280	439	646	424	345	244	671	386	496	389	584	418	558	552	402	257	494	134	454	206	666	239	499	489	190	333	252	1102	579	166	204	629	95	357	155	305	253									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20393	551	761	2110	2138	1932	277	410	586	387	325	231	605	361	456	369	548	373	547	362	385	235	455	130	430	163	324	173	480	467	174	284	230	1038	274	158	191	371	93	343	121	295	250									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	942	12	12	39	32	130	0	28	52	23	8	12	28	13	25	10	20	13	5	89	11	15	15	0	8	31	61	21	9	10	11	39	9	21	25	8	8	43	0	13	24	6	3									
6	Число погашенных избирательных бюллетеней	1848	3	39	189	172	171	3	1	8	14	12	1	38	12	15	10	16	32	6	101	6	7	24	4	16	12	281	45	10	12	5	10	13	43	280	0	5	215	2	1	10	4	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	942	12	12	39	32	130	0	28	52	23	8	12	28	13	25	10	20	13	5	89	11	15	15	0	8	31	61	21	9	10	11	39	9	21	25	8	8	43	0	13	24	6	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20393	551	761	2110	2138	1932	277	410	586	387	325	231	605	361	456	369	548	373	547	362	385	235	455	130	430	163	324	173	480	467	174	284	230	1038	274	158	191	371	93	343	121	295	250									
9	Число недействительных избирательных бюллетеней	87	4	0	0	23	6	0	0	0	0	0	0	8	3	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	1	1	0	8	0	0	21	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	21248	559	773	2149	2147	2056	277	438	638	410	333	243	625	371	481	379	568	386	552	451	396	250	466	130	438	194	377	194	489	477	185	322	238	1059	291	166	199	393	93	356	145	301	253									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	454	7	10	35	40	25	10	10	20	10	10	7	15	7	12	7	7	7	7	7	7	7	7	7	12	7	20	7	7	10	7	7	7	10	10	7	7	10	7	7	14	10	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	271	5	10	35	40	20	1	1	1	5	4	3	15	2	9	6	2	3	2	2	3	3	7	0	9	2	20	3	5	6	2	7	0	10	5	0	0	2	0	3	14	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	182	9	4	8	7	9	5	4	4	0	0	5	4	0	4	2	3	3	4	6	4	3	3	1	2	3	6	1	4	3	1	3	3	7	4	4	2	21	0	10	7	2	7									
