Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Ковернинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15692	2718	2351	866	737	286	403	799	300	417	353	1563	861	745	288	632	692	449	583	465	184									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16000	2760	2360	860	760	300	410	820	310	450	360	1600	880	750	300	650	700	450	600	490	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6617	1215	1039	328	344	36	103	432	110	188	178	568	319	301	94	226	328	182	300	226	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2304	97	149	20	41	141	101	52	90	107	44	155	281	161	97	168	239	84	129	95	53									
6	Число погашенных избирательных бюллетеней	7079	1448	1172	512	375	123	206	336	110	155	138	877	280	288	109	256	133	184	171	169	37									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2304	97	149	20	41	141	101	52	90	107	44	155	281	161	97	168	239	84	129	95	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6617	1215	1039	328	344	36	103	432	110	188	178	568	319	301	94	226	328	182	300	226	100									
9	Число недействительных избирательных бюллетеней	114	16	5	7	7	1	3	12	5	3	5	8	22	0	0	1	0	10	6	3	0									
10	Число действительных избирательных бюллетеней	8807	1296	1183	341	378	176	201	472	195	292	217	715	578	462	191	393	567	256	423	318	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	292	40	39	17	15	5	8	16	6	12	7	30	17	14	8	11	13	9	11	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	126	24	10	4	15	4	3	7	2	12	0	10	3	2	8	1	1	5	5	10	0									
