Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Назаровская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701					
1	"Число избирателей, внесенных в списки избирателей"	17206	220	312	209	166	594	305	305	167	111	66	190	105	101	673	515	215	106	1154	195	373	158	131	1039	211	88	72	174	116	52	172	178	756	118	107	110	134	752	76	134	190	1379	336	195	843	135	99	81	1243	196	173	247	307	183	189	264	152	237	97					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16330	200	300	200	160	550	260	300	150	100	60	180	100	90	600	450	200	90	1100	180	370	150	130	1000	200	80	70	180	100	45	170	170	750	100	100	100	130	740	75	130	180	1400	300	180	800	120	90	70	1200	180	160	240	290	180	170	270	150	200	90					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9913	139	199	153	96	316	163	212	112	61	40	107	72	71	359	210	102	64	637	106	200	84	76	648	138	65	65	118	71	38	106	104	366	75	72	74	96	401	53	86	96	755	199	121	385	70	51	62	701	115	117	149	186	102	127	183	104	162	73					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	711	34	12	14	19	24	7	9	3	3	0	8	0	1	35	45	16	6	26	16	15	15	15	23	9	2	1	15	8	3	21	10	24	7	6	10	9	24	0	0	14	28	16	8	70	8	4	0	25	3	1	9	0	3	11	6	4	6	0					
6	Число погашенных избирательных бюллетеней	5706	27	89	33	45	210	90	79	35	36	20	65	28	18	206	195	82	20	437	58	155	51	39	329	53	13	4	47	21	4	43	56	360	18	22	16	25	315	22	44	70	617	85	51	345	42	35	8	474	62	42	82	104	75	32	81	42	32	17					
7	Число избирательных бюллетеней в переносных ящиках для голосования	711	34	12	14	19	24	7	9	3	3	0	8	0	1	35	45	16	6	26	16	15	15	15	23	9	2	1	15	8	3	21	10	24	7	6	10	9	24	0	0	14	28	16	8	70	8	4	0	25	3	1	9	0	3	11	6	4	6	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9913	139	199	153	96	316	163	212	112	61	40	107	72	71	359	210	102	64	637	106	200	84	76	648	138	65	65	118	71	38	106	104	366	75	72	74	96	401	53	86	96	755	199	121	385	70	51	62	701	115	117	149	186	102	127	183	104	162	73					
9	Число недействительных избирательных бюллетеней	114	1	3	1	0	6	0	0	0	0	0	0	0	2	0	5	0	0	4	5	5	1	0	7	1	0	1	3	0	1	2	1	8	0	0	0	0	1	0	1	0	13	5	0	4	1	0	6	13	2	0	4	3	1	0	0	0	2	1					
10	Число действительных избирательных бюллетеней	10510	172	208	166	115	334	170	221	115	64	40	115	72	70	394	250	118	70	659	117	210	98	91	664	146	67	65	130	79	40	125	113	382	82	78	84	105	424	53	85	110	770	210	129	451	77	55	56	713	116	118	154	183	104	138	189	108	166	72					
