Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Ейская городская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1499					
1	"Число избирателей, внесенных в списки избирателей"	70574	1376	1624	2090	2232	1768	1912	1989	2165	1472	825	1574	1910	1270	2193	1734	1689	1076	1659	2320	1563	1480	2067	2241	2307	2021	2661	2805	2209	1846	1900	365	2424	1840	2015	2315	1777	1198	1609	879	174					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	69100	1420	1500	1930	2110	1660	1770	1990	2050	1380	1350	1280	1780	1200	2110	1610	1630	2020	1670	2210	1460	1390	1960	2110	2420	1850	2450	2850	2180	1860	1860	350	2300	1720	1800	2400	1670	1280	1520	810	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38428	837	967	1108	1187	891	979	986	1153	700	731	908	936	518	1025	865	827	987	921	1149	716	736	986	1150	1453	854	1270	1546	1163	1072	816	190	1205	905	1607	2302	920	715	750	385	12					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3343	48	20	28	99	94	90	114	76	50	94	83	102	135	70	146	60	89	80	93	50	72	75	125	70	27	96	54	124	144	171	39	22	57	64	13	23	41	103	240	162					
6	Число погашенных избирательных бюллетеней	27329	535	513	794	824	675	701	890	821	630	525	289	742	547	1015	599	743	944	669	968	694	582	899	835	897	969	1084	1250	893	644	873	121	1073	758	129	85	727	524	667	185	16					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3342	48	20	28	99	94	90	114	76	50	94	83	101	135	70	146	60	89	80	93	50	72	75	125	70	27	96	54	124	144	171	39	22	57	64	13	23	41	103	240	162					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38208	832	955	1096	1176	887	979	984	1153	697	731	908	935	518	1017	865	827	983	921	1149	716	735	984	1013	1453	854	1270	1544	1163	1070	816	190	1202	901	1607	2302	920	709	749	385	12					
9	Число недействительных избирательных бюллетеней	1373	28	27	36	50	46	27	48	39	21	18	29	33	22	39	15	37	16	46	62	16	85	22	24	61	19	29	54	31	46	48	21	40	35	22	92	49	17	11	12	0					
10	Число действительных избирательных бюллетеней	40177	852	948	1088	1225	935	1042	1050	1190	726	807	962	1003	631	1048	996	850	1056	955	1180	750	722	1037	1114	1462	862	1337	1544	1256	1168	939	208	1184	923	1649	2223	894	733	841	613	174					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1155	24	26	33	35	28	29	33	34	23	22	21	30	20	35	27	27	34	27	37	24	23	33	35	40	30	40	46	36	31	30	6	38	28	34	48	28	21	25	14	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	355	10	10	15	13	4	4	4	14	6	6	8	11	3	6	8	4	7	2	10	10	4	10	7	12	10	13	12	5	8	3	4	38	4	22	20	6	8	10	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	342	3	7	2	3	9	1	1	2	6	19	104	9	2	5	10	2	6	2	7	5	4	9	5	0	8	8	10	1	3	3	1	12	5	11	20	2	6	7	5	17					
14	Число погашенных неиспользованных открепительных удостоверений	800	14	16	18	22	24	25	29	20	17	16	13	19	17	29	19	23	27	25	27	14	19	23	28	28	20	27	34	31	23	27	2	0	24	12	28	22	13	15	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	1	0	2	1	0	1	0	0	1	0	0	0	4	0	0	0	1	2	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	2	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	447	17	12	10	17	11	8	13	16	5	4	7	20	11	5	7	3	9	39	7	7	6	22	8	13	3	9	16	18	9	20	9	11	14	30	7	9	2	11	1	1					
		1.08%	1.93%	1.23%	0.89%	1.33%	1.12%	0.75%	1.18%	1.30%	0.67%	0.48%	0.71%	1.93%	1.68%	0.46%	0.69%	0.34%	0.84%	3.90%	0.56%	0.91%	0.74%	2.08%	0.70%	0.85%	0.34%	0.66%	1.00%	1.40%	0.74%	2.03%	3.93%	0.90%	1.46%	1.80%	0.30%	0.95%	0.27%	1.29%	0.16%	0.57%					
19	2.Всероссийская политическая партия «Гражданская Сила»	241	6	5	7	4	6	3	6	7	3	2	4	16	4	4	5	7	3	15	7	1	6	11	4	7	3	5	6	13	8	13	6	2	3	15	7	7	2	6	1	1					
		0.58%	0.68%	0.51%	0.62%	0.31%	0.61%	0.28%	0.55%	0.57%	0.40%	0.24%	0.40%	1.54%	0.61%	0.37%	0.49%	0.79%	0.28%	1.50%	0.56%	0.13%	0.74%	1.04%	0.35%	0.46%	0.34%	0.37%	0.38%	1.01%	0.66%	1.32%	2.62%	0.16%	0.31%	0.90%	0.30%	0.74%	0.27%	0.70%	0.16%	0.57%					
20	3.Политическая партия «Демократическая партия России»	60	1	3	0	1	2	1	1	2	0	0	3	5	1	0	0	1	1	7	0	2	2	1	1	2	1	3	0	4	2	0	1	2	1	5	1	2	1	0	0	0					
		0.14%	0.11%	0.31%	0.00%	0.08%	0.20%	0.09%	0.09%	0.16%	0.00%	0.00%	0.30%	0.48%	0.15%	0.00%	0.00%	0.11%	0.09%	0.70%	0.00%	0.26%	0.25%	0.09%	0.09%	0.13%	0.11%	0.22%	0.00%	0.31%	0.16%	0.00%	0.44%	0.16%	0.10%	0.30%	0.04%	0.21%	0.13%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6842	180	215	210	247	102	174	203	230	121	153	156	161	102	168	142	144	170	205	206	117	118	210	197	349	155	231	292	191	238	120	30	219	179	138	206	160	174	127	78	24					
		16.47%	20.45%	22.05%	18.68%	19.37%	10.40%	16.28%	18.49%	18.71%	16.20%	18.55%	15.74%	15.54%	15.62%	15.46%	14.05%	16.23%	15.86%	20.48%	16.59%	15.27%	14.62%	19.83%	17.31%	22.92%	17.59%	16.91%	18.27%	14.84%	19.60%	12.16%	13.10%	17.89%	18.68%	8.26%	8.90%	16.97%	23.20%	14.91%	12.48%	13.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	139	5	2	3	1	2	1	4	2	1	2	2	10	3	4	2	1	3	9	2	3	2	6	2	3	3	4	2	11	3	7	2	5	4	10	3	2	2	1	4	1					
		0.33%	0.57%	0.21%	0.27%	0.08%	0.20%	0.09%	0.36%	0.16%	0.13%	0.24%	0.20%	0.97%	0.46%	0.37%	0.20%	0.11%	0.28%	0.90%	0.16%	0.39%	0.25%	0.57%	0.18%	0.20%	0.34%	0.29%	0.13%	0.85%	0.25%	0.71%	0.87%	0.41%	0.42%	0.60%	0.13%	0.21%	0.27%	0.12%	0.64%	0.57%					
23	6.Политическая партия «Партия социальной справедливости»	64	5	0	2	1	2	0	2	0	0	1	1	3	1	2	0	1	1	2	2	2	0	2	0	2	1	3	2	2	1	4	0	1	2	5	3	4	1	2	0	1					
		0.15%	0.57%	0.00%	0.18%	0.08%	0.20%	0.00%	0.18%	0.00%	0.00%	0.12%	0.10%	0.29%	0.15%	0.18%	0.00%	0.11%	0.09%	0.20%	0.16%	0.26%	0.00%	0.19%	0.00%	0.13%	0.11%	0.22%	0.13%	0.16%	0.08%	0.41%	0.00%	0.08%	0.21%	0.30%	0.13%	0.42%	0.13%	0.23%	0.00%	0.57%					
24	7.Политическая партия «Либерально-демократическая партия России»	1995	72	21	52	43	34	31	40	42	35	28	40	97	57	37	25	28	41	90	52	23	18	81	50	23	42	43	72	121	33	71	15	39	31	225	135	30	17	32	12	17					
		4.80%	8.18%	2.15%	4.63%	3.37%	3.47%	2.90%	3.64%	3.42%	4.69%	3.39%	4.04%	9.36%	8.73%	3.40%	2.47%	3.16%	3.82%	8.99%	4.19%	3.00%	2.23%	7.65%	4.39%	1.51%	4.77%	3.15%	4.51%	9.40%	2.72%	7.19%	6.55%	3.19%	3.24%	13.46%	5.83%	3.18%	2.27%	3.76%	1.92%	9.77%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	2063	135	61	72	45	27	35	46	52	28	25	51	101	59	50	29	34	45	99	37	28	30	98	34	48	20	36	65	133	46	91	18	34	21	126	46	49	50	29	18	12					
		4.97%	15.34%	6.26%	6.41%	3.53%	2.75%	3.27%	4.19%	4.23%	3.75%	3.03%	5.15%	9.75%	9.04%	4.60%	2.87%	3.83%	4.20%	9.89%	2.98%	3.66%	3.72%	9.25%	2.99%	3.15%	2.27%	2.64%	4.07%	10.33%	3.79%	9.22%	7.86%	2.78%	2.19%	7.54%	1.99%	5.20%	6.67%	3.40%	2.88%	6.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	241	12	3	7	4	5	7	5	4	1	3	2	5	2	3	5	4	3	9	4	7	2	13	4	11	9	12	9	17	12	4	1	6	3	13	11	7	2	3	1	6					
		0.58%	1.36%	0.31%	0.62%	0.31%	0.51%	0.65%	0.46%	0.33%	0.13%	0.36%	0.20%	0.48%	0.31%	0.28%	0.49%	0.45%	0.28%	0.90%	0.32%	0.91%	0.25%	1.23%	0.35%	0.72%	1.02%	0.88%	0.56%	1.32%	0.99%	0.41%	0.44%	0.49%	0.31%	0.78%	0.48%	0.74%	0.27%	0.35%	0.16%	3.45%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	27864	411	621	723	858	742	777	724	832	531	584	687	577	387	772	779	623	773	474	859	558	533	576	807	996	622	983	1069	735	814	598	124	853	662	1074	1801	615	481	625	496	108					
		67.06%	46.70%	63.69%	64.32%	67.29%	75.64%	72.68%	65.94%	67.70%	71.08%	70.79%	69.32%	55.69%	59.26%	71.02%	77.05%	70.24%	72.11%	47.35%	69.16%	72.85%	66.05%	54.39%	70.91%	65.40%	70.60%	71.96%	66.90%	57.11%	67.05%	60.59%	54.15%	69.69%	69.10%	64.27%	77.80%	65.22%	64.13%	73.36%	79.36%	62.07%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	221	8	5	2	4	2	5	6	3	1	5	9	8	4	3	2	4	7	6	4	2	5	17	7	8	3	8	11	11	2	11	2	12	3	8	3	9	1	5	2	3					
		0.53%	0.91%	0.51%	0.18%	0.31%	0.20%	0.47%	0.55%	0.24%	0.13%	0.61%	0.91%	0.77%	0.61%	0.28%	0.20%	0.45%	0.65%	0.60%	0.32%	0.26%	0.62%	1.61%	0.62%	0.53%	0.34%	0.59%	0.69%	0.85%	0.16%	1.11%	0.87%	0.98%	0.31%	0.48%	0.13%	0.95%	0.13%	0.59%	0.32%	1.72%					
																																															
																																															
																																															
																																															
																																															
