Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																						
Дата голосования: 18.09.2016																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																						
																																																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																						
																																																																																																																						
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №305	УИК №306	УИК №307	УИК №308	УИК №310									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4427	66	69	68	42	130	26	27	27	23	22	22	72	51	70	70	24	23	48	43	28	29	20	95	93	93	93	94	93	92	92	92	73	82	93	93	93	24	23	24	19	19	19	18	18	30	96	14	13	31	109	25	59	28	30	30	27	12	13	58	17	14	54	17	26	20	123	77	82	84	89	25	13	19	20	20	14	11	19	19	45	16	16	15	21	5	15	17	16	20	19	21	18	19	20	22	45	56	58	30	17	27	27	46	10	9	10	14									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4639	68	71	70	44	132	28	29	29	25	24	24	74	53	72	72	26	25	50	45	30	31	22	97	95	95	95	96	95	94	94	94	75	84	95	95	95	26	25	26	21	21	21	20	20	32	98	16	15	33	109	27	61	30	32	32	29	14	15	60	19	16	56	19	28	22	125	79	84	86	91	27	15	21	22	22	16	13	21	21	47	18	18	17	23	7	17	19	18	22	21	23	20	21	22	24	47	58	60	32	19	29	29	48	12	11	12	16									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4288	51	69	68	42	125	22	27	27	23	22	22	72	51	70	70	24	23	48	43	28	29	20	95	93	93	93	94	93	92	92	92	73	82	93	93	93	24	23	24	19	19	19	18	18	30	86	14	13	31	92	25	59	28	30	30	25	12	10	58	17	14	54	17	22	20	122	77	27	84	89	23	13	19	20	20	14	11	19	19	45	16	16	15	21	5	15	17	16	16	15	21	18	19	20	22	45	44	57	30	17	27	27	46	10	9	10	14									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	351	17	2	2	2	7	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	12	2	2	2	17	2	2	2	2	2	4	2	5	2	2	2	2	2	6	2	3	2	57	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	2	2	2	2	2	2	14	3	2	2	2	2	2	2	2	2	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4288	51	69	68	42	125	22	27	27	23	22	22	72	51	70	70	24	23	48	43	28	29	20	95	93	93	93	94	93	92	92	92	73	82	93	93	93	24	23	24	19	19	19	18	18	30	86	14	13	31	92	25	59	28	30	30	25	12	10	58	17	14	54	17	22	20	122	77	27	84	89	23	13	19	20	20	14	11	19	19	45	16	16	15	21	5	15	17	16	16	15	21	18	19	20	22	45	44	57	30	17	27	27	46	10	9	10	14									
9	Число недействительных избирательных бюллетеней	59	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	11	1	0	0	0	0	0	2	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	4									
10	Число действительных избирательных бюллетеней	4229	51	69	68	42	125	22	27	27	23	22	22	63	51	70	70	24	21	46	43	28	29	17	95	93	93	93	94	92	92	92	92	73	82	90	93	93	24	23	24	19	19	19	18	18	30	82	13	13	31	81	24	59	28	30	30	25	10	10	58	17	14	49	17	22	20	121	77	27	84	89	23	13	19	20	20	14	11	19	19	43	12	16	15	21	5	15	17	16	16	15	21	18	19	20	22	43	44	56	30	17	27	27	46	10	9	9	10									
