Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																										
Дата голосования: 02.12.2007																																																																																																										
																																																																																																										
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																										
																																																																																																										
Сводная таблица результатов выборов																																																																																																										
																																																																																																										
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №1740	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1790	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812					
1	"Число избирателей, внесенных в списки избирателей"	47962	2340	2616	2362	2467	2218	2241	1514	1165	1138	1165	1258	1797	1120	2072	2713	1805	2080	2783	2102	2255	907	699	1704	1555	307	279	86	44	170	623	507	25	28	39	21	30	30	32	22	26	23	22	28	31	22	26	0	23	27	24	29	26	59	31	26	36	26	23	24	22	19	230	24	24	27	29	29	25	23	22	22	21	23	22	22	25	26	26	24	24	23	19	20	26	22	22	15	20	9	22	20	18	18	22	28	26	28	22	22					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38553	1800	2000	1800	1900	1800	1700	1200	1000	1000	1000	1000	1400	1000	1700	2100	1400	1600	2200	1600	1800	600	600	1300	1200	300	500	150	50	200	500	450	25	28	39	23	32	30	32	24	28	26	22	28	31	24	28	0	25	29	26	29	26	59	31	26	38	26	25	26	22	19	23	24	24	27	29	29	25	23	22	22	22	23	22	23	27	28	28	24	24	25	19	20	26	22	22	15	20	9	22	20	18	18	22	30	27	28	22	22					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24820	1098	1341	1084	1233	1065	1231	768	566	536	604	795	883	597	1032	1438	882	1050	1354	1046	954	538	283	788	794	178	109	53	34	170	397	299	25	28	30	21	28	30	32	22	25	23	22	28	28	22	26	0	23	27	24	29	26	55	31	26	36	26	23	24	20	19	23	24	24	27	27	29	25	19	22	22	21	23	22	19	25	26	26	24	24	23	19	14	26	22	20	15	20	9	22	20	18	18	22	28	21	28	22	22					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	480	11	9	12	14	8	10	10	13	9	5	8	26	9	13	17	18	13	15	18	43	0	0	31	38	30	67	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	13253	691	650	704	653	727	459	422	421	455	391	197	491	394	655	645	500	537	831	536	803	62	317	481	368	92	324	64	16	30	103	151	0	0	9	2	4	0	0	2	3	3	0	0	3	2	2	0	2	2	2	0	0	4	0	0	2	0	2	2	2	0	0	0	0	0	2	0	0	4	0	0	1	0	0	4	2	2	2	0	0	2	0	6	0	0	2	0	0	0	0	0	0	0	0	2	6	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	480	11	9	12	14	8	10	10	13	9	5	8	26	9	13	17	18	13	15	18	43	0	0	31	38	30	67	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24755	1096	1337	1082	1233	1065	1231	762	565	536	604	794	879	594	1032	1428	882	1047	1350	1042	935	537	283	787	794	178	109	53	34	170	397	299	25	28	30	21	28	30	32	22	25	23	22	28	28	22	26	0	23	27	24	29	26	55	31	26	36	26	23	24	20	19	23	24	24	27	27	29	25	19	22	22	21	23	22	19	25	26	26	24	24	23	19	14	26	22	20	15	20	9	22	20	18	18	22	28	21	28	22	22					
9	Число недействительных избирательных бюллетеней	548	25	24	34	39	19	27	16	6	12	22	14	18	13	27	33	19	16	21	25	23	13	5	17	17	6	2	3	0	4	8	12	0	1	0	0	9	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1					
10	Число действительных избирательных бюллетеней	24687	1082	1322	1060	1208	1054	1214	756	572	533	587	788	887	590	1018	1412	881	1044	1344	1035	955	524	278	801	815	202	174	83	34	166	389	287	25	27	30	21	19	29	32	22	25	22	22	28	26	22	26	0	23	27	24	29	26	52	30	26	36	26	23	24	18	19	22	24	23	27	27	29	24	19	22	22	20	23	22	19	25	25	25	24	24	23	19	14	26	22	19	15	20	9	22	20	18	18	22	28	21	28	22	21					
