Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Невьянская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №525	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №8299	УИК №8301									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33960	1929	2089	2034	2093	1624	1588	1430	1176	1102	1037	1155	919	1115	299	2227	2198	2087	682	275	449	2078	404	142	488	116	254	638	411	121	695	166	244	420	120	38	117									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53450	1750	1850	1850	1900	1500	1500	1300	1000	1000	1000	1000	800	1000	300	2000	2000	2000	600	250	400	1900	350	150	400	100	200	600	300	100	650	150	200	350	100	8500	14400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13710	693	854	894	905	746	809	609	475	332	381	417	259	415	83	900	878	821	246	93	157	758	184	62	185	45	113	226	196	54	294	79	122	199	71	38	117									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	534	46	14	38	14	22	10	22	9	24	4	22	17	5	1	55	11	24	13	17	10	36	12	8	11	1	17	19	15	7	12	4	2	8	4	0	0									
6	Число погашенных избирательных бюллетеней	39206	1011	982	918	981	732	681	669	516	644	615	561	524	580	216	1045	1111	1155	341	140	233	1106	154	80	204	54	70	355	89	39	344	67	76	143	25	8462	14283									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	534	46	14	38	14	22	10	22	9	24	4	22	17	5	1	55	11	24	13	17	10	36	12	8	11	1	17	19	15	7	12	4	2	8	4	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13705	693	854	894	905	744	809	609	475	332	381	417	259	415	83	900	878	821	246	93	157	755	184	62	185	45	113	226	196	54	294	79	122	199	71	38	117									
9	Число недействительных избирательных бюллетеней	458	23	14	37	36	28	24	18	12	11	6	10	8	13	6	33	26	49	13	2	2	12	5	3	5	7	0	9	6	1	12	8	7	8	2	0	2									
10	Число действительных избирательных бюллетеней	13781	716	854	895	883	738	795	613	472	345	379	429	268	407	78	922	863	796	246	108	165	779	191	67	191	39	130	236	205	60	294	75	117	199	73	38	115									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	940	40	40	30	40	50	50	40	30	30	20	20	20	20	10	50	60	60	20	20	10	40	20	10	20	10	20	20	10	20	30	20	10	10	20	0	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	390	36	25	30	33	21	26	24	15	3	12	8	6	15	2	14	15	10	12	10	7	11	1	2	5	1	7	6	3	6	5	0	1	6	12	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	381	16	21	13	20	20	11	13	8	9	9	5	8	6	2	10	6	19	29	10	12	5	12	4	7	3	17	12	11	7	3	9	5	26	4	2	7									
14	Число погашенных неиспользованных открепительных удостоверений	550	4	15	0	7	29	24	16	15	27	8	12	14	5	8	36	45	50	8	10	3	29	19	8	15	9	13	14	7	14	25	20	9	4	8	0	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	1	5	2	3	0	0	1	2	1	3	1	3	2	0	1	3	0	0	0	0	1	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
